Year,Sectors,Value
2010,,2313
2010,Industry,227
2010,Transport,597
2010,Residential sector (population),1142
2010,Services,276
2010,Agriculture,71
2011,,2376
2011,Industry,235
2011,Transport,630
2011,Residential sector (population),1165
2011,Services,277
2011,Agriculture,69
2012,,2321
2012,Industry,239
2012,Transport,569
2012,Residential sector (population),1183
2012,Services,270
2012,Agriculture,60
2013,,2348
2013,Industry,257
2013,Transport,595
2013,Residential sector (population),1173
2013,Services,259
2013,Agriculture,64
2014,,2357
2014,Industry,235
2014,Transport,618
2014,Residential sector (population),1195
2014,Services,245
2014,Agriculture,64
2015,,2410
2015,Industry,209
2015,Transport,662
2015,Residential sector (population),1205
2015,Services,260
2015,Agriculture,74
2016,,2525
2016,Industry,203
2016,Transport,717
2016,Residential sector (population),1257
2016,Services,268
2016,Agriculture,80
2017,,2671
2017,Industry,218
2017,Transport,734
2017,Residential sector (population),1346
2017,Services,266
2017,Agriculture,107
2018,,2765
2018,Industry,251
2018,Transport,758
2018,Residential sector (population),1364
2018,Services,283
2018,Agriculture,109
2019,,2672
2019,Industry,234
2019,Transport,769
2019,Residential sector (population),1274
2019,Services,272
2019,Agriculture,123
2020,,2531
2020,Industry,226
2020,Transport,681
2020,Residential sector (population),1245
2020,Services,255
2020,Agriculture,124
2021,,2853
2021,Industry,245
2021,Transport,789
2021,Residential sector (population),1368
2021,Services,290
2021,Agriculture,161
