Year,Capacități ale sectorului de sănătate,Value
2010,,
2010,"(01) national legislation, policies and funding;",100.0
2010,(02) coordination and liaison with national focal points;,75.0
2010,(03) supervision;,80.0
2010,(04) răspunsul,73.0
2010,(05) training;,51.0
2010,(06) risk communication;,50.0
2010,(07) human resources;,0.0
2010,(08) the laboratory;,54.0
2010,(09) entry points;,42.0
2010,(10) zoonotic events;,92.0
2010,(11) food safety;,93.0
2010,(12) chemical events;,50.0
2010,(13) urgențe radionucleare,100.0
2010,finanțare,
2010,pregătirea și răspunsul,
2010,asigurarea asistenței medicale,
2010,profilaxia și controlul infecțiilor,
2011,,
2011,"(01) national legislation, policies and funding;",100.0
2011,(02) coordination and liaison with national focal points;,83.0
2011,(03) supervision;,90.0
2011,(04) răspunsul,93.0
2011,(05) training;,52.0
2011,(06) risk communication;,57.0
2011,(07) human resources;,25.0
2011,(08) the laboratory;,60.0
2011,(09) entry points;,77.0
2011,(10) zoonotic events;,89.0
2011,(11) food safety;,75.0
2011,(12) chemical events;,75.0
2011,(13) urgențe radionucleare,100.0
2011,finanțare,
2011,pregătirea și răspunsul,
2011,asigurarea asistenței medicale,
2011,profilaxia și controlul infecțiilor,
2012,,
2012,"(01) national legislation, policies and funding;",100.0
2012,(02) coordination and liaison with national focal points;,83.0
2012,(03) supervision;,95.0
2012,(04) răspunsul,88.0
2012,(05) training;,40.0
2012,(06) risk communication;,57.0
2012,(07) human resources;,20.0
2012,(08) the laboratory;,66.0
2012,(09) entry points;,85.0
2012,(10) zoonotic events;,89.0
2012,(11) food safety;,67.0
2012,(12) chemical events;,69.0
2012,(13) urgențe radionucleare,100.0
2012,finanțare,
2012,pregătirea și răspunsul,
2012,asigurarea asistenței medicale,
2012,profilaxia și controlul infecțiilor,
2013,,
2013,"(01) national legislation, policies and funding;",
2013,(02) coordination and liaison with national focal points;,
2013,(03) supervision;,
2013,(04) răspunsul,
2013,(05) training;,
2013,(06) risk communication;,
2013,(07) human resources;,
2013,(08) the laboratory;,
2013,(09) entry points;,
2013,(10) zoonotic events;,
2013,(11) food safety;,
2013,(12) chemical events;,
2013,(13) urgențe radionucleare,
2013,finanțare,
2013,pregătirea și răspunsul,
2013,asigurarea asistenței medicale,
2013,profilaxia și controlul infecțiilor,
2014,,
2014,"(01) national legislation, policies and funding;",100.0
2014,(02) coordination and liaison with national focal points;,90.0
2014,(03) supervision;,100.0
2014,(04) răspunsul,88.0
2014,(05) training;,35.0
2014,(06) risk communication;,57.0
2014,(07) human resources;,20.0
2014,(08) the laboratory;,96.0
2014,(09) entry points;,64.0
2014,(10) zoonotic events;,100.0
2014,(11) food safety;,80.0
2014,(12) chemical events;,77.0
2014,(13) urgențe radionucleare,100.0
2014,finanțare,
2014,pregătirea și răspunsul,
2014,asigurarea asistenței medicale,
2014,profilaxia și controlul infecțiilor,
2015,,
2015,"(01) national legislation, policies and funding;",100.0
2015,(02) coordination and liaison with national focal points;,90.0
2015,(03) supervision;,100.0
2015,(04) răspunsul,88.0
2015,(05) training;,35.0
2015,(06) risk communication;,57.0
2015,(07) human resources;,20.0
2015,(08) the laboratory;,96.0
2015,(09) entry points;,69.0
2015,(10) zoonotic events;,100.0
2015,(11) food safety;,80.0
2015,(12) chemical events;,77.0
2015,(13) urgențe radionucleare,100.0
2015,finanțare,
2015,pregătirea și răspunsul,
2015,asigurarea asistenței medicale,
2015,profilaxia și controlul infecțiilor,
2016,,
2016,"(01) national legislation, policies and funding;",100.0
2016,(02) coordination and liaison with national focal points;,100.0
2016,(03) supervision;,95.0
2016,(04) răspunsul,94.0
2016,(05) training;,53.0
2016,(06) risk communication;,57.0
2016,(07) human resources;,0.0
2016,(08) the laboratory;,96.0
2016,(09) entry points;,69.0
2016,(10) zoonotic events;,100.0
2016,(11) food safety;,100.0
2016,(12) chemical events;,92.0
2016,(13) urgențe radionucleare,92.0
2016,finanțare,
2016,pregătirea și răspunsul,
2016,asigurarea asistenței medicale,
2016,profilaxia și controlul infecțiilor,
2017,,
2017,"(01) national legislation, policies and funding;",
2017,(02) coordination and liaison with national focal points;,
2017,(03) supervision;,
2017,(04) răspunsul,
2017,(05) training;,
2017,(06) risk communication;,
2017,(07) human resources;,
2017,(08) the laboratory;,
2017,(09) entry points;,
2017,(10) zoonotic events;,
2017,(11) food safety;,
2017,(12) chemical events;,
2017,(13) urgențe radionucleare,
2017,finanțare,
2017,pregătirea și răspunsul,
2017,asigurarea asistenței medicale,
2017,profilaxia și controlul infecțiilor,
2018,,
2018,"(01) national legislation, policies and funding;",80.0
2018,(02) coordination and liaison with national focal points;,70.0
2018,(03) supervision;,60.0
2018,(04) răspunsul,80.0
2018,(05) training;,53.0
2018,(06) risk communication;,80.0
2018,(07) human resources;,40.0
2018,(08) the laboratory;,53.0
2018,(09) entry points;,60.0
2018,(10) zoonotic events;,60.0
2018,(11) food safety;,60.0
2018,(12) chemical events;,40.0
2018,(13) urgențe radionucleare,40.0
2018,finanțare,
2018,pregătirea și răspunsul,
2018,asigurarea asistenței medicale,
2018,profilaxia și controlul infecțiilor,
2019,,
2019,"(01) national legislation, policies and funding;",72.0
2019,(02) coordination and liaison with national focal points;,70.0
2019,(03) supervision;,60.0
2019,(04) răspunsul,80.0
2019,(05) training;,53.0
2019,(06) risk communication;,80.0
2019,(07) human resources;,40.0
2019,(08) the laboratory;,53.0
2019,(09) entry points;,60.0
2019,(10) zoonotic events;,60.0
2019,(11) food safety;,70.0
2019,(12) chemical events;,40.0
2019,(13) urgențe radionucleare,40.0
2019,finanțare,
2019,pregătirea și răspunsul,
2019,asigurarea asistenței medicale,
2019,profilaxia și controlul infecțiilor,
2020,,
2020,"(01) national legislation, policies and funding;",73.0
2020,(02) coordination and liaison with national focal points;,70.0
2020,(03) supervision;,60.0
2020,(04) răspunsul,80.0
2020,(05) training;,53.0
2020,(06) risk communication;,80.0
2020,(07) human resources;,40.0
2020,(08) the laboratory;,60.0
2020,(09) entry points;,60.0
2020,(10) zoonotic events;,80.0
2020,(11) food safety;,70.0
2020,(12) chemical events;,40.0
2020,(13) urgențe radionucleare,40.0
2020,finanțare,
2020,pregătirea și răspunsul,
2020,asigurarea asistenței medicale,
2020,profilaxia și controlul infecțiilor,
2021,,
2021,"(01) national legislation, policies and funding;",70.0
2021,(02) coordination and liaison with national focal points;,80.0
2021,(03) supervision;,80.0
2021,(04) răspunsul,
2021,(05) training;,
2021,(06) risk communication;,60.0
2021,(07) human resources;,30.0
2021,(08) the laboratory;,56.0
2021,(09) entry points;,60.0
2021,(10) zoonotic events;,60.0
2021,(11) food safety;,40.0
2021,(12) chemical events;,40.0
2021,(13) urgențe radionucleare,40.0
2021,finanțare,70.0
2021,pregătirea și răspunsul,73.0
2021,asigurarea asistenței medicale,73.0
2021,profilaxia și controlul infecțiilor,67.0
2022,,
2022,"(01) national legislation, policies and funding;",60.0
2022,(02) coordination and liaison with national focal points;,73.0
2022,(03) supervision;,80.0
2022,(04) răspunsul,
2022,(05) training;,
2022,(06) risk communication;,67.0
2022,(07) human resources;,30.0
2022,(08) the laboratory;,68.0
2022,(09) entry points;,67.0
2022,(10) zoonotic events;,60.0
2022,(11) food safety;,80.0
2022,(12) chemical events;,40.0
2022,(13) urgențe radionucleare,40.0
2022,finanțare,80.0
2022,pregătirea și răspunsul,60.0
2022,asigurarea asistenței medicale,67.0
2022,profilaxia și controlul infecțiilor,60.0
2023,,
2023,"(01) national legislation, policies and funding;",50.0
2023,(02) coordination and liaison with national focal points;,73.0
2023,(03) supervision;,80.0
2023,(04) răspunsul,
2023,(05) training;,
2023,(06) risk communication;,60.0
2023,(07) human resources;,30.0
2023,(08) the laboratory;,56.0
2023,(09) entry points;,73.0
2023,(10) zoonotic events;,60.0
2023,(11) food safety;,60.0
2023,(12) chemical events;,40.0
2023,(13) urgențe radionucleare,60.0
2023,finanțare,70.0
2023,pregătirea și răspunsul,80.0
2023,asigurarea asistenței medicale,80.0
2023,profilaxia și controlul infecțiilor,60.0
