Year,Mediul de reședință,Raioane,Value
2010,,,44.5
2010,Urban,,52.8
2010,Rural,,39.5
2010,,Mun. Chișinău,50.2
2010,,Nord,73.5
2010,,mun. Bălți,
2010,,Briceni,
2010,,Dondușeni,
2010,,Drochia,110.6
2010,,Edineț,225.2
2010,,Fălești,91.1
2010,,Florești,
2010,,Glodeni,
2010,,Ocnița,
2010,,Râșcani,
2010,,Sângerei,176.5
2010,,Soroca,190.3
2010,,Centru,22.7
2010,,Anenii Noi,101.2
2010,,Călărași,
2010,,Criuleni,
2010,,Dubăsari,
2010,,Hâncești,
2010,,Ialoveni,68.7
2010,,Nisporeni,134.4
2010,,Orhei,
2010,,Rezina,
2010,,Strășeni,
2010,,Șoldănești,
2010,,Telenești,
2010,,Ungheni,
2010,,Sud,32.4
2010,,Basarabeasca,
2010,,Cahul,65.6
2010,,Cantemir,
2010,,Căușeni,
2010,,Cimișlia,
2010,,Leova,
2010,,Ștefan Vodă,120.2
2010,,Taraclia,
2010,,UTA Găgăuzia,49.0
2011,,,15.3
2011,Urban,,6.8
2011,Rural,,20.3
2011,,Mun. Chișinău,
2011,,Nord,38.4
2011,,mun. Bălți,
2011,,Briceni,
2011,,Dondușeni,
2011,,Drochia,116.1
2011,,Edineț,
2011,,Fălești,268.6
2011,,Florești,
2011,,Glodeni,
2011,,Ocnița,
2011,,Râșcani,
2011,,Sângerei,
2011,,Soroca,
2011,,Centru,15.6
2011,,Anenii Noi,
2011,,Călărași,112.5
2011,,Criuleni,
2011,,Dubăsari,
2011,,Hâncești,
2011,,Ialoveni,
2011,,Nisporeni,
2011,,Orhei,
2011,,Rezina,
2011,,Strășeni,
2011,,Șoldănești,
2011,,Telenești,116.0
2011,,Ungheni,
2011,,Sud,
2011,,Basarabeasca,
2011,,Cahul,
2011,,Cantemir,
2011,,Căușeni,
2011,,Cimișlia,
2011,,Leova,
2011,,Ștefan Vodă,
2011,,Taraclia,
2011,,UTA Găgăuzia,
2012,,,30.4
2012,Urban,,13.4
2012,Rural,,40.7
2012,,Mun. Chișinău,12.8
2012,,Nord,37.9
2012,,mun. Bălți,
2012,,Briceni,136.1
2012,,Dondușeni,
2012,,Drochia,
2012,,Edineț,122.1
2012,,Fălești,86.1
2012,,Florești,
2012,,Glodeni,
2012,,Ocnița,
2012,,Râșcani,
2012,,Sângerei,84.4
2012,,Soroca,
2012,,Centru,31.2
2012,,Anenii Noi,
2012,,Călărași,
2012,,Criuleni,105.3
2012,,Dubăsari,
2012,,Hâncești,73.6
2012,,Ialoveni,
2012,,Nisporeni,265.3
2012,,Orhei,
2012,,Rezina,
2012,,Strășeni,
2012,,Șoldănești,
2012,,Telenești,
2012,,Ungheni,
2012,,Sud,17.0
2012,,Basarabeasca,
2012,,Cahul,72.5
2012,,Cantemir,
2012,,Căușeni,
2012,,Cimișlia,
2012,,Leova,
2012,,Ștefan Vodă,
2012,,Taraclia,
2012,,UTA Găgăuzia,96.9
2013,,,15.8
2013,Urban,,7.1
2013,Rural,,20.9
2013,,Mun. Chișinău,
2013,,Nord,19.7
2013,,mun. Bălți,
2013,,Briceni,
2013,,Dondușeni,
2013,,Drochia,
2013,,Edineț,
2013,,Fălești,
2013,,Florești,
2013,,Glodeni,
2013,,Ocnița,
2013,,Râșcani,
2013,,Sângerei,86.5
2013,,Soroca,106.2
2013,,Centru,16.0
2013,,Anenii Noi,
2013,,Călărași,
2013,,Criuleni,
2013,,Dubăsari,
2013,,Hâncești,
2013,,Ialoveni,
2013,,Nisporeni,
2013,,Orhei,66.6
2013,,Rezina,177.9
2013,,Strășeni,
2013,,Șoldănești,
2013,,Telenești,
2013,,Ungheni,
2013,,Sud,33.9
2013,,Basarabeasca,
2013,,Cahul,
2013,,Cantemir,
2013,,Căușeni,
2013,,Cimișlia,175.1
2013,,Leova,
2013,,Ștefan Vodă,120.6
2013,,Taraclia,
2013,,UTA Găgăuzia,
2014,,,14.7
2014,Urban,,6.5
2014,Rural,,19.7
2014,,Mun. Chișinău,11.8
2014,,Nord,18.7
2014,,mun. Bălți,
2014,,Briceni,
2014,,Dondușeni,
2014,,Drochia,
2014,,Edineț,
2014,,Fălești,
2014,,Florești,95.1
2014,,Glodeni,143.9
2014,,Ocnița,
2014,,Râșcani,
2014,,Sângerei,
2014,,Soroca,
2014,,Centru,14.7
2014,,Anenii Noi,
2014,,Călărași,
2014,,Criuleni,
2014,,Dubăsari,
2014,,Hâncești,
2014,,Ialoveni,
2014,,Nisporeni,
2014,,Orhei,
2014,,Rezina,
2014,,Strășeni,
2014,,Șoldănești,
2014,,Telenești,107.1
2014,,Ungheni,63.9
2014,,Sud,
2014,,Basarabeasca,
2014,,Cahul,
2014,,Cantemir,
