Year,Sex,Grupa de vârstă,Existența dizabilității,Value
2010,,,,
2010,Bărbați,,,
2010,Femei,,,
2010,,0-17,,
2010,,18-29,,
2010,,30-39,,
2010,,40-49,,
2010,,50-59,,
2010,,60+,,
2010,,,Persoane cu dizabilități,
2010,,,Persoane fără dizabilități,
2011,,,,
2011,Bărbați,,,
2011,Femei,,,
2011,,0-17,,
2011,,18-29,,
2011,,30-39,,
2011,,40-49,,
2011,,50-59,,
2011,,60+,,
2011,,,Persoane cu dizabilități,
2011,,,Persoane fără dizabilități,
2012,,,,
2012,Bărbați,,,
2012,Femei,,,
2012,,0-17,,
2012,,18-29,,
2012,,30-39,,
2012,,40-49,,
2012,,50-59,,
2012,,60+,,
2012,,,Persoane cu dizabilități,
2012,,,Persoane fără dizabilități,
2013,,,,
2013,Bărbați,,,
2013,Femei,,,
2013,,0-17,,
2013,,18-29,,
2013,,30-39,,
2013,,40-49,,
2013,,50-59,,
2013,,60+,,
2013,,,Persoane cu dizabilități,
2013,,,Persoane fără dizabilități,
2014,,,,5.1
2014,Bărbați,,,5.4
2014,Femei,,,4.9
2014,,0-17,,9.4
2014,,18-29,,4.8
2014,,30-39,,7.1
2014,,40-49,,4.0
2014,,50-59,,2.8
2014,,60+,,2.2
2014,,,Persoane cu dizabilități,4.4
2014,,,Persoane fără dizabilități,4.9
2015,,,,5.9
2015,Bărbați,,,6.3
2015,Femei,,,5.6
2015,,0-17,,10.2
2015,,18-29,,5.6
2015,,30-39,,6.8
2015,,40-49,,5.7
2015,,50-59,,3.8
2015,,60+,,2.5
2015,,,Persoane cu dizabilități,3.2
2015,,,Persoane fără dizabilități,5.9
2016,,,,4.8
2016,Bărbați,,,5.1
2016,Femei,,,4.5
2016,,0-17,,9.1
2016,,18-29,,3.2
2016,,30-39,,5.9
2016,,40-49,,5.3
2016,,50-59,,2.7
2016,,60+,,1.9
2016,,,Persoane cu dizabilități,3.4
2016,,,Persoane fără dizabilități,4.7
2017,,,,5.1
2017,Bărbați,,,5.5
2017,Femei,,,4.9
2017,,0-17,,8.9
2017,,18-29,,5.5
2017,,30-39,,5.7
2017,,40-49,,4.6
2017,,50-59,,3.6
2017,,60+,,2.1
2017,,,Persoane cu dizabilități,3.2
2017,,,Persoane fără dizabilități,5.1
2018,,,,4.7
2018,Bărbați,,,4.9
2018,Femei,,,4.5
2018,,0-17,,8.5
2018,,18-29,,4.6
2018,,30-39,,5.9
2018,,40-49,,3.4
2018,,50-59,,3.2
2018,,60+,,1.9
2018,,,Persoane cu dizabilități,3.2
2018,,,Persoane fără dizabilități,4.6
2019,,,,5.2
2019,Bărbați,,,5.4
2019,Femei,,,4.9
2019,,0-17,,9.0
2019,,18-29,,6.3
2019,,30-39,,5.1
2019,,40-49,,4.9
2019,,50-59,,2.5
2019,,60+,,2.8
2019,,,Persoane cu dizabilități,3.6
2019,,,Persoane fără dizabilități,5.1
2020,,,,4.3
2020,Bărbați,,,4.6
2020,Femei,,,4.1
2020,,0-17,,7.1
2020,,18-29,,4.5
2020,,30-39,,6.6
2020,,40-49,,3.2
2020,,50-59,,2.6
2020,,60+,,1.9
2020,,,Persoane cu dizabilități,2.4
2020,,,Persoane fără dizabilități,4.3
2021,,,,5.3
2021,Bărbați,,,5.2
2021,Femei,,,5.4
2021,,0-17,,8.7
2021,,18-29,,4.8
2021,,30-39,,6.4
2021,,40-49,,5.0
2021,,50-59,,3.9
2021,,60+,,2.9
2021,,,Persoane cu dizabilități,5.9
2021,,,Persoane fără dizabilități,5.1
2022,,,,4.6
2022,Bărbați,,,4.9
2022,Femei,,,4.3
2022,,0-17,,7.4
2022,,18-29,,5.0
2022,,30-39,,4.6
2022,,40-49,,5.1
2022,,50-59,,2.9
2022,,60+,,2.6
2022,,,Persoane cu dizabilități,3.8
2022,,,Persoane fără dizabilități,4.5
