Year,Organizații internaționale,Value
2010,Adunarea Generală a ONU (UNGA),0.521
2010,Corporația Financiară Internațională  (IFC),0.549
2010,Banca Internațională pentru Reconstrucție și Dezvoltare (IBRD),0.535
2010,Fondul Monetar Internațional (IMF),0.549
2010,Consiliul Economic și Social al Organizației Națiunilor Unite (ECOSOC),1.852
2010,Organizația Mondială a Comerțului (WTO),0.654
2011,Adunarea Generală a ONU (UNGA),0.518
2011,Corporația Financiară Internațională  (IFC),
2011,Banca Internațională pentru Reconstrucție și Dezvoltare (IBRD),
2011,Fondul Monetar Internațional (IMF),
2011,Consiliul Economic și Social al Organizației Națiunilor Unite (ECOSOC),1.852
2011,Organizația Mondială a Comerțului (WTO),
2012,Adunarea Generală a ONU (UNGA),0.518
2012,Corporația Financiară Internațională  (IFC),
2012,Banca Internațională pentru Reconstrucție și Dezvoltare (IBRD),
2012,Fondul Monetar Internațional (IMF),
2012,Consiliul Economic și Social al Organizației Națiunilor Unite (ECOSOC),1.852
2012,Organizația Mondială a Comerțului (WTO),
2013,Adunarea Generală a ONU (UNGA),0.518
2013,Corporația Financiară Internațională  (IFC),
2013,Banca Internațională pentru Reconstrucție și Dezvoltare (IBRD),
2013,Fondul Monetar Internațional (IMF),
2013,Consiliul Economic și Social al Organizației Națiunilor Unite (ECOSOC),
2013,Organizația Mondială a Comerțului (WTO),
2014,Adunarea Generală a ONU (UNGA),0.518
2014,Corporația Financiară Internațională  (IFC),
2014,Banca Internațională pentru Reconstrucție și Dezvoltare (IBRD),
2014,Fondul Monetar Internațional (IMF),
2014,Consiliul Economic și Social al Organizației Națiunilor Unite (ECOSOC),
2014,Organizația Mondială a Comerțului (WTO),
2015,Adunarea Generală a ONU (UNGA),0.518
2015,Corporația Financiară Internațională  (IFC),0.074
2015,Banca Internațională pentru Reconstrucție și Dezvoltare (IBRD),0.091
2015,Fondul Monetar Internațional (IMF),0.078
2015,Consiliul Economic și Social al Organizației Națiunilor Unite (ECOSOC),
2015,Organizația Mondială a Comerțului (WTO),0.625
2016,Adunarea Generală a ONU (UNGA),0.518
2016,Corporația Financiară Internațională  (IFC),0.074
2016,Banca Internațională pentru Reconstrucție și Dezvoltare (IBRD),0.1
2016,Fondul Monetar Internațional (IMF),0.064
2016,Consiliul Economic și Social al Organizației Națiunilor Unite (ECOSOC),1.852
2016,Organizația Mondială a Comerțului (WTO),0.617
2017,Adunarea Generală a ONU (UNGA),0.518
2017,Corporația Financiară Internațională  (IFC),0.074
2017,Banca Internațională pentru Reconstrucție și Dezvoltare (IBRD),0.096
2017,Fondul Monetar Internațional (IMF),0.063
2017,Consiliul Economic și Social al Organizației Națiunilor Unite (ECOSOC),1.852
2017,Organizația Mondială a Comerțului (WTO),0.61
2018,Adunarea Generală a ONU (UNGA),0.518
2018,Corporația Financiară Internațională  (IFC),0.074
2018,Banca Internațională pentru Reconstrucție și Dezvoltare (IBRD),0.112
2018,Fondul Monetar Internațional (IMF),0.063
2018,Consiliul Economic și Social al Organizației Națiunilor Unite (ECOSOC),1.852
2018,Organizația Mondială a Comerțului (WTO),0.61
2019,Adunarea Generală a ONU (UNGA),0.518
2019,Corporația Financiară Internațională  (IFC),0.073
2019,Banca Internațională pentru Reconstrucție și Dezvoltare (IBRD),0.11
2019,Fondul Monetar Internațional (IMF),0.063
2019,Consiliul Economic și Social al Organizației Națiunilor Unite (ECOSOC),
2019,Organizația Mondială a Comerțului (WTO),0.61
2020,Adunarea Generală a ONU (UNGA),0.518
2020,Corporația Financiară Internațională  (IFC),0.074
2020,Banca Internațională pentru Reconstrucție și Dezvoltare (IBRD),0.108
2020,Fondul Monetar Internațional (IMF),0.063
2020,Consiliul Economic și Social al Organizației Națiunilor Unite (ECOSOC),
2020,Organizația Mondială a Comerțului (WTO),0.61
2021,Adunarea Generală a ONU (UNGA),0.518
2021,Corporația Financiară Internațională  (IFC),0.071
2021,Banca Internațională pentru Reconstrucție și Dezvoltare (IBRD),0.105
2021,Fondul Monetar Internațional (IMF),0.063
2021,Consiliul Economic și Social al Organizației Națiunilor Unite (ECOSOC),
2021,Organizația Mondială a Comerțului (WTO),0.61
2022,Adunarea Generală a ONU (UNGA),0.518
2022,Corporația Financiară Internațională  (IFC),0.069
2022,Banca Internațională pentru Reconstrucție și Dezvoltare (IBRD),0.103
2022,Fondul Monetar Internațional (IMF),0.064
2022,Consiliul Economic și Social al Organizației Națiunilor Unite (ECOSOC),
2022,Organizația Mondială a Comerțului (WTO),0.61
2023,Adunarea Generală a ONU (UNGA),0.518
2023,Corporația Financiară Internațională  (IFC),0.068
2023,Banca Internațională pentru Reconstrucție și Dezvoltare (IBRD),0.1
2023,Fondul Monetar Internațional (IMF),0.064
2023,Consiliul Economic și Social al Organizației Națiunilor Unite (ECOSOC),
2023,Organizația Mondială a Comerțului (WTO),0.61
