Year,Births at the age of 15-19 years old,Nașteri la vârsta de 10-14 ani,Value
2010,Total births at the age of 15-19 years old,,
2010,"Urban, births at the age of 15-19 years old",,
2010,"Rural, births at the age of 15-19 years old",,
2010,,Total nașteri la 10-14 ani,
2010,,"Urban, nașteri la 10-14 ani",
2010,,"Rural, nașteri la 10-14 ani",
2011,Total births at the age of 15-19 years old,,
2011,"Urban, births at the age of 15-19 years old",,
2011,"Rural, births at the age of 15-19 years old",,
2011,,Total nașteri la 10-14 ani,
2011,,"Urban, nașteri la 10-14 ani",
2011,,"Rural, nașteri la 10-14 ani",
2012,Total births at the age of 15-19 years old,,
2012,"Urban, births at the age of 15-19 years old",,
2012,"Rural, births at the age of 15-19 years old",,
2012,,Total nașteri la 10-14 ani,
2012,,"Urban, nașteri la 10-14 ani",
2012,,"Rural, nașteri la 10-14 ani",
2013,Total births at the age of 15-19 years old,,
2013,"Urban, births at the age of 15-19 years old",,
2013,"Rural, births at the age of 15-19 years old",,
2013,,Total nașteri la 10-14 ani,
2013,,"Urban, nașteri la 10-14 ani",
2013,,"Rural, nașteri la 10-14 ani",
2014,Total births at the age of 15-19 years old,,32.152
2014,"Urban, births at the age of 15-19 years old",,16.0
2014,"Rural, births at the age of 15-19 years old",,41.1
2014,,Total nașteri la 10-14 ani,0.107
2014,,"Urban, nașteri la 10-14 ani",0.127
2014,,"Rural, nașteri la 10-14 ani",0.097
2015,Total births at the age of 15-19 years old,,34.2
2015,"Urban, births at the age of 15-19 years old",,16.795
2015,"Rural, births at the age of 15-19 years old",,42.858
2015,,Total nașteri la 10-14 ani,0.068
2015,,"Urban, nașteri la 10-14 ani",0.042
2015,,"Rural, nașteri la 10-14 ani",0.08
2016,Total births at the age of 15-19 years old,,34.6
2016,"Urban, births at the age of 15-19 years old",,19.153
2016,"Rural, births at the age of 15-19 years old",,41.9
2016,,Total nașteri la 10-14 ani,0.123
2016,,"Urban, nașteri la 10-14 ani",0.0
2016,,"Rural, nașteri la 10-14 ani",0.186
2017,Total births at the age of 15-19 years old,,32.0
2017,"Urban, births at the age of 15-19 years old",,15.8
2017,"Rural, births at the age of 15-19 years old",,39.2
2017,,Total nașteri la 10-14 ani,0.162
2017,,"Urban, nașteri la 10-14 ani",0.151
2017,,"Rural, nașteri la 10-14 ani",0.168
2018,Total births at the age of 15-19 years old,,31.4
2018,"Urban, births at the age of 15-19 years old",,15.6
2018,"Rural, births at the age of 15-19 years old",,38.2
2018,,Total nașteri la 10-14 ani,0.067
2018,,"Urban, nașteri la 10-14 ani",0.0
2018,,"Rural, nașteri la 10-14 ani",0.107
2019,Total births at the age of 15-19 years old,,28.5
2019,"Urban, births at the age of 15-19 years old",,16.9
2019,"Rural, births at the age of 15-19 years old",,33.9
2019,,Total nașteri la 10-14 ani,0.133
2019,,"Urban, nașteri la 10-14 ani",0.169
2019,,"Rural, nașteri la 10-14 ani",0.11
2020,Total births at the age of 15-19 years old,,27.4
2020,"Urban, births at the age of 15-19 years old",,13.0
2020,"Rural, births at the age of 15-19 years old",,34.5
2020,,Total nașteri la 10-14 ani,0.119
2020,,"Urban, nașteri la 10-14 ani",0.193
2020,,"Rural, nașteri la 10-14 ani",0.067
2021,Total births at the age of 15-19 years old,,26.5
2021,"Urban, births at the age of 15-19 years old",,11.6
2021,"Rural, births at the age of 15-19 years old",,34.6
2021,,Total nașteri la 10-14 ani,0.092
2021,,"Urban, nașteri la 10-14 ani",0.031
2021,,"Rural, nașteri la 10-14 ani",0.136
2022,Total births at the age of 15-19 years old,,23.0
2022,"Urban, births at the age of 15-19 years old",,10.3
2022,"Rural, births at the age of 15-19 years old",,30.5
2022,,Total nașteri la 10-14 ani,0.1
2022,,"Urban, nașteri la 10-14 ani",0.1
2022,,"Rural, nașteri la 10-14 ani",0.2
