Year,Type of aid,Area of residence (social assistance) ,Value
2010,,,
2010,Social aid,,
2010,Cold period,,
2010,,Urban,
2010,,Rural,
2010,,Femei,
2010,,Bărbați,
2011,,,
2011,Social aid,,
2011,Cold period,,
2011,,Urban,
2011,,Rural,
2011,,Femei,
2011,,Bărbați,
2012,,,
2012,Social aid,,
2012,Cold period,,
2012,,Urban,
2012,,Rural,
2012,,Femei,
2012,,Bărbați,
2013,,,
2013,Social aid,,
2013,Cold period,,
2013,,Urban,
2013,,Rural,
2013,,Femei,
2013,,Bărbați,
2014,,,
2014,Social aid,,
2014,Cold period,,
2014,,Urban,
2014,,Rural,
2014,,Femei,
2014,,Bărbați,
2015,,,
2015,Social aid,,
2015,Cold period,,
2015,,Urban,
2015,,Rural,
2015,,Femei,
2015,,Bărbați,
2016,,,
2016,Social aid,,
2016,Cold period,,
2016,,Urban,
2016,,Rural,
2016,,Femei,
2016,,Bărbați,
2017,,,
2017,Social aid,,
2017,Cold period,,
2017,,Urban,
2017,,Rural,
2017,,Femei,
2017,,Bărbați,
2018,,,
2018,Social aid,,
2018,Cold period,,
2018,,Urban,
2018,,Rural,
2018,,Femei,
2018,,Bărbați,
2019,,,
2019,Social aid,,
2019,Cold period,,
2019,,Urban,
2019,,Rural,
2019,,Femei,
2019,,Bărbați,
2020,,,
2020,Social aid,,
2020,Cold period,,
2020,,Urban,
2020,,Rural,
2020,,Femei,
2020,,Bărbați,
2021,,,
2021,Social aid,,
2021,Cold period,,
2021,,Urban,
2021,,Rural,
2021,,Femei,
2021,,Bărbați,
2022,,,
2022,Social aid,,
2022,Cold period,,
2022,,Urban,
2022,,Rural,
2022,,Femei,
2022,,Bărbați,
