Year,Mediul de reședință,"Chintila I, pe medii",Value
2010,,,
2010,Urban,,
2010,Rural,,
2010,,"Total, chintila I",
2010,,"Urban, chintila I",
2010,,"Rural, chintila I",
2011,,,
2011,Urban,,
2011,Rural,,
2011,,"Total, chintila I",
2011,,"Urban, chintila I",
2011,,"Rural, chintila I",
2012,,,
2012,Urban,,
2012,Rural,,
2012,,"Total, chintila I",
2012,,"Urban, chintila I",
2012,,"Rural, chintila I",
2013,,,
2013,Urban,,
2013,Rural,,
2013,,"Total, chintila I",
2013,,"Urban, chintila I",
2013,,"Rural, chintila I",
2014,,,6.0
2014,Urban,,2.8
2014,Rural,,8.3
2014,,"Total, chintila I",12.0
2014,,"Urban, chintila I",10.7
2014,,"Rural, chintila I",12.3
2015,,,9.3
2015,Urban,,3.2
2015,Rural,,13.6
2015,,"Total, chintila I",18.2
2015,,"Urban, chintila I",14.0
2015,,"Rural, chintila I",18.8
2016,,,12.5
2016,Urban,,4.7
2016,Rural,,18.2
2016,,"Total, chintila I",23.4
2016,,"Urban, chintila I",21.5
2016,,"Rural, chintila I",23.7
2017,,,13.2
2017,Urban,,4.7
2017,Rural,,19.3
2017,,"Total, chintila I",26.5
2017,,"Urban, chintila I",16.7
2017,,"Rural, chintila I",27.9
2018,,,12.8
2018,Urban,,4.7
2018,Rural,,18.5
2018,,"Total, chintila I",27.0
2018,,"Urban, chintila I",17.9
2018,,"Rural, chintila I",28.6
2019,,,3.9
2019,Urban,,1.1
2019,Rural,,5.7
2019,,"Total, chintila I",9.2
2019,,"Urban, chintila I",4.9
2019,,"Rural, chintila I",9.9
2020,,,4.9
2020,Urban,,2.2
2020,Rural,,6.6
2020,,"Total, chintila I",7.7
2020,,"Urban, chintila I",7.9
2020,,"Rural, chintila I",7.7
2021,,,6.4
2021,Urban,,2.8
2021,Rural,,8.8
2021,,"Total, chintila I",12.3
2021,,"Urban, chintila I",9.3
2021,,"Rural, chintila I",12.9
2022,,,
2022,Urban,,
2022,Rural,,
2022,,"Total, chintila I",
2022,,"Urban, chintila I",
2022,,"Rural, chintila I",
