Year,Sex,Grupa de vârstă,Regiuni statistice,Ocupaţii,Value
2010,,,,,
2010,Bărbați,,,,
2010,Femei,,,,
2010,,15-24,,,
2010,,25 and over,,,
2010,,,Mun. Chisnau,,
2010,,,Nord,,
2010,,,Centru,,
2010,,,Sud,,
2010,,,,"Legislators, senior officials and managers",
2010,,,,Professionals,
2010,,,,Technicians and associate professionals,
2010,,,,Clerical support workers,
2010,,,,Service and shop and Sales Workers,
2010,,,,Craft and related trades workers,
2010,,,,Plant and machine operators and assemblers,
2010,,,,Elementary occupations,
2011,,,,,
2011,Bărbați,,,,
2011,Femei,,,,
2011,,15-24,,,
2011,,25 and over,,,
2011,,,Mun. Chisnau,,
2011,,,Nord,,
2011,,,Centru,,
2011,,,Sud,,
2011,,,,"Legislators, senior officials and managers",
2011,,,,Professionals,
2011,,,,Technicians and associate professionals,
2011,,,,Clerical support workers,
2011,,,,Service and shop and Sales Workers,
2011,,,,Craft and related trades workers,
2011,,,,Plant and machine operators and assemblers,
2011,,,,Elementary occupations,
2012,,,,,
2012,Bărbați,,,,
2012,Femei,,,,
2012,,15-24,,,
2012,,25 and over,,,
2012,,,Mun. Chisnau,,
2012,,,Nord,,
2012,,,Centru,,
2012,,,Sud,,
2012,,,,"Legislators, senior officials and managers",
2012,,,,Professionals,
2012,,,,Technicians and associate professionals,
2012,,,,Clerical support workers,
2012,,,,Service and shop and Sales Workers,
2012,,,,Craft and related trades workers,
2012,,,,Plant and machine operators and assemblers,
2012,,,,Elementary occupations,
2013,,,,,
2013,Bărbați,,,,
2013,Femei,,,,
2013,,15-24,,,
2013,,25 and over,,,
2013,,,Mun. Chisnau,,
2013,,,Nord,,
2013,,,Centru,,
2013,,,Sud,,
2013,,,,"Legislators, senior officials and managers",
2013,,,,Professionals,
2013,,,,Technicians and associate professionals,
2013,,,,Clerical support workers,
2013,,,,Service and shop and Sales Workers,
2013,,,,Craft and related trades workers,
2013,,,,Plant and machine operators and assemblers,
2013,,,,Elementary occupations,
2014,,,,,9.7
2014,Bărbați,,,,9.3
2014,Femei,,,,10.1
2014,,15-24,,,11.0
2014,,25 and over,,,9.6
2014,,,Mun. Chisnau,,14.2
2014,,,Nord,,7.6
2014,,,Centru,,7.4
2014,,,Sud,,9.4
2014,,,,"Legislators, senior officials and managers",10.2
2014,,,,Professionals,6.5
2014,,,,Technicians and associate professionals,7.2
2014,,,,Clerical support workers,2.8
2014,,,,Service and shop and Sales Workers,1.0
2014,,,,Craft and related trades workers,40.3
2014,,,,Plant and machine operators and assemblers,20.9
2014,,,,Elementary occupations,7.4
2015,,,,,9.6
2015,Bărbați,,,,9.6
2015,Femei,,,,9.6
