Year,Ponderea copiilor de 13-15 ani care au absolvit cel puțin învățământul primar,Ponderea tinerilor de 18-20 ani care au absolvit cel puțin învățământul gimnazial,"Ponderea tinerilor de 21-23 ani care au absolvit cel puțin învățământul liceal / mediu general,  profesional tehnic secundar",Value
2010,,,,
2010,13-15 ani / Total,,,
2010,13-15 ani / Urban,,,
2010,13-15 ani / Rural,,,
2010,13-15 ani / Băieți,,,
2010,13-15 ani / Fete,,,
2010,,18-20 ani / Total,,
2010,,18-20 ani / Urban,,
2010,,18-20 ani / Rural,,
2010,,18-20 ani / Bărbați,,
2010,,18-20 ani / Femei,,
2010,,,18-20 ani / Total,
2010,,,21-23 ani / Urban,
2010,,,21-23 ani / Rural,
2010,,,21-23 ani / Bărbați,
2010,,,21-23 ani / Femei,
2011,,,,
2011,13-15 ani / Total,,,
2011,13-15 ani / Urban,,,
2011,13-15 ani / Rural,,,
2011,13-15 ani / Băieți,,,
2011,13-15 ani / Fete,,,
2011,,18-20 ani / Total,,
2011,,18-20 ani / Urban,,
2011,,18-20 ani / Rural,,
2011,,18-20 ani / Bărbați,,
2011,,18-20 ani / Femei,,
2011,,,18-20 ani / Total,
2011,,,21-23 ani / Urban,
2011,,,21-23 ani / Rural,
2011,,,21-23 ani / Bărbați,
2011,,,21-23 ani / Femei,
2012,,,,
2012,13-15 ani / Total,,,
2012,13-15 ani / Urban,,,
2012,13-15 ani / Rural,,,
2012,13-15 ani / Băieți,,,
2012,13-15 ani / Fete,,,
2012,,18-20 ani / Total,,
2012,,18-20 ani / Urban,,
2012,,18-20 ani / Rural,,
2012,,18-20 ani / Bărbați,,
2012,,18-20 ani / Femei,,
2012,,,18-20 ani / Total,
2012,,,21-23 ani / Urban,
2012,,,21-23 ani / Rural,
2012,,,21-23 ani / Bărbați,
2012,,,21-23 ani / Femei,
2013,,,,
2013,13-15 ani / Total,,,
2013,13-15 ani / Urban,,,
2013,13-15 ani / Rural,,,
2013,13-15 ani / Băieți,,,
2013,13-15 ani / Fete,,,
2013,,18-20 ani / Total,,
2013,,18-20 ani / Urban,,
2013,,18-20 ani / Rural,,
2013,,18-20 ani / Bărbați,,
2013,,18-20 ani / Femei,,
2013,,,18-20 ani / Total,
2013,,,21-23 ani / Urban,
2013,,,21-23 ani / Rural,
2013,,,21-23 ani / Bărbați,
2013,,,21-23 ani / Femei,
2014,,,,
2014,13-15 ani / Total,,,99.724
2014,13-15 ani / Urban,,,99.602
2014,13-15 ani / Rural,,,99.779
2014,13-15 ani / Băieți,,,99.684
2014,13-15 ani / Fete,,,99.768
2014,,18-20 ani / Total,,98.78
2014,,18-20 ani / Urban,,99.289
2014,,18-20 ani / Rural,,98.554
2014,,18-20 ani / Bărbați,,98.295
2014,,18-20 ani / Femei,,99.337
2014,,,18-20 ani / Total,78.268
2014,,,21-23 ani / Urban,92.011
2014,,,21-23 ani / Rural,69.108
2014,,,21-23 ani / Bărbați,74.722
2014,,,21-23 ani / Femei,82.295
2015,,,,
2015,13-15 ani / Total,,,99.682
2015,13-15 ani / Urban,,,99.638
2015,13-15 ani / Rural,,,99.701
2015,13-15 ani / Băieți,,,99.576
2015,13-15 ani / Fete,,,99.817
2015,,18-20 ani / Total,,98.972
2015,,18-20 ani / Urban,,99.56
2015,,18-20 ani / Rural,,98.706
2015,,18-20 ani / Bărbați,,98.846
2015,,18-20 ani / Femei,,99.107
2015,,,18-20 ani / Total,77.196
2015,,,21-23 ani / Urban,90.23
2015,,,21-23 ani / Rural,69.755
2015,,,21-23 ani / Bărbați,73.038
2015,,,21-23 ani / Femei,81.541
2016,,,,
2016,13-15 ani / Total,,,99.827
2016,13-15 ani / Urban,,,100.0
2016,13-15 ani / Rural,,,99.756
2016,13-15 ani / Băieți,,,99.754
2016,13-15 ani / Fete,,,99.914
2016,,18-20 ani / Total,,99.332
2016,,18-20 ani / Urban,,100.0
2016,,18-20 ani / Rural,,99.021
2016,,18-20 ani / Bărbați,,99.59
2016,,18-20 ani / Femei,,99.048
2016,,,18-20 ani / Total,79.348
2016,,,21-23 ani / Urban,91.132
2016,,,21-23 ani / Rural,71.644
2016,,,21-23 ani / Bărbați,76.038
2016,,,21-23 ani / Femei,82.714
2017,,,,
2017,13-15 ani / Total,,,99.866
2017,13-15 ani / Urban,,,99.576
2017,13-15 ani / Rural,,,100.0
2017,13-15 ani / Băieți,,,99.739
2017,13-15 ani / Fete,,,100.0
2017,,18-20 ani / Total,,99.418
2017,,18-20 ani / Urban,,99.602
2017,,18-20 ani / Rural,,99.324
2017,,18-20 ani / Bărbați,,99.533
2017,,18-20 ani / Femei,,99.282
2017,,,18-20 ani / Total,79.914
2017,,,21-23 ani / Urban,91.633
2017,,,21-23 ani / Rural,73.887
2017,,,21-23 ani / Bărbați,78.424
2017,,,21-23 ani / Femei,81.536
2018,,,,
2018,13-15 ani / Total,,,99.67
2018,13-15 ani / Urban,,,99.53
2018,13-15 ani / Rural,,,99.74
2018,13-15 ani / Băieți,,,99.887
2018,13-15 ani / Fete,,,99.424
2018,,18-20 ani / Total,,98.998
2018,,18-20 ani / Urban,,99.138
2018,,18-20 ani / Rural,,98.916
2018,,18-20 ani / Bărbați,,98.886
2018,,18-20 ani / Femei,,99.126
2018,,,18-20 ani / Total,77.971
2018,,,21-23 ani / Urban,89.111
2018,,,21-23 ani / Rural,70.391
2018,,,21-23 ani / Bărbați,78.436
2018,,,21-23 ani / Femei,77.404
2019,,,,
2019,13-15 ani / Total,,,99.563
2019,13-15 ani / Urban,,,99.692
2019,13-15 ani / Rural,,,99.498
2019,13-15 ani / Băieți,,,99.7
2019,13-15 ani / Fete,,,99.403
2019,,18-20 ani / Total,,99.094
2019,,18-20 ani / Urban,,98.339
2019,,18-20 ani / Rural,,99.554
2019,,18-20 ani / Bărbați,,99.225
2019,,18-20 ani / Femei,,98.953
2019,,,18-20 ani / Total,80.526
2019,,,21-23 ani / Urban,91.093
2019,,,21-23 ani / Rural,72.868
2019,,,21-23 ani / Bărbați,77.35
2019,,,21-23 ani / Femei,83.704
2020,,,,
2020,13-15 ani / Total,,,99.802
2020,13-15 ani / Urban,,,99.72
2020,13-15 ani / Rural,,,99.843
2020,13-15 ani / Băieți,,,99.83
2020,13-15 ani / Fete,,,99.769
2020,,18-20 ani / Total,,100.0
2020,,18-20 ani / Urban,,100.0
2020,,18-20 ani / Rural,,100.0
2020,,18-20 ani / Bărbați,,100.0
2020,,18-20 ani / Femei,,100.0
2020,,,18-20 ani / Total,80.62
2020,,,21-23 ani / Urban,88.743
2020,,,21-23 ani / Rural,74.664
2020,,,21-23 ani / Bărbați,78.234
2020,,,21-23 ani / Femei,83.108
2021,,,,
2021,13-15 ani / Total,,,100.0
2021,13-15 ani / Urban,,,100.0
2021,13-15 ani / Rural,,,100.0
2021,13-15 ani / Băieți,,,100.0
2021,13-15 ani / Fete,,,100.0
2021,,18-20 ani / Total,,99.083
2021,,18-20 ani / Urban,,98.586
2021,,18-20 ani / Rural,,99.397
2021,,18-20 ani / Bărbați,,99.084
2021,,18-20 ani / Femei,,99.082
2021,,,18-20 ani / Total,78.117
2021,,,21-23 ani / Urban,85.273
2021,,,21-23 ani / Rural,72.088
2021,,,21-23 ani / Bărbați,74.828
2021,,,21-23 ani / Femei,81.344
2022,,,,
2022,13-15 ani / Total,,,99.793
2022,13-15 ani / Urban,,,99.685
2022,13-15 ani / Rural,,,99.854
2022,13-15 ani / Băieți,,,99.822
2022,13-15 ani / Fete,,,99.761
2022,,18-20 ani / Total,,99.034
2022,,18-20 ani / Urban,,98.634
2022,,18-20 ani / Rural,,99.314
2022,,18-20 ani / Bărbați,,98.879
2022,,18-20 ani / Femei,,99.179
2022,,,18-20 ani / Total,75.048
2022,,,21-23 ani / Urban,82.967
2022,,,21-23 ani / Rural,68.359
2022,,,21-23 ani / Bărbați,73.146
2022,,,21-23 ani / Femei,76.755
2023,,,,
2023,13-15 ani / Total,,,99.801
2023,13-15 ani / Urban,,,99.701
2023,13-15 ani / Rural,,,99.857
2023,13-15 ani / Băieți,,,99.823
2023,13-15 ani / Fete,,,99.778
2023,,18-20 ani / Total,,99.226
2023,,18-20 ani / Urban,,99.073
2023,,18-20 ani / Rural,,99.355
2023,,18-20 ani / Bărbați,,99.507
2023,,18-20 ani / Femei,,98.968
2023,,,18-20 ani / Total,78.487
2023,,,21-23 ani / Urban,87.682
2023,,,21-23 ani / Rural,68.436
2023,,,21-23 ani / Bărbați,78.278
2023,,,21-23 ani / Femei,78.684
2024,,,,
2024,13-15 ani / Total,,,99.752
2024,13-15 ani / Urban,,,99.778
2024,13-15 ani / Rural,,,99.736
2024,13-15 ani / Băieți,,,99.681
2024,13-15 ani / Fete,,,99.824
2024,,18-20 ani / Total,,99.322
2024,,18-20 ani / Urban,,98.85
2024,,18-20 ani / Rural,,99.742
2024,,18-20 ani / Bărbați,,99.004
2024,,18-20 ani / Femei,,99.628
2024,,,18-20 ani / Total,82.013
2024,,,21-23 ani / Urban,90.499
2024,,,21-23 ani / Rural,73.003
2024,,,21-23 ani / Bărbați,80.937
2024,,,21-23 ani / Femei,83.01
2025,,,,
2025,13-15 ani / Total,,,99.875
2025,13-15 ani / Urban,,,99.715
2025,13-15 ani / Rural,,,100.0
2025,13-15 ani / Băieți,,,99.771
2025,13-15 ani / Fete,,,100.0
2025,,18-20 ani / Total,,98.823
2025,,18-20 ani / Urban,,98.557
2025,,18-20 ani / Rural,,99.078
2025,,18-20 ani / Bărbați,,97.9
2025,,18-20 ani / Femei,,99.805
2025,,,18-20 ani / Total,80.172
2025,,,21-23 ani / Urban,90.482
2025,,,21-23 ani / Rural,67.696
2025,,,21-23 ani / Bărbați,77.865
2025,,,21-23 ani / Femei,82.8
