Year,Grupa de vârstă,Value
2010,,
2010,"18 ani și peste, adulți",
2010,"0-17 ani, copii",
2011,,
2011,"18 ani și peste, adulți",
2011,"0-17 ani, copii",
2012,,
2012,"18 ani și peste, adulți",
2012,"0-17 ani, copii",
2013,,
2013,"18 ani și peste, adulți",
2013,"0-17 ani, copii",
2014,,64.6
2014,"18 ani și peste, adulți",83.2
2014,"0-17 ani, copii",2.1
2015,,56.0
2015,"18 ani și peste, adulți",72.1
2015,"0-17 ani, copii",1.2
2016,,43.9
2016,"18 ani și peste, adulți",56.6
2016,"0-17 ani, copii",0.8
2017,,44.9
2017,"18 ani și peste, adulți",57.8
2017,"0-17 ani, copii",1.3
2018,,33.1
2018,"18 ani și peste, adulți",42.7
2018,"0-17 ani, copii",1.0
2019,,37.1
2019,"18 ani și peste, adulți",47.5
2019,"0-17 ani, copii",1.6
2020,,18.1
2020,"18 ani și peste, adulți",23.1
2020,"0-17 ani, copii",0.8
2021,,23.2
2021,"18 ani și peste, adulți",28.9
2021,"0-17 ani, copii",3.7
2022,,
2022,"18 ani și peste, adulți",
2022,"0-17 ani, copii",
