Year,Sub-indicatori,Value
2010,,
2010,Mortalitatea maternă (la 1000 femei de vârstă reproductivă),
2010,Mortalitatea neonatală precoce (la 1000 născuți-vii),
2010,"Modern contraception (women of reproductive age use modern methods of contraception), %",
2010,Avort (la 1000 femei de vârstă reproductivă),
2011,,
2011,Mortalitatea maternă (la 1000 femei de vârstă reproductivă),
2011,Mortalitatea neonatală precoce (la 1000 născuți-vii),
2011,"Modern contraception (women of reproductive age use modern methods of contraception), %",
2011,Avort (la 1000 femei de vârstă reproductivă),
2012,,
2012,Mortalitatea maternă (la 1000 femei de vârstă reproductivă),
2012,Mortalitatea neonatală precoce (la 1000 născuți-vii),
2012,"Modern contraception (women of reproductive age use modern methods of contraception), %",31.6
2012,Avort (la 1000 femei de vârstă reproductivă),
2013,,
2013,Mortalitatea maternă (la 1000 femei de vârstă reproductivă),
2013,Mortalitatea neonatală precoce (la 1000 născuți-vii),
2013,"Modern contraception (women of reproductive age use modern methods of contraception), %",
2013,Avort (la 1000 femei de vârstă reproductivă),
2014,,
2014,Mortalitatea maternă (la 1000 femei de vârstă reproductivă),0.0
2014,Mortalitatea neonatală precoce (la 1000 născuți-vii),4.2
2014,"Modern contraception (women of reproductive age use modern methods of contraception), %",
2014,Avort (la 1000 femei de vârstă reproductivă),19.6
2015,,
2015,Mortalitatea maternă (la 1000 femei de vârstă reproductivă),0.0
2015,Mortalitatea neonatală precoce (la 1000 născuți-vii),4.5
2015,"Modern contraception (women of reproductive age use modern methods of contraception), %",
2015,Avort (la 1000 femei de vârstă reproductivă),20.2
2016,,
2016,Mortalitatea maternă (la 1000 femei de vârstă reproductivă),0.0
2016,Mortalitatea neonatală precoce (la 1000 născuți-vii),4.3
2016,"Modern contraception (women of reproductive age use modern methods of contraception), %",
2016,Avort (la 1000 femei de vârstă reproductivă),19.6
2017,,
2017,Mortalitatea maternă (la 1000 femei de vârstă reproductivă),0.0
2017,Mortalitatea neonatală precoce (la 1000 născuți-vii),3.7
2017,"Modern contraception (women of reproductive age use modern methods of contraception), %",
2017,Avort (la 1000 femei de vârstă reproductivă),18.3
2018,,
2018,Mortalitatea maternă (la 1000 femei de vârstă reproductivă),0.0
2018,Mortalitatea neonatală precoce (la 1000 născuți-vii),4.3
2018,"Modern contraception (women of reproductive age use modern methods of contraception), %",
2018,Avort (la 1000 femei de vârstă reproductivă),17.0
2019,,
2019,Mortalitatea maternă (la 1000 femei de vârstă reproductivă),0.0
2019,Mortalitatea neonatală precoce (la 1000 născuți-vii),4.2
2019,"Modern contraception (women of reproductive age use modern methods of contraception), %",
2019,Avort (la 1000 femei de vârstă reproductivă),17.5
2020,,
2020,Mortalitatea maternă (la 1000 femei de vârstă reproductivă),0.0
2020,Mortalitatea neonatală precoce (la 1000 născuți-vii),4.4
2020,"Modern contraception (women of reproductive age use modern methods of contraception), %",
2020,Avort (la 1000 femei de vârstă reproductivă),13.6
2021,,
2021,Mortalitatea maternă (la 1000 femei de vârstă reproductivă),0.0
2021,Mortalitatea neonatală precoce (la 1000 născuți-vii),4.1
2021,"Modern contraception (women of reproductive age use modern methods of contraception), %",
2021,Avort (la 1000 femei de vârstă reproductivă),14.2
2022,,
2022,Mortalitatea maternă (la 1000 femei de vârstă reproductivă),
2022,Mortalitatea neonatală precoce (la 1000 născuți-vii),
2022,"Modern contraception (women of reproductive age use modern methods of contraception), %",
2022,Avort (la 1000 femei de vârstă reproductivă),
