Year,Indicatori,"Personal medical la 10.000 populație, în aspect teritorial",Value
2014,Numărul personalului medical  la 10 000 populatie,,138.1
2014,Numărul de medici la 10 000 populație,,46.9
2014,Numărul personalului medical cu studii medii la 10 000 populație,,91.1
2014,Numărul de stomatologi și dentiști la 10 000 populație,,6.2
2014,Numărul de farmaciști la 10 000 populație,,6.7
2014,,Total țară,138.1
2014,,Mun. Chișinău,83.6
2014,,Nord,95.5
2014,,mun. Bălți,164.5
2014,,Briceni,81.4
2014,,Dondușeni,94.8
2014,,Drochia,87.9
2014,,Edineț,95.9
2014,,Fălești,71.7
2014,,Florești,80.4
2014,,Glodeni,80.0
2014,,Ocnița,91.0
2014,,Râșcani,89.3
2014,,Sângerei,72.3
2014,,Soroca,102.7
2014,,Centru,71.6
2014,,Anenii Noi,65.7
2014,,Călărași,73.4
2014,,Criuleni,63.6
2014,,Dubăsari,41.2
2014,,Hâncești,69.8
2014,,Ialoveni,61.1
2014,,Nisporeni,81.3
2014,,Orhei,85.8
2014,,Rezina,80.0
2014,,Strășeni,64.9
2014,,Șoldănești,80.9
2014,,Telenești,74.5
2014,,Ungheni,77.9
2014,,Sud,81.1
2014,,Basarabeasca,91.1
2014,,Cahul,89.1
2014,,Cantemir,81.0
2014,,Căușeni,76.7
2014,,Cimișlia,82.3
2014,,Leova,74.8
2014,,Ștefan Vodă,74.6
2014,,Taraclia,79.4
2014,,UTA Găgăuzia,106.5
2015,Numărul personalului medical  la 10 000 populatie,,133.1
2015,Numărul de medici la 10 000 populație,,46.0
2015,Numărul personalului medical cu studii medii la 10 000 populație,,87.1
2015,Numărul de stomatologi și dentiști la 10 000 populație,,6.3
2015,Numărul de farmaciști la 10 000 populație,,6.6
2015,,Total țară,133.1
2015,,Mun. Chișinău,81.0
2015,,Nord,94.1
2015,,mun. Bălți,164.2
2015,,Briceni,80.2
2015,,Dondușeni,89.4
2015,,Drochia,86.7
2015,,Edineț,93.6
2015,,Fălești,70.5
2015,,Florești,80.3
2015,,Glodeni,78.3
2015,,Ocnița,89.0
2015,,Râșcani,87.6
2015,,Sângerei,71.7
2015,,Soroca,99.9
2015,,Centru,70.9
2015,,Anenii Noi,63.2
2015,,Călărași,75.0
2015,,Criuleni,63.7
2015,,Dubăsari,42.8
2015,,Hâncești,71.5
2015,,Ialoveni,59.9
2015,,Nisporeni,79.6
2015,,Orhei,85.8
2015,,Rezina,77.7
2015,,Strășeni,64.8
2015,,Șoldănești,78.4
2015,,Telenești,73.2
2015,,Ungheni,75.5
2015,,Sud,79.7
2015,,Basarabeasca,89.1
2015,,Cahul,86.4
2015,,Cantemir,80.3
2015,,Căușeni,76.8
2015,,Cimișlia,82.0
2015,,Leova,71.6
2015,,Ștefan Vodă,72.8
