Year,Sex,Grupa de vârstă,Nivelul de studii,Venituri,Mediu,Value
2010,,,,,,
2010,Bărbați,,,,,
2010,Femei,,,,,
2010,,15-24,,,,
2010,,25+,,,,
2010,,,Primare și mai jos,,,
2010,,,Secundar și mai sus,,,
2010,,,,"Poors, 40%",,
2010,,,,"Wealthy, 60%",,
2010,,,,,Rural,
2010,,,,,Urban,
2011,,,,,,
2011,Bărbați,,,,,
2011,Femei,,,,,
2011,,15-24,,,,
2011,,25+,,,,
2011,,,Primare și mai jos,,,
2011,,,Secundar și mai sus,,,
2011,,,,"Poors, 40%",,
2011,,,,"Wealthy, 60%",,
2011,,,,,Rural,
2011,,,,,Urban,
2012,,,,,,
2012,Bărbați,,,,,
2012,Femei,,,,,
2012,,15-24,,,,
2012,,25+,,,,
2012,,,Primare și mai jos,,,
2012,,,Secundar și mai sus,,,
2012,,,,"Poors, 40%",,
2012,,,,"Wealthy, 60%",,
2012,,,,,Rural,
2012,,,,,Urban,
2013,,,,,,
2013,Bărbați,,,,,
2013,Femei,,,,,
2013,,15-24,,,,
2013,,25+,,,,
2013,,,Primare și mai jos,,,
2013,,,Secundar și mai sus,,,
2013,,,,"Poors, 40%",,
2013,,,,"Wealthy, 60%",,
2013,,,,,Rural,
2013,,,,,Urban,
2014,,,,,,
2014,Bărbați,,,,,
2014,Femei,,,,,
2014,,15-24,,,,
2014,,25+,,,,
2014,,,Primare și mai jos,,,
2014,,,Secundar și mai sus,,,
2014,,,,"Poors, 40%",,
2014,,,,"Wealthy, 60%",,
2014,,,,,Rural,
2014,,,,,Urban,
2015,,,,,,
2015,Bărbați,,,,,
2015,Femei,,,,,
2015,,15-24,,,,
2015,,25+,,,,
2015,,,Primare și mai jos,,,
2015,,,Secundar și mai sus,,,
2015,,,,"Poors, 40%",,
2015,,,,"Wealthy, 60%",,
2015,,,,,Rural,
2015,,,,,Urban,
2016,,,,,,
2016,Bărbați,,,,,
2016,Femei,,,,,
2016,,15-24,,,,
2016,,25+,,,,
2016,,,Primare și mai jos,,,
2016,,,Secundar și mai sus,,,
2016,,,,"Poors, 40%",,
2016,,,,"Wealthy, 60%",,
2016,,,,,Rural,
2016,,,,,Urban,
2017,,,,,,
2017,Bărbați,,,,,
2017,Femei,,,,,
2017,,15-24,,,,
2017,,25+,,,,
2017,,,Primare și mai jos,,,
2017,,,Secundar și mai sus,,,
2017,,,,"Poors, 40%",,
2017,,,,"Wealthy, 60%",,
2017,,,,,Rural,
2017,,,,,Urban,
2018,,,,,,
2018,Bărbați,,,,,
2018,Femei,,,,,
2018,,15-24,,,,
2018,,25+,,,,
2018,,,Primare și mai jos,,,
2018,,,Secundar și mai sus,,,
2018,,,,"Poors, 40%",,
2018,,,,"Wealthy, 60%",,
2018,,,,,Rural,
2018,,,,,Urban,
2019,,,,,,
2019,Bărbați,,,,,
2019,Femei,,,,,
2019,,15-24,,,,
2019,,25+,,,,
2019,,,Primare și mai jos,,,
2019,,,Secundar și mai sus,,,
2019,,,,"Poors, 40%",,
2019,,,,"Wealthy, 60%",,
2019,,,,,Rural,
2019,,,,,Urban,
2020,,,,,,
2020,Bărbați,,,,,
2020,Femei,,,,,
2020,,15-24,,,,
2020,,25+,,,,
2020,,,Primare și mai jos,,,
2020,,,Secundar și mai sus,,,
2020,,,,"Poors, 40%",,
2020,,,,"Wealthy, 60%",,
2020,,,,,Rural,
2020,,,,,Urban,
2021,,,,,,
2021,Bărbați,,,,,
2021,Femei,,,,,
2021,,15-24,,,,
2021,,25+,,,,
2021,,,Primare și mai jos,,,
2021,,,Secundar și mai sus,,,
2021,,,,"Poors, 40%",,
2021,,,,"Wealthy, 60%",,
2021,,,,,Rural,
2021,,,,,Urban,
2022,,,,,,
2022,Bărbați,,,,,
2022,Femei,,,,,
2022,,15-24,,,,
2022,,25+,,,,
2022,,,Primare și mai jos,,,
2022,,,Secundar și mai sus,,,
2022,,,,"Poors, 40%",,
2022,,,,"Wealthy, 60%",,
2022,,,,,Rural,
2022,,,,,Urban,
