Year,Regiuni,Value
2010,,
2010,Nord,
2010,Sud,
2010,Centru,
2010,UTA Găgăuzia,
2010,Mun. Chisinău,
2011,,12.2
2011,Nord,6.3
2011,Sud,6.8
2011,Centru,6.4
2011,UTA Găgăuzia,-0.4
2011,Mun. Chisinău,14.2
2012,,12.9
2012,Nord,8.4
2012,Sud,5.5
2012,Centru,9.6
2012,UTA Găgăuzia,7.0
2012,Mun. Chisinău,13.6
2013,,11.6
2013,Nord,8.1
2013,Sud,7.8
2013,Centru,11.8
2013,UTA Găgăuzia,5.3
2013,Mun. Chisinău,9.8
2014,,12.4
2014,Nord,9.1
2014,Sud,10.4
2014,Centru,9.2
2014,UTA Găgăuzia,6.8
2014,Mun. Chisinău,11.4
2015,,13.2
2015,Nord,9.8
2015,Sud,8.0
2015,Centru,8.1
2015,UTA Găgăuzia,7.0
2015,Mun. Chisinău,13.5
2016,,14.5
2016,Nord,9.1
2016,Sud,7.8
2016,Centru,7.3
2016,UTA Găgăuzia,6.2
2016,Mun. Chisinău,15.8
2017,,13.5
2017,Nord,11.3
2017,Sud,6.1
2017,Centru,6.2
2017,UTA Găgăuzia,3.7
2017,Mun. Chisinău,14.7
2018,,14.4
2018,Nord,11.2
2018,Sud,7.3
2018,Centru,7.8
2018,UTA Găgăuzia,5.2
2018,Mun. Chisinău,15.4
2019,,14.1
2019,Nord,7.9
2019,Sud,4.9
2019,Centru,6.2
2019,UTA Găgăuzia,0.2
2019,Mun. Chisinău,16.4
2020,,13.7
2020,Nord,5.5
2020,Sud,2.2
2020,Centru,2.9
2020,UTA Găgăuzia,-1.0
2020,Mun. Chisinău,17.5
2021,,13.6
2021,Nord,2.4
2021,Sud,1.2
2021,Centru,1.9
2021,UTA Găgăuzia,-2.7
2021,Mun. Chisinău,17.7
2022,,
2022,Nord,
2022,Sud,
2022,Centru,
2022,UTA Găgăuzia,
2022,Mun. Chisinău,
