Year,Activități economice,Value
2010,,6.6
2010,"Agricultura, silvicultura și pescuit",10.2
2010,Industria extractivă,21.4
2010,Industria prelucrătoare,1.7
2010,"Producția și furnizarea de energie electrică și termică, gaze şi apă caldă",64.6
2010,Alte activități,2.0
2011,,6.5
2011,"Agricultura, silvicultura și pescuit",10.3
2011,Industria extractivă,21.2
2011,Industria prelucrătoare,0.6
2011,"Producția și furnizarea de energie electrică și termică, gaze şi apă caldă",65.6
2011,Alte activități,1.0
2012,,6.5
2012,"Agricultura, silvicultura și pescuit",10.2
2012,Industria extractivă,21.5
2012,Industria prelucrătoare,1.8
2012,"Producția și furnizarea de energie electrică și termică, gaze şi apă caldă",65.4
2012,Alte activități,1.0
2013,,6.45
2013,"Agricultura, silvicultura și pescuit",10.7
2013,Industria extractivă,20.3
2013,Industria prelucrătoare,1.8
2013,"Producția și furnizarea de energie electrică și termică, gaze şi apă caldă",66.1
2013,Alte activități,1.0
2014,,6.45
2014,"Agricultura, silvicultura și pescuit",10.5
2014,Industria extractivă,20.0
2014,Industria prelucrătoare,1.9
2014,"Producția și furnizarea de energie electrică și termică, gaze şi apă caldă",66.3
2014,Alte activități,1.2
2015,,6.45
2015,"Agricultura, silvicultura și pescuit",10.6
2015,Industria extractivă,20.2
2015,Industria prelucrătoare,1.9
2015,"Producția și furnizarea de energie electrică și termică, gaze şi apă caldă",66.2
2015,Alte activități,1.0
2016,,6.45
2016,"Agricultura, silvicultura și pescuit",10.6
2016,Industria extractivă,20.4
2016,Industria prelucrătoare,1.8
2016,"Producția și furnizarea de energie electrică și termică, gaze şi apă caldă",66.1
2016,Alte activități,1.0
2017,,6.45
2017,"Agricultura, silvicultura și pescuit",10.5
2017,Industria extractivă,20.5
2017,Industria prelucrătoare,1.9
2017,"Producția și furnizarea de energie electrică și termică, gaze şi apă caldă",66.2
2017,Alte activități,1.0
2018,,6.45
2018,"Agricultura, silvicultura și pescuit",10.6
2018,Industria extractivă,20.5
2018,Industria prelucrătoare,1.3
2018,"Producția și furnizarea de energie electrică și termică, gaze şi apă caldă",66.3
2018,Alte activități,1.0
2019,,6.45
2019,"Agricultura, silvicultura și pescuit",10.7
2019,Industria extractivă,20.6
2019,Industria prelucrătoare,1.3
2019,"Producția și furnizarea de energie electrică și termică, gaze şi apă caldă",66.1
2019,Alte activități,1.0
2020,,6.5
2020,"Agricultura, silvicultura și pescuit",11.5
2020,Industria extractivă,20.4
2020,Industria prelucrătoare,1.3
2020,"Producția și furnizarea de energie electrică și termică, gaze şi apă caldă",65.6
2020,Alte activități,1.0
2021,,6.43
2021,"Agricultura, silvicultura și pescuit",11.0
2021,Industria extractivă,20.0
2021,Industria prelucrătoare,1.3
2021,"Producția și furnizarea de energie electrică și termică, gaze şi apă caldă",66.4
2021,Alte activități,1.0
2022,,6.45
2022,"Agricultura, silvicultura și pescuit",12.1
2022,Industria extractivă,20.3
2022,Industria prelucrătoare,1.3
2022,"Producția și furnizarea de energie electrică și termică, gaze şi apă caldă",65.7
2022,Alte activități,1.0
2023,,1.2
2023,"Agricultura, silvicultura și pescuit",0.3
2023,Industria extractivă,2.7
2023,Industria prelucrătoare,0.1
2023,"Producția și furnizarea de energie electrică și termică, gaze şi apă caldă",0.8
2023,Alte activități,
2024,,1.66
2024,"Agricultura, silvicultura și pescuit",0.5
2024,Industria extractivă,1.0
2024,Industria prelucrătoare,0.07
2024,"Producția și furnizarea de energie electrică și termică, gaze şi apă caldă",0.03
2024,Alte activități,
