Year,Grupa de vârstă,Regiuni,Value
2010,,,
2010,15-17 ani,,
2010,18-49 ani,,
2010,,North ,
2010,,Centru,
2010,,Sud,
2010,,Mun. Chișinău,
2010,,UTA Găgăuzia,
2011,,,
2011,15-17 ani,,
2011,18-49 ani,,
2011,,North ,
2011,,Centru,
2011,,Sud,
2011,,Mun. Chișinău,
2011,,UTA Găgăuzia,
2012,,,
2012,15-17 ani,,
2012,18-49 ani,,
2012,,North ,
2012,,Centru,
2012,,Sud,
2012,,Mun. Chișinău,
2012,,UTA Găgăuzia,
2013,,,
2013,15-17 ani,,
2013,18-49 ani,,
2013,,North ,
2013,,Centru,
2013,,Sud,
2013,,Mun. Chișinău,
2013,,UTA Găgăuzia,
2014,,,
2014,15-17 ani,,
2014,18-49 ani,,
2014,,North ,
2014,,Centru,
2014,,Sud,
2014,,Mun. Chișinău,
2014,,UTA Găgăuzia,
2015,,,
2015,15-17 ani,,
2015,18-49 ani,,
2015,,North ,
2015,,Centru,
2015,,Sud,
2015,,Mun. Chișinău,
2015,,UTA Găgăuzia,
2016,,,
2016,15-17 ani,,
2016,18-49 ani,,
2016,,North ,
2016,,Centru,
2016,,Sud,
2016,,Mun. Chișinău,
2016,,UTA Găgăuzia,
2017,,,
2017,15-17 ani,,
2017,18-49 ani,,
2017,,North ,
2017,,Centru,
2017,,Sud,
2017,,Mun. Chișinău,
2017,,UTA Găgăuzia,
2018,,,
2018,15-17 ani,,
2018,18-49 ani,,
2018,,North ,
2018,,Centru,
2018,,Sud,
2018,,Mun. Chișinău,
2018,,UTA Găgăuzia,
2019,,,
2019,15-17 ani,,
2019,18-49 ani,,
2019,,North ,
2019,,Centru,
2019,,Sud,
2019,,Mun. Chișinău,
2019,,UTA Găgăuzia,
2020,,,
2020,15-17 ani,,
2020,18-49 ani,,
2020,,North ,
2020,,Centru,
2020,,Sud,
2020,,Mun. Chișinău,
2020,,UTA Găgăuzia,
2021,,,1.2
2021,15-17 ani,,1.6
2021,18-49 ani,,1.1
2021,,North ,1.3
2021,,Centru,1.1
2021,,Sud,3.0
2021,,Mun. Chișinău,0.9
2021,,UTA Găgăuzia,1.0
2022,,,1.2
2022,15-17 ani,,1.9
2022,18-49 ani,,1.2
2022,,North ,1.3
2022,,Centru,1.3
2022,,Sud,2.7
2022,,Mun. Chișinău,0.8
2022,,UTA Găgăuzia,0.9
