Year,Mediul de reședință,Sex of the head of the household,"Age groups of head of household, years",Quintiles on consumption expenditures,Household type,Value
2010,,,,,,
2010,Urban,,,,,
2010,Rural,,,,,
2010,,Bărbați,,,,
2010,,Femei,,,,
2010,,,<30,,,
2010,,,30-39,,,
2010,,,40-49,,,
2010,,,50-59,,,
2010,,,60-64,,,
2010,,,65+,,,
2010,,,,I,,
2010,,,,II,,
2010,,,,III,,
2010,,,,IV,,
2010,,,,V,,
2010,,,,,With children up to 18 years,
2010,,,,,Without children up to 18 years,
2011,,,,,,
2011,Urban,,,,,
2011,Rural,,,,,
2011,,Bărbați,,,,
2011,,Femei,,,,
2011,,,<30,,,
2011,,,30-39,,,
2011,,,40-49,,,
2011,,,50-59,,,
2011,,,60-64,,,
2011,,,65+,,,
2011,,,,I,,
2011,,,,II,,
2011,,,,III,,
2011,,,,IV,,
2011,,,,V,,
2011,,,,,With children up to 18 years,
2011,,,,,Without children up to 18 years,
2012,,,,,,
2012,Urban,,,,,
2012,Rural,,,,,
2012,,Bărbați,,,,
2012,,Femei,,,,
2012,,,<30,,,
2012,,,30-39,,,
2012,,,40-49,,,
2012,,,50-59,,,
2012,,,60-64,,,
2012,,,65+,,,
2012,,,,I,,
2012,,,,II,,
2012,,,,III,,
2012,,,,IV,,
2012,,,,V,,
2012,,,,,With children up to 18 years,
2012,,,,,Without children up to 18 years,
2013,,,,,,
2013,Urban,,,,,
2013,Rural,,,,,
2013,,Bărbați,,,,
2013,,Femei,,,,
2013,,,<30,,,
2013,,,30-39,,,
2013,,,40-49,,,
2013,,,50-59,,,
2013,,,60-64,,,
2013,,,65+,,,
2013,,,,I,,
2013,,,,II,,
2013,,,,III,,
2013,,,,IV,,
2013,,,,V,,
2013,,,,,With children up to 18 years,
2013,,,,,Without children up to 18 years,
2014,,,,,,15.4
2014,Urban,,,,,14.0
2014,Rural,,,,,16.4
2014,,Bărbați,,,,14.8
2014,,Femei,,,,16.8
2014,,,<30,,,13.5
2014,,,30-39,,,8.2
2014,,,40-49,,,9.6
2014,,,50-59,,,16.8
2014,,,60-64,,,18.5
2014,,,65+,,,29.8
2014,,,,I,,10.2
2014,,,,II,,12.6
2014,,,,III,,16.8
2014,,,,IV,,18.4
2014,,,,V,,19.2
2014,,,,,With children up to 18 years,11.6
2014,,,,,Without children up to 18 years,19.7
2015,,,,,,18.0
2015,Urban,,,,,17.7
2015,Rural,,,,,18.3
2015,,Bărbați,,,,16.5
2015,,Femei,,,,21.4
2015,,,<30,,,8.6
2015,,,30-39,,,12.5
2015,,,40-49,,,12.5
2015,,,50-59,,,18.2
2015,,,60-64,,,24.5
2015,,,65+,,,33.8
2015,,,,I,,12.7
2015,,,,II,,15.1
2015,,,,III,,19.1
2015,,,,IV,,19.3
2015,,,,V,,23.9
2015,,,,,With children up to 18 years,13.0
2015,,,,,Without children up to 18 years,23.5
2016,,,,,,17.2
2016,Urban,,,,,17.2
2016,Rural,,,,,17.1
2016,,Bărbați,,,,16.1
2016,,Femei,,,,19.2
2016,,,<30,,,9.2
2016,,,30-39,,,11.1
2016,,,40-49,,,11.1
2016,,,50-59,,,18.4
2016,,,60-64,,,23.5
2016,,,65+,,,31.1
2016,,,,I,,12.1
2016,,,,II,,14.4
2016,,,,III,,16.3
2016,,,,IV,,20.8
