Year,Tipul prestației,Value
2010,,
2010,Ajutor social,
2010,Ajutor pentru perioada rece a anului,
2010,Compensații la energie sub formă de plată monetară,
2011,,
2011,Ajutor social,
2011,Ajutor pentru perioada rece a anului,
2011,Compensații la energie sub formă de plată monetară,
2012,,
2012,Ajutor social,
2012,Ajutor pentru perioada rece a anului,
2012,Compensații la energie sub formă de plată monetară,
2013,,
2013,Ajutor social,
2013,Ajutor pentru perioada rece a anului,
2013,Compensații la energie sub formă de plată monetară,
2014,,
2014,Ajutor social,
2014,Ajutor pentru perioada rece a anului,
2014,Compensații la energie sub formă de plată monetară,
2015,,
2015,Ajutor social,
2015,Ajutor pentru perioada rece a anului,
2015,Compensații la energie sub formă de plată monetară,
2016,,
2016,Ajutor social,
2016,Ajutor pentru perioada rece a anului,
2016,Compensații la energie sub formă de plată monetară,
2017,,
2017,Ajutor social,
2017,Ajutor pentru perioada rece a anului,
2017,Compensații la energie sub formă de plată monetară,
2018,,1.3
2018,Ajutor social,0.9
2018,Ajutor pentru perioada rece a anului,0.4
2018,Compensații la energie sub formă de plată monetară,
2019,,1.2
2019,Ajutor social,0.7
2019,Ajutor pentru perioada rece a anului,0.5
2019,Compensații la energie sub formă de plată monetară,
2020,,1.6
2020,Ajutor social,0.9
2020,Ajutor pentru perioada rece a anului,0.7
2020,Compensații la energie sub formă de plată monetară,
2021,,1.5
2021,Ajutor social,0.8
2021,Ajutor pentru perioada rece a anului,0.7
2021,Compensații la energie sub formă de plată monetară,
2022,,1.4
2022,Ajutor social,0.6
2022,Ajutor pentru perioada rece a anului,0.8
2022,Compensații la energie sub formă de plată monetară,
2023,,1.3
2023,Ajutor social,0.6
2023,Ajutor pentru perioada rece a anului,0.5
2023,Compensații la energie sub formă de plată monetară,0.2
2024,,1.4
2024,Ajutor social,0.4
2024,Ajutor pentru perioada rece a anului,
2024,Compensații la energie sub formă de plată monetară,1.0
2025,,2.4
2025,Ajutor social,0.4
2025,Ajutor pentru perioada rece a anului,
2025,Compensații la energie sub formă de plată monetară,2.0
