Year,Area of residence,Sex,Age group,Quintiles on consumption expenditures,Existence of disability,Value
2010,,,,,,
2010,Urban,,,,,
2010,Rural,,,,,
2010,,Men,,,,
2010,,Women,,,,
2010,,,0-17,,,
2010,,,18-29,,,
2010,,,30-39,,,
2010,,,40-49,,,
2010,,,50-59,,,
2010,,,60+,,,
2010,,,,I,,
2010,,,,II,,
2010,,,,III,,
2010,,,,IV,,
2010,,,,V,,
2010,,,,,People with disability,
2010,,,,,People without disability,
2011,,,,,,
2011,Urban,,,,,
2011,Rural,,,,,
2011,,Men,,,,
2011,,Women,,,,
2011,,,0-17,,,
2011,,,18-29,,,
2011,,,30-39,,,
2011,,,40-49,,,
2011,,,50-59,,,
2011,,,60+,,,
2011,,,,I,,
2011,,,,II,,
2011,,,,III,,
2011,,,,IV,,
2011,,,,V,,
2011,,,,,People with disability,
2011,,,,,People without disability,
2012,,,,,,
2012,Urban,,,,,
2012,Rural,,,,,
2012,,Men,,,,
2012,,Women,,,,
2012,,,0-17,,,
2012,,,18-29,,,
2012,,,30-39,,,
2012,,,40-49,,,
2012,,,50-59,,,
2012,,,60+,,,
2012,,,,I,,
2012,,,,II,,
2012,,,,III,,
2012,,,,IV,,
2012,,,,V,,
2012,,,,,People with disability,
2012,,,,,People without disability,
2013,,,,,,
2013,Urban,,,,,
2013,Rural,,,,,
2013,,Men,,,,
2013,,Women,,,,
2013,,,0-17,,,
2013,,,18-29,,,
2013,,,30-39,,,
2013,,,40-49,,,
2013,,,50-59,,,
2013,,,60+,,,
2013,,,,I,,
2013,,,,II,,
2013,,,,III,,
2013,,,,IV,,
2013,,,,V,,
2013,,,,,People with disability,
2013,,,,,People without disability,
2014,,,,,,21.5
2014,Urban,,,,,29.5
2014,Rural,,,,,15.7
2014,,Men,,,,22.7
2014,,Women,,,,20.4
2014,,,0-17,,,36.4
2014,,,18-29,,,28.5
2014,,,30-39,,,30.2
2014,,,40-49,,,19.6
2014,,,50-59,,,9.4
2014,,,60+,,,4.5
2014,,,,I,,35.6
2014,,,,II,,20.5
2014,,,,III,,19.1
2014,,,,IV,,15.8
2014,,,,V,,16.5
2014,,,,,People with disability,10.2
2014,,,,,People without disability,22.2
2015,,,,,,18.4
2015,Urban,,,,,27.1
2015,Rural,,,,,12.2
2015,,Men,,,,19.1
2015,,Women,,,,17.8
2015,,,0-17,,,33.4
2015,,,18-29,,,20.1
2015,,,30-39,,,29.2
2015,,,40-49,,,17.0
2015,,,50-59,,,6.7
2015,,,60+,,,4.8
2015,,,,I,,27.7
2015,,,,II,,17.8
2015,,,,III,,15.2
2015,,,,IV,,17.1
2015,,,,V,,14.4
2015,,,,,People with disability,8.9
2015,,,,,People without disability,19.2
2016,,,,,,18.9
2016,Urban,,,,,26.1
2016,Rural,,,,,13.7
2016,,Men,,,,19.9
2016,,Women,,,,18.0
2016,,,0-17,,,35.3
2016,,,18-29,,,22.3
2016,,,30-39,,,27.7
2016,,,40-49,,,16.0
2016,,,50-59,,,7.3
2016,,,60+,,,4.2
2016,,,,I,,29.4
2016,,,,II,,20.7
2016,,,,III,,15.5
2016,,,,IV,,14.5
2016,,,,V,,14.3
2016,,,,,People with disability,9.5
2016,,,,,People without disability,19.6
2017,,,,,,17.6
2017,Urban,,,,,24.5
2017,Rural,,,,,12.8
