Year,Statut,Value
2010,,
2010,Asigurați,
2010,Neasigurați,
2011,,
2011,Asigurați,
2011,Neasigurați,
2012,,
2012,Asigurați,
2012,Neasigurați,
2013,,
2013,Asigurați,
2013,Neasigurați,
2014,,70.358
2014,Asigurați,36.224
2014,Neasigurați,34.134
2015,,69.006
2015,Asigurați,37.677
2015,Neasigurați,31.329
2016,,70.032
2016,Asigurați,39.666
2016,Neasigurați,30.366
2017,,71.622
2017,Asigurați,42.445
2017,Neasigurați,29.177
2018,,82.147
2018,Asigurați,45.884
2018,Neasigurați,36.2
2019,,93.524
2019,Asigurați,52.028
2019,Neasigurați,41.496
2020,,94.078
2020,Asigurați,55.741
2020,Neasigurați,38.337
2021,,93.8
2021,Asigurați,55.4
2021,Neasigurați,38.4
2022,,89.5
2022,Asigurați,52.4
2022,Neasigurați,37.1
