Year,Regions,Value
2010,,
2010,Mun. Chișinău,
2010,North,
2010,Center,
2010,South,
2010,ATU Gagauzia,
2011,,
2011,Mun. Chișinău,
2011,North,
2011,Center,
2011,South,
2011,ATU Gagauzia,
2012,,
2012,Mun. Chișinău,
2012,North,
2012,Center,
2012,South,
2012,ATU Gagauzia,
2013,,
2013,Mun. Chișinău,
2013,North,
2013,Center,
2013,South,
2013,ATU Gagauzia,
2014,,
2014,Mun. Chișinău,
2014,North,
2014,Center,
2014,South,
2014,ATU Gagauzia,
2015,,0.1
2015,Mun. Chișinău,
2015,North,
2015,Center,
2015,South,
2015,ATU Gagauzia,
2016,,5.9
2016,Mun. Chișinău,
2016,North,
2016,Center,
2016,South,
2016,ATU Gagauzia,
2017,,6.0
2017,Mun. Chișinău,
2017,North,
2017,Center,
2017,South,
2017,ATU Gagauzia,
2018,,5.9
2018,Mun. Chișinău,
2018,North,
2018,Center,
2018,South,
2018,ATU Gagauzia,
2019,,5.2
2019,Mun. Chișinău,
2019,North,
2019,Center,
2019,South,
2019,ATU Gagauzia,
2020,,-7.3
2020,Mun. Chișinău,-8.1
2020,North,-8.9
2020,Center,-7.0
2020,South,-8.7
2020,ATU Gagauzia,-10.6
2021,,14.8
2021,Mun. Chișinău,
2021,North,
2021,Center,
2021,South,
2021,ATU Gagauzia,
2022,,
2022,Mun. Chișinău,
2022,North,
2022,Center,
2022,South,
2022,ATU Gagauzia,
