Year,Mediul de reședință,Sex,Value
2010,,,
2010,Rural,,
2010,,Femei,
2011,,,
2011,Rural,,
2011,,Femei,
2012,,,
2012,Rural,,
2012,,Femei,
2013,,,
2013,Rural,,
2013,,Femei,
2014,,,
2014,Rural,,
2014,,Femei,
2015,,,
2015,Rural,,1.1
2015,,Femei,0.7
2016,,,
2016,Rural,,1.0
2016,,Femei,0.7
2017,,,
2017,Rural,,1.0
2017,,Femei,0.7
2018,,,
2018,Rural,,1.1
2018,,Femei,0.6
2019,,,
2019,Rural,,1.0
2019,,Femei,0.6
2020,,,
2020,Rural,,1.0
2020,,Femei,0.6
2021,,,
2021,Rural,,1.0
2021,,Femei,0.5
2022,,,
2022,Rural,,1.0
2022,,Femei,0.5
