Year,Mediul de reședință,Sex,Value
2010,,,11.7
2010,Urban,,10.1
2010,Rural,,12.8
2010,,Bărbați,14.0
2010,,Femei,9.4
2011,,,10.9
2011,Urban,,9.3
2011,Rural,,12.0
2011,,Bărbați,13.6
2011,,Femei,8.2
2012,,,9.8
2012,Urban,,8.2
2012,Rural,,10.8
2012,,Bărbați,9.6
2012,,Femei,10.1
2013,,,9.4
2013,Urban,,9.7
2013,Rural,,9.4
2013,,Bărbați,9.3
2013,,Femei,9.7
2014,,,9.1
2014,Urban,,6.7
2014,Rural,,10.6
2014,,Bărbați,10.7
2014,,Femei,7.4
2015,,,9.2
2015,Urban,,8.1
2015,Rural,,9.9
2015,,Bărbați,10.6
2015,,Femei,7.8
2016,,,8.9
2016,Urban,,8.0
2016,Rural,,9.4
2016,,Bărbați,10.0
2016,,Femei,7.6
2017,,,9.1
2017,Urban,,7.7
2017,Rural,,9.9
2017,,Bărbați,10.1
2017,,Femei,8.0
2018,,,9.4
2018,Urban,,9.0
2018,Rural,,9.7
2018,,Bărbați,11.0
2018,,Femei,7.8
2019,,,8.6
2019,Urban,,7.8
2019,Rural,,9.2
2019,,Bărbați,8.7
2019,,Femei,8.5
2020,,,8.8
2020,Urban,,6.6
2020,Rural,,10.2
2020,,Bărbați,9.0
2020,,Femei,8.5
2021,,,8.7
2021,Urban,,7.3
2021,Rural,,9.6
2021,,Bărbați,9.3
2021,,Femei,9.1
2022,,,
2022,Urban,,
2022,Rural,,
2022,,Bărbați,
2022,,Femei,
