Year,Sex,Value
2010,,
2010,Bărbați,
2010,Femei,
2011,,
2011,Bărbați,
2011,Femei,
2012,,
2012,Bărbați,
2012,Femei,
2013,,
2013,Bărbați,
2013,Femei,
2014,,50.6
2014,Bărbați,44.1
2014,Femei,57.3
2015,,50.3
2015,Bărbați,43.6
2015,Femei,57.1
2016,,51.9
2016,Bărbați,45.7
2016,Femei,58.4
2017,,52.8
2017,Bărbați,45.9
2017,Femei,59.9
2018,,54.8
2018,Bărbați,47.3
2018,Femei,62.5
2019,,56.2
2019,Bărbați,47.6
2019,Femei,65.2
2020,,61.3
2020,Bărbați,51.3
2020,Femei,71.8
2021,,64.4
2021,Bărbați,53.2
2021,Femei,76.2
2022,,
2022,Bărbați,
2022,Femei,
