Year,Tipuri de infracțiuni,Sex,Grupa de vârstă,Forms of violence ,Value
2010,,,,,
2010,"Leziuni, corporale grave",,,,
2010,Răpirea unei persoane,,,,
2010,Agresiune sexuală,,,,
2010,Jaf,,,,
2010,Tâlhăria,,,,
2010,Șantajul,,,,
2010,Violenţa în familie,,,,
2010,Huliganismul,,,,
2010,,Bărbați,,,
2010,,Femei,,,
2010,,,0-17 ani,,
2010,,,18 ani și peste,,
2010,,,,Violență psihologică,
2010,,,,Violență fizică,
2010,,,,Violență sexuală,
2011,,,,,
2011,"Leziuni, corporale grave",,,,
2011,Răpirea unei persoane,,,,
2011,Agresiune sexuală,,,,
2011,Jaf,,,,
2011,Tâlhăria,,,,
2011,Șantajul,,,,
2011,Violenţa în familie,,,,
2011,Huliganismul,,,,
2011,,Bărbați,,,
2011,,Femei,,,
2011,,,0-17 ani,,
2011,,,18 ani și peste,,
2011,,,,Violență psihologică,
2011,,,,Violență fizică,
2011,,,,Violență sexuală,
2012,,,,,
2012,"Leziuni, corporale grave",,,,
2012,Răpirea unei persoane,,,,
2012,Agresiune sexuală,,,,
2012,Jaf,,,,
2012,Tâlhăria,,,,
2012,Șantajul,,,,
2012,Violenţa în familie,,,,
2012,Huliganismul,,,,
2012,,Bărbați,,,
2012,,Femei,,,
2012,,,0-17 ani,,
2012,,,18 ani și peste,,
2012,,,,Violență psihologică,
2012,,,,Violență fizică,
2012,,,,Violență sexuală,
2013,,,,,
2013,"Leziuni, corporale grave",,,,
2013,Răpirea unei persoane,,,,
2013,Agresiune sexuală,,,,
2013,Jaf,,,,
2013,Tâlhăria,,,,
2013,Șantajul,,,,
2013,Violenţa în familie,,,,
2013,Huliganismul,,,,
2013,,Bărbați,,,
2013,,Femei,,,
2013,,,0-17 ani,,
2013,,,18 ani și peste,,
2013,,,,Violență psihologică,
2013,,,,Violență fizică,
2013,,,,Violență sexuală,
2014,,,,,98.267
2014,"Leziuni, corporale grave",,,,4.638
2014,Răpirea unei persoane,,,,1.476
2014,Agresiune sexuală,,,,9.591
2014,Jaf,,,,22.907
2014,Tâlhăria,,,,2.249
2014,Șantajul,,,,1.23
2014,Violenţa în familie,,,,30.566
2014,Huliganismul,,,,25.612
2014,,Bărbați,,,96.905
2014,,Femei,,,99.528
2014,,,0-17 ani,,41.825
2014,,,18 ani și peste,,113.73
2014,,,,Violență psihologică,7.273
2014,,,,Violență fizică,32.006
2014,,,,Violență sexuală,9.591
2015,,,,,116.08
2015,"Leziuni, corporale grave",,,,4.778
2015,Răpirea unei persoane,,,,1.451
2015,Agresiune sexuală,,,,11.113
2015,Jaf,,,,25.163
2015,Tâlhăria,,,,2.654
2015,Șantajul,,,,0.602
2015,Violenţa în familie,,,,40.027
2015,Huliganismul,,,,30.294
2015,,Bărbați,,,112.646
2015,,Femei,,,119.267
2015,,,0-17 ani,,52.971
2015,,,18 ani și peste,,133.31
2015,,,,Violență psihologică,11.537
2015,,,,Violență fizică,39.885
2015,,,,Violență sexuală,11.113
2016,,,,,133.525
2016,"Leziuni, corporale grave",,,,5.898
2016,Răpirea unei persoane,,,,1.403
2016,Agresiune sexuală,,,,13.701
2016,Jaf,,,,27.654
2016,Tâlhăria,,,,2.913
2016,Șantajul,,,,1.223
2016,Violenţa în familie,,,,39.881
2016,Huliganismul,,,,40.852
2016,,Bărbați,,,139.526
2016,,Femei,,,127.988
2016,,,0-17 ani,,51.836
2016,,,18 ani și peste,,156.091
2016,,,,Violență psihologică,20.606
2016,,,,Violență fizică,58.689
2016,,,,Violență sexuală,13.701
2017,,,,,118.477
2017,"Leziuni, corporale grave",,,,5.898
2017,Răpirea unei persoane,,,,1.246
2017,Agresiune sexuală,,,,18.061
2017,Jaf,,,,25.351
2017,Tâlhăria,,,,2.601
2017,Șantajul,,,,1.282
2017,Violenţa în familie,,,,21.248
2017,Huliganismul,,,,42.79
2017,,Bărbați,,,137.252
2017,,Femei,,,101.282
2017,,,0-17 ani,,79.659
2017,,,18 ani și peste,,129.328
2017,,,,Violență psihologică,26.817
2017,,,,Violență fizică,68.104
2017,,,,Violență sexuală,18.061
2018,,,,,120.569
2018,"Leziuni, corporale grave",,,,6.779
2018,Răpirea unei persoane,,,,1.602
2018,Agresiune sexuală,,,,20.635
2018,Jaf,,,,22.013
2018,Tâlhăria,,,,2.421
2018,Șantajul,,,,2.943
2018,Violenţa în familie,,,,25.179
2018,Huliganismul,,,,38.998
2018,,Bărbați,,,135.251
2018,,Femei,,,107.15
2018,,,0-17 ani,,99.619
2018,,,18 ani și peste,,126.396
2018,,,,Violență psihologică,32.033
2018,,,,Violență fizică,69.093
2018,,,,Violență sexuală,20.635
2019,,,,,114.046
2019,"Leziuni, corporale grave",,,,6.241
2019,Răpirea unei persoane,,,,1.021
2019,Agresiune sexuală,,,,21.031
2019,Jaf,,,,19.934
2019,Tâlhăria,,,,2.913
2019,Șantajul,,,,2.005
2019,Violenţa în familie,,,,24.209
2019,Huliganismul,,,,36.691
2019,,Bărbați,,,129.694
2019,,Femei,,,99.748
2019,,,0-17 ani,,91.24
2019,,,18 ani și peste,,120.344
2019,,,,Violență psihologică,28.937
2019,,,,Violență fizică,66.082
2019,,,,Violență sexuală,21.031
2020,,,,,87.109
2020,"Leziuni, corporale grave",,,,4.302
2020,Răpirea unei persoane,,,,0.99
2020,Agresiune sexuală,,,,17.437
2020,Jaf,,,,15.381
2020,Tâlhăria,,,,1.904
2020,Șantajul,,,,1.409
2020,Violenţa în familie,,,,19.988
2020,Huliganismul,,,,25.699
2020,,Bărbați,,,96.715
2020,,Femei,,,78.344
2020,,,0-17 ani,,77.078
2020,,,18 ani și peste,,89.862
2020,,,,Violență psihologică,22.196
2020,,,,Violență fizică,48.77
2020,,,,Violență sexuală,17.437
2021,,,,,103.975
2021,"Leziuni, corporale grave",,,,4.366
2021,Răpirea unei persoane,,,,1.326
2021,Agresiune sexuală,,,,20.039
2021,Jaf,,,,16.257
2021,Tâlhăria,,,,1.988
2021,Șantajul,,,,3.197
2021,Violenţa în familie,,,,25.302
2021,Huliganismul,,,,31.501
2021,,Bărbați,,,115.419
2021,,Femei,,,93.625
2021,,,0-17 ani,,96.841
2021,,,18 ani și peste,,105.938
2021,,,,Violență psihologică,26.51
2021,,,,Violență fizică,56.374
2021,,,,Violență sexuală,20.039
2022,,,,,115.61
2022,"Leziuni, corporale grave",,,,4.537
2022,Răpirea unei persoane,,,,1.234
2022,Agresiune sexuală,,,,21.968
2022,Jaf,,,,16.993
2022,Tâlhăria,,,,2.587
2022,Șantajul,,,,2.945
2022,Violenţa în familie,,,,27.699
2022,Huliganismul,,,,37.648
2022,,Bărbați,,,128.495
2022,,Femei,,,104.063
2022,,,0-17 ani,,110.675
2022,,,18 ani și peste,,116.956
2022,,,,Violență psihologică,32.156
2022,,,,Violență fizică,67.456
2022,,,,Violență sexuală,21.968
2023,,,,,116.486
2023,"Leziuni, corporale grave",,,,4.577
2023,Răpirea unei persoane,,,,1.114
2023,Agresiune sexuală,,,,20.058
2023,Jaf,,,,12.456
2023,Tâlhăria,,,,2.229
2023,Șantajul,,,,3.98
2023,Violenţa în familie,,,,32.156
2023,Huliganismul,,,,39.916
2023,,Bărbați,,,125.8
2023,,Femei,,,108.138
2023,,,0-17 ani,,106.59
2023,,,18 ani și peste,,119.185
2023,,,,Violență psihologică,21.53
2023,,,,Violență fizică,74.898
2023,,,,Violență sexuală,20.058
