Year,Mediul de reședință,Sex,Grupa de vârstă,Sub-indicatori,Value
2010,,,,,
2010,Urban,,,,
2010,Rural,,,,
2010,,Bărbați,,,
2010,,Femei,,,
2010,,,0-17,,
2010,,,15+,,
2010,,,57+ (femei) / 62+ (bărbați),,
2010,,,,Acces la electricitate,
2010,,,,Acces la surse gestionate sigur de apă,
2010,,,,Acces la canalizare,
2010,,,,Acces la internet,
2011,,,,,
2011,Urban,,,,
2011,Rural,,,,
2011,,Bărbați,,,
2011,,Femei,,,
2011,,,0-17,,
2011,,,15+,,
2011,,,57+ (femei) / 62+ (bărbați),,
2011,,,,Acces la electricitate,
2011,,,,Acces la surse gestionate sigur de apă,
2011,,,,Acces la canalizare,
2011,,,,Acces la internet,
2012,,,,,
2012,Urban,,,,
2012,Rural,,,,
2012,,Bărbați,,,
2012,,Femei,,,
2012,,,0-17,,
2012,,,15+,,
2012,,,57+ (femei) / 62+ (bărbați),,
2012,,,,Acces la electricitate,
2012,,,,Acces la surse gestionate sigur de apă,
2012,,,,Acces la canalizare,
2012,,,,Acces la internet,
2013,,,,,
2013,Urban,,,,
2013,Rural,,,,
2013,,Bărbați,,,
2013,,Femei,,,
2013,,,0-17,,
2013,,,15+,,
2013,,,57+ (femei) / 62+ (bărbați),,
2013,,,,Acces la electricitate,
2013,,,,Acces la surse gestionate sigur de apă,
2013,,,,Acces la canalizare,
2013,,,,Acces la internet,
2014,,,,,62.5
2014,Urban,,,,92.8
2014,Rural,,,,40.8
2014,,Bărbați,,,62.7
2014,,Femei,,,62.4
2014,,,0-17,,62.5
2014,,,15+,,62.6
2014,,,57+ (femei) / 62+ (bărbați),,52.7
2014,,,,Acces la electricitate,100.0
2014,,,,Acces la surse gestionate sigur de apă,73.1
2014,,,,Acces la canalizare,62.8
2014,,,,Acces la internet,
2015,,,,,66.1
2015,Urban,,,,93.5
2015,Rural,,,,46.5
2015,,Bărbați,,,65.9
2015,,Femei,,,66.3
2015,,,0-17,,66.4
2015,,,15+,,65.9
2015,,,57+ (femei) / 62+ (bărbați),,56.5
2015,,,,Acces la electricitate,100.0
2015,,,,Acces la surse gestionate sigur de apă,77.0
2015,,,,Acces la canalizare,66.6
2015,,,,Acces la internet,
2016,,,,,66.7
2016,Urban,,,,92.0
2016,Rural,,,,48.4
2016,,Bărbați,,,66.0
2016,,Femei,,,67.2
2016,,,0-17,,66.3
2016,,,15+,,66.5
2016,,,57+ (femei) / 62+ (bărbați),,59.0
2016,,,,Acces la electricitate,100.0
2016,,,,Acces la surse gestionate sigur de apă,77.2
2016,,,,Acces la canalizare,67.1
2016,,,,Acces la internet,
2017,,,,,69.2
2017,Urban,,,,93.4
2017,Rural,,,,52.3
2017,,Bărbați,,,69.4
2017,,Femei,,,69.1
2017,,,0-17,,67.2
2017,,,15+,,69.4
2017,,,57+ (femei) / 62+ (bărbați),,62.7
2017,,,,Acces la electricitate,100.0
2017,,,,Acces la surse gestionate sigur de apă,80.8
2017,,,,Acces la canalizare,69.5
2017,,,,Acces la internet,
2018,,,,,72.1
2018,Urban,,,,95.1
2018,Rural,,,,56.1
2018,,Bărbați,,,72.3
2018,,Femei,,,72.0
2018,,,0-17,,73.2
2018,,,15+,,71.6
2018,,,57+ (femei) / 62+ (bărbați),,65.7
2018,,,,Acces la electricitate,100.0
2018,,,,Acces la surse gestionate sigur de apă,82.1
2018,,,,Acces la canalizare,72.3
2018,,,,Acces la internet,
2019,,,,,61.0
2019,Urban,,,,80.9
2019,Rural,,,,47.9
2019,,Bărbați,,,61.4
2019,,Femei,,,60.7
2019,,,0-17,,71.4
2019,,,15+,,58.3
2019,,,57+ (femei) / 62+ (bărbați),,39.5
2019,,,,Acces la electricitate,100.0
2019,,,,Acces la surse gestionate sigur de apă,83.1
2019,,,,Acces la canalizare,74.5
2019,,,,Acces la internet,70.8
2020,,,,,65.2
2020,Urban,,,,84.2
2020,Rural,,,,52.6
2020,,Bărbați,,,66.3
2020,,Femei,,,64.2
2020,,,0-17,,76.2
2020,,,15+,,62.5
2020,,,57+ (femei) / 62+ (bărbați),,43.9
2020,,,,Acces la electricitate,100.0
2020,,,,Acces la surse gestionate sigur de apă,85.3
2020,,,,Acces la canalizare,77.6
2020,,,,Acces la internet,74.2
2021,,,,,68.4
2021,Urban,,,,85.4
2021,Rural,,,,57.3
2021,,Bărbați,,,69.2
2021,,Femei,,,67.8
2021,,,0-17,,79.6
2021,,,15+,,65.9
2021,,,57+ (femei) / 62+ (bărbați),,43.6
2021,,,,Acces la electricitate,100.0
2021,,,,Acces la surse gestionate sigur de apă,86.4
2021,,,,Acces la canalizare,80.4
2021,,,,Acces la internet,76.4
2022,,,,,69.3
2022,Urban,,,,85.3
2022,Rural,,,,58.8
2022,,Bărbați,,,69.9
2022,,Femei,,,68.7
2022,,,0-17,,81.0
2022,,,15+,,66.4
2022,,,57+ (femei) / 62+ (bărbați),,45.7
2022,,,,Acces la electricitate,100.0
2022,,,,Acces la surse gestionate sigur de apă,88.5
2022,,,,Acces la canalizare,81.5
2022,,,,Acces la internet,77.6
