Year,River,Value
2010,Prut river,100.0
2010,Nistru river,
2011,Prut river,100.0
2011,Nistru river,
2012,Prut river,100.0
2012,Nistru river,
2013,Prut river,100.0
2013,Nistru river,
2014,Prut river,100.0
2014,Nistru river,
2015,Prut river,100.0
2015,Nistru river,
2016,Prut river,100.0
2016,Nistru river,
2017,Prut river,100.0
2017,Nistru river,
2018,Prut river,100.0
2018,Nistru river,100.0
2019,Prut river,100.0
2019,Nistru river,100.0
2020,Prut river,100.0
2020,Nistru river,100.0
2021,Prut river,100.0
2021,Nistru river,100.0
2022,Prut river,100.0
2022,Nistru river,100.0
