Year,Levels,Value
2010,,
2010,"Local public authorities, level I",
2010,"Local public authorities, level II",
2011,,27.7
2011,"Local public authorities, level I",28.7
2011,"Local public authorities, level II",17.8
2012,,
2012,"Local public authorities, level I",
2012,"Local public authorities, level II",
2013,,
2013,"Local public authorities, level I",
2013,"Local public authorities, level II",
2014,,
2014,"Local public authorities, level I",
2014,"Local public authorities, level II",
2015,,28.9
2015,"Local public authorities, level I",30
2015,"Local public authorities, level II",18.5
2016,,
2016,"Local public authorities, level I",
2016,"Local public authorities, level II",
2017,,
2017,"Local public authorities, level I",
2017,"Local public authorities, level II",
2018,,
2018,"Local public authorities, level I",
2018,"Local public authorities, level II",
2019,,35.6
2019,"Local public authorities, level I",36.5
2019,"Local public authorities, level II",27.1
2020,,
2020,"Local public authorities, level I",
2020,"Local public authorities, level II",
2021,,
2021,"Local public authorities, level I",
2021,"Local public authorities, level II",
2022,,
2022,"Local public authorities, level I",
2022,"Local public authorities, level II",
