Year,Capabilities of the health sector,Value
2010,,
2010,"(01) national legislation, policies and funding",100
2010,(02) coordination and liaison with national focal points,75
2010,(03) supervision,80
2010,(04) the answer,73
2010,(05) training,51
2010,(06) risk communication,50
2010,(07) human resources,0
2010,(08) the laboratory,54
2010,(09) entry points,42
2010,(10) zoonotic events,92
2010,(11) food safety,93
2010,(12) chemical events,50
2010,(13) radionuclear emergencies,100
2010,funding,
2010,preparation and response,
2010,providing medical assistance,
2010,infection prevention and control,
2011,,
2011,"(01) national legislation, policies and funding",100
2011,(02) coordination and liaison with national focal points,83
2011,(03) supervision,90
2011,(04) the answer,93
2011,(05) training,52
2011,(06) risk communication,57
2011,(07) human resources,25
2011,(08) the laboratory,60
2011,(09) entry points,77
2011,(10) zoonotic events,89
2011,(11) food safety,75
2011,(12) chemical events,75
2011,(13) radionuclear emergencies,100
2011,funding,
2011,preparation and response,
2011,providing medical assistance,
2011,infection prevention and control,
2012,,
2012,"(01) national legislation, policies and funding",100
2012,(02) coordination and liaison with national focal points,83
2012,(03) supervision,95
2012,(04) the answer,88
2012,(05) training,40
2012,(06) risk communication,57
2012,(07) human resources,20
2012,(08) the laboratory,66
2012,(09) entry points,85
2012,(10) zoonotic events,89
2012,(11) food safety,67
2012,(12) chemical events,69
2012,(13) radionuclear emergencies,100
2012,funding,
2012,preparation and response,
2012,providing medical assistance,
2012,infection prevention and control,
2013,,
2013,"(01) national legislation, policies and funding",
2013,(02) coordination and liaison with national focal points,
2013,(03) supervision,
2013,(04) the answer,
2013,(05) training,
2013,(06) risk communication,
2013,(07) human resources,
2013,(08) the laboratory,
2013,(09) entry points,
2013,(10) zoonotic events,
2013,(11) food safety,
2013,(12) chemical events,
2013,(13) radionuclear emergencies,
2013,funding,
2013,preparation and response,
2013,providing medical assistance,
2013,infection prevention and control,
2014,,
2014,"(01) national legislation, policies and funding",100
2014,(02) coordination and liaison with national focal points,90
2014,(03) supervision,100
2014,(04) the answer,88
2014,(05) training,35
2014,(06) risk communication,57
2014,(07) human resources,20
2014,(08) the laboratory,96
2014,(09) entry points,64
2014,(10) zoonotic events,100
2014,(11) food safety,80
2014,(12) chemical events,77
2014,(13) radionuclear emergencies,100
2014,funding,
2014,preparation and response,
2014,providing medical assistance,
2014,infection prevention and control,
2015,,
2015,"(01) national legislation, policies and funding",100
2015,(02) coordination and liaison with national focal points,90
2015,(03) supervision,100
2015,(04) the answer,88
2015,(05) training,35
2015,(06) risk communication,57
2015,(07) human resources,20
2015,(08) the laboratory,96
2015,(09) entry points,69
2015,(10) zoonotic events,100
2015,(11) food safety,80
2015,(12) chemical events,77
2015,(13) radionuclear emergencies,100
2015,funding,
2015,preparation and response,
2015,providing medical assistance,
2015,infection prevention and control,
2016,,
2016,"(01) national legislation, policies and funding",100
