Year,Area of residence,Statistical regions,Quintiles on consumption expenditures,Sex of the head of the household,Type of sewerage ,Value
2010,,,,,,
2010,Urban,,,,,
2010,Rural,,,,,
2010,,Municipality Chisinau,,,,
2010,,North,,,,
2010,,Center,,,,
2010,,South,,,,
2010,,,I,,,
2010,,,II,,,
2010,,,III,,,
2010,,,IV,,,
2010,,,V,,,
2010,,,,Men,,
2010,,,,Women,,
2010,,,,,Public network,
2010,,,,,Own system,
2011,,,,,,
2011,Urban,,,,,
2011,Rural,,,,,
2011,,Municipality Chisinau,,,,
2011,,North,,,,
2011,,Center,,,,
2011,,South,,,,
2011,,,I,,,
2011,,,II,,,
2011,,,III,,,
2011,,,IV,,,
2011,,,V,,,
2011,,,,Men,,
2011,,,,Women,,
2011,,,,,Public network,
2011,,,,,Own system,
2012,,,,,,
2012,Urban,,,,,
2012,Rural,,,,,
2012,,Municipality Chisinau,,,,
2012,,North,,,,
2012,,Center,,,,
2012,,South,,,,
2012,,,I,,,
2012,,,II,,,
2012,,,III,,,
2012,,,IV,,,
2012,,,V,,,
2012,,,,Men,,
2012,,,,Women,,
2012,,,,,Public network,
2012,,,,,Own system,
2013,,,,,,
2013,Urban,,,,,
2013,Rural,,,,,
2013,,Municipality Chisinau,,,,
2013,,North,,,,
2013,,Center,,,,
2013,,South,,,,
2013,,,I,,,
2013,,,II,,,
2013,,,III,,,
2013,,,IV,,,
2013,,,V,,,
2013,,,,Men,,
2013,,,,Women,,
2013,,,,,Public network,
2013,,,,,Own system,
2014,,,,,,62.762
2014,Urban,,,,,92.809
2014,Rural,,,,,41.151
2014,,Municipality Chisinau,,,,98.155
2014,,North,,,,42.891
2014,,Center,,,,52.527
2014,,South,,,,63.786
2014,,,I,,,33.89
2014,,,II,,,52.155
2014,,,III,,,61.108
2014,,,IV,,,79.461
2014,,,V,,,87.158
2014,,,,Men,,63.419
2014,,,,Women,,61.433
2014,,,,,Public network,32.326
2014,,,,,Own system,30.436
2015,,,,,,66.563
2015,Urban,,,,,93.774
2015,Rural,,,,,47.019
2015,,Municipality Chisinau,,,,97.716
2015,,North,,,,50.088
2015,,Center,,,,54.18
2015,,South,,,,71.247
2015,,,I,,,35.866
2015,,,II,,,58.601
2015,,,III,,,65.406
2015,,,IV,,,81.536
2015,,,V,,,91.368
2015,,,,Men,,67.126
2015,,,,Women,,65.314
2015,,,,,Public network,31.908
2015,,,,,Own system,34.655
2016,,,,,,67.062
2016,Urban,,,,,92.393
2016,Rural,,,,,48.829
2016,,Municipality Chisinau,,,,98.453
2016,,North,,,,48.556
2016,,Center,,,,57.131
2016,,South,,,,70.504
2016,,,I,,,39.189
2016,,,II,,,56.439
2016,,,III,,,69.308
2016,,,IV,,,79.511
2016,,,V,,,90.844
2016,,,,Men,,67.518
2016,,,,Women,,66.182
2016,,,,,Public network,33.344
2016,,,,,Own system,33.718
2017,,,,,,69.512
2017,Urban,,,,,93.768
2017,Rural,,,,,52.557
2017,,Municipality Chisinau,,,,97.668
2017,,North,,,,53.89
2017,,Center,,,,61.551
2017,,South,,,,69.74
2017,,,I,,,40.078
2017,,,II,,,60.481
2017,,,III,,,71.265
2017,,,IV,,,83.747
2017,,,V,,,91.954
2017,,,,Men,,69.955
2017,,,,Women,,68.645
2017,,,,,Public network,34.18
2017,,,,,Own system,35.331
