Year,Urban,Rural,Men,Women,0-17,18-29,30-39,40-49,50-59,60+,I,II,III,IV,V,People with disability,People without disability,Value
2010,,,,,,,,,,,,,,,,,,
2010,Area of residence,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,
2010,,,Sex,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,
2010,,,,,Age group,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,Quintiles on consumption expenditures,,,,,,,
2010,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,Existence of disability,,
2010,,,,,,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,,,,,
2011,Area of residence,,,,,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,,,,,
2011,,,Sex,,,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,,,,,
2011,,,,,Age group,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,,,,,
2011,,,,,,,,,,,Quintiles on consumption expenditures,,,,,,,
2011,,,,,,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,,,Existence of disability,,
2011,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,
2012,Area of residence,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,
2012,,,Sex,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,
2012,,,,,Age group,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,Quintiles on consumption expenditures,,,,,,,
2012,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,Existence of disability,,
2012,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,
2013,Area of residence,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,
2013,,,Sex,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,
2013,,,,,Age group,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,Quintiles on consumption expenditures,,,,,,,
2013,,,,,,,,,,,,,,,,,,
