Year,Sex,Level of studies,Institutions where have been made payments,Value
2010,,,,
2010,Men,,,
2010,Women,,,
2010,,Secondary incomplete,,
2010,,Secondary,,
2010,,Secondary specialized,,
2010,,Higher,,
2010,,,Central public authorities,
2010,,,Local public authorities,
2010,,,Tax inspectorates,
2010,,,Customs,
2010,,,Police,
2010,,,Prosecution,
2010,,,Courts,
2010,,,Educational institutions,
2010,,,Medical institutions,
2010,,,Civil status offices,
2010,,,Passport offices,
2010,,,Communal services,
2010,,,Fire inspections,
2010,,,Notary offices,
2010,,,Transport registration and driver qualification,
2010,,,Technical overhaul of cars,
2011,,,,
2011,Men,,,
2011,Women,,,
2011,,Secondary incomplete,,
2011,,Secondary,,
2011,,Secondary specialized,,
2011,,Higher,,
2011,,,Central public authorities,
2011,,,Local public authorities,
2011,,,Tax inspectorates,
2011,,,Customs,
2011,,,Police,
2011,,,Prosecution,
2011,,,Courts,
2011,,,Educational institutions,
2011,,,Medical institutions,
2011,,,Civil status offices,
2011,,,Passport offices,
2011,,,Communal services,
2011,,,Fire inspections,
2011,,,Notary offices,
2011,,,Transport registration and driver qualification,
2011,,,Technical overhaul of cars,
2012,,,,37.2
2012,Men,,,
2012,Women,,,
2012,,Secondary incomplete,,
2012,,Secondary,,
2012,,Secondary specialized,,
2012,,Higher,,
2012,,,Central public authorities,0.9
2012,,,Local public authorities,1.9
2012,,,Tax inspectorates,1.4
2012,,,Customs,4.4
2012,,,Police,6.1
2012,,,Prosecution,0.4
2012,,,Courts,0.7
2012,,,Educational institutions,11.7
2012,,,Medical institutions,21.6
2012,,,Civil status offices,1
2012,,,Passport offices,1.1
2012,,,Communal services,0.5
2012,,,Fire inspections,0.2
2012,,,Notary offices,0.4
2012,,,Transport registration and driver qualification,1.4
2012,,,Technical overhaul of cars,3.1
2013,,,,
2013,Men,,,
2013,Women,,,
2013,,Secondary incomplete,,
2013,,Secondary,,
2013,,Secondary specialized,,
2013,,Higher,,
2013,,,Central public authorities,
2013,,,Local public authorities,
2013,,,Tax inspectorates,
2013,,,Customs,
2013,,,Police,
2013,,,Prosecution,
2013,,,Courts,
2013,,,Educational institutions,
2013,,,Medical institutions,
2013,,,Civil status offices,
2013,,,Passport offices,
2013,,,Communal services,
2013,,,Fire inspections,
2013,,,Notary offices,
2013,,,Transport registration and driver qualification,
2013,,,Technical overhaul of cars,
2014,,,,34.2
2014,Men,,,
2014,Women,,,
2014,,Secondary incomplete,,
2014,,Secondary,,
2014,,Secondary specialized,,
2014,,Higher,,
2014,,,Central public authorities,0.6
