Year,Indicators,Value
2010,Mobile Internet per 100 inhabitants,
2010,Fixed Internet per 100 inhabitants,7.6
2010,Fixed Internet per 100 households,19.6
2011,Mobile Internet per 100 inhabitants,
2011,Fixed Internet per 100 inhabitants,9.9
2011,Fixed Internet per 100 households,24.7
2012,Mobile Internet per 100 inhabitants,43.2
2012,Fixed Internet per 100 inhabitants,11.6
2012,Fixed Internet per 100 households,27.3
2013,Mobile Internet per 100 inhabitants,46.3
2013,Fixed Internet per 100 inhabitants,13.1
2013,Fixed Internet per 100 households,29.9
2014,Mobile Internet per 100 inhabitants,55.8
2014,Fixed Internet per 100 inhabitants,17.7
2014,Fixed Internet per 100 households,41.9
2015,Mobile Internet per 100 inhabitants,58.7
2015,Fixed Internet per 100 inhabitants,18.8
2015,Fixed Internet per 100 households,44.4
2016,Mobile Internet per 100 inhabitants,65
2016,Fixed Internet per 100 inhabitants,19.7
2016,Fixed Internet per 100 households,44.8
2017,Mobile Internet per 100 inhabitants,74
2017,Fixed Internet per 100 inhabitants,21
2017,Fixed Internet per 100 households,47.6
2018,Mobile Internet per 100 inhabitants,79.4
2018,Fixed Internet per 100 inhabitants,22.8
2018,Fixed Internet per 100 households,49.7
2019,Mobile Internet per 100 inhabitants,88.7
2019,Fixed Internet per 100 inhabitants,25
2019,Fixed Internet per 100 households,56.7
2020,Mobile Internet per 100 inhabitants,89.7
2020,Fixed Internet per 100 inhabitants,27.2
2020,Fixed Internet per 100 households,59.3
2021,Mobile Internet per 100 inhabitants,102.4
2021,Fixed Internet per 100 inhabitants,29
2021,Fixed Internet per 100 households,63.3
2022,Mobile Internet per 100 inhabitants,113.6
2022,Fixed Internet per 100 inhabitants,30.7
2022,Fixed Internet per 100 households,67
