Year,Sex,Agricultural sector,Non-agricultural sector,Value
2010,,,,
2010,Men,,,
2010,Women,,,
2010,,Total - agricultural sector,,
2010,,Men - agricultural sector,,
2010,,Women - agricultural sector,,
2010,,,Total non-agricultural sector,
2010,,,Men - non-agricultural sector,
2010,,,Women - non-agricultural sector,
2011,,,,
2011,Men,,,
2011,Women,,,
2011,,Total - agricultural sector,,
2011,,Men - agricultural sector,,
2011,,Women - agricultural sector,,
2011,,,Total non-agricultural sector,
2011,,,Men - non-agricultural sector,
2011,,,Women - non-agricultural sector,
2012,,,,
2012,Men,,,
2012,Women,,,
2012,,Total - agricultural sector,,
2012,,Men - agricultural sector,,
2012,,Women - agricultural sector,,
2012,,,Total non-agricultural sector,
2012,,,Men - non-agricultural sector,
2012,,,Women - non-agricultural sector,
2013,,,,
2013,Men,,,
2013,Women,,,
2013,,Total - agricultural sector,,
2013,,Men - agricultural sector,,
2013,,Women - agricultural sector,,
2013,,,Total non-agricultural sector,
2013,,,Men - non-agricultural sector,
2013,,,Women - non-agricultural sector,
2014,,,,25
2014,Men,,,29.4
2014,Women,,,20.6
2014,,Total - agricultural sector,,65.2
2014,,Men - agricultural sector,,59
2014,,Women - agricultural sector,,73.9
2014,,,Total non-agricultural sector,12.502
2014,,,Men - non-agricultural sector,17.95
2014,,,Women - non-agricultural sector,7.556
2015,,,,25.9
2015,Men,,,30.3
2015,Women,,,21.6
2015,,Total - agricultural sector,,69.9
2015,,Men - agricultural sector,,60.9
2015,,Women - agricultural sector,,82.6
2015,,,Total non-agricultural sector,12.71
2015,,,Men - non-agricultural sector,18.747
2015,,,Women - non-agricultural sector,7.367
2016,,,,26.3
2016,Men,,,30.2
2016,Women,,,22.4
2016,,Total - agricultural sector,,68.1
2016,,Men - agricultural sector,,58.9
2016,,Women - agricultural sector,,81
2016,,,Total non-agricultural sector,12.94
2016,,,Men - non-agricultural sector,18.856
2016,,,Women - non-agricultural sector,7.566
2017,,,,24.4
2017,Men,,,28.2
2017,Women,,,20.5
2017,,Total - agricultural sector,,67
2017,,Men - agricultural sector,,57.9
2017,,Women - agricultural sector,,80.8
2017,,,Total non-agricultural sector,11.913
2017,,,Men - non-agricultural sector,17.218
2017,,,Women - non-agricultural sector,7.108
2018,,,,25
2018,Men,,,28.5
2018,Women,,,21.4
2018,,Total - agricultural sector,,65.7
2018,,Men - agricultural sector,,56.3
2018,,Women - agricultural sector,,78.8
2018,,,Total non-agricultural sector,11.768
2018,,,Men - non-agricultural sector,17.431
2018,,,Women - non-agricultural sector,6.615
2019,,,,23.128
2019,Men,,,27.921
2019,Women,,,18.083
2019,,Total - agricultural sector,,64.297
2019,,Men - agricultural sector,,55.348
2019,,Women - agricultural sector,,78.278
2019,,,Total non-agricultural sector,12.211
2019,,,Men - non-agricultural sector,18.816
2019,,,Women - non-agricultural sector,5.939
2020,,,,22.381
2020,Men,,,28.139
2020,Women,,,16.122
2020,,Total - agricultural sector,,65.668
2020,,Men - agricultural sector,,57.352
2020,,Women - agricultural sector,,79.731
2020,,,Total non-agricultural sector,10.818
2020,,,Men - non-agricultural sector,18.175
2020,,,Women - non-agricultural sector,3.691
2021,,,,22.791
2021,Men,,,27.927
2021,Women,,,17.11
2021,,Total - agricultural sector,,64.963
2021,,Men - agricultural sector,,56.749
2021,,Women - agricultural sector,,78.438
2021,,,Total non-agricultural sector,11.254
2021,,,Men - non-agricultural sector,18.109
2021,,,Women - non-agricultural sector,4.427
2022,,,,21.97
2022,Men,,,27.137
2022,Women,,,16.493
2022,,Total - agricultural sector,,63.431
2022,,Men - agricultural sector,,53.603
2022,,Women - agricultural sector,,80.007
2022,,,Total non-agricultural sector,11.086
2022,,,Men - non-agricultural sector,18.141
2022,,,Women - non-agricultural sector,4.446
2023,,,,22.952
2023,Men,,,27.96
2023,Women,,,17.905
2023,,Total - agricultural sector,,66.566
2023,,Men - agricultural sector,,56.244
2023,,Women - agricultural sector,,82.614
2023,,,Total non-agricultural sector,11.43
2023,,,Men - non-agricultural sector,18.362
2023,,,Women - non-agricultural sector,5.19
2024,,,,20.553
2024,Men,,,26.073
2024,Women,,,15.242
2024,,Total - agricultural sector,,64.401
2024,,Men - agricultural sector,,54.611
2024,,Women - agricultural sector,,79.493
2024,,,Total non-agricultural sector,10.86
2024,,,Men - non-agricultural sector,17.839
2024,,,Women - non-agricultural sector,4.801
2025,,,,17.318
2025,Men,,,22.755
2025,Women,,,11.66
2025,,Total - agricultural sector,,60.974
2025,,Men - agricultural sector,,54.24
2025,,Women - agricultural sector,,72.304
2025,,,Total non-agricultural sector,10.209
2025,,,Men - non-agricultural sector,16.205
2025,,,Women - non-agricultural sector,4.428
