Year,"Fatal accidents, by sex","Fatal accidents, by economic activities","Non-fatal accidents, by sex","Non-fatal accidents, by economic activities",Value
2010,,,,,
2010,Total,,,,6.6
2010,Men,,,,12.7
2010,Women,,,,1.5
2010,,"Agriculture, forestry and fishing",,,
2010,,Industry,,,
2010,,Mining and quarrying,,,
2010,,Manufacturing,,,
2010,,"Electricity, gas, steam and air conditioning supply",,,
2010,,"Water supply; sewerage, waste management and remediation activities",,,
2010,,Construction,,,
2010,,Wholesale and retail trade; repair of motor vehicles and motorcycles,,,
2010,,Transportation and storage,,,
2010,,Accommodation and food service activities,,,
2010,,Information and communication,,,
2010,,Financial and insurance activities,,,
2010,,Real estate activities,,,
2010,,"Professional, scientific and technical activities",,,
2010,,Administrative and support service activities,,,
2010,,Public administration and defence; compulsory social security,,,
2010,,Education,,,
2010,,Human health and social work activities,,,
2010,,"Arts, entertainment and recreation",,,
2010,,Other service activities,,,
2010,,,Total,,91.4
2010,,,Men,,124.8
2010,,,Women,,60.2
2010,,,,"Agriculture, forestry and fishing",
2010,,,,Industry,
2010,,,,Mining and quarrying,
2010,,,,Manufacturing,
2010,,,,"Electricity, gas, steam and air conditioning supply",
2010,,,,"Water supply; sewerage, waste management and remediation activities",
2010,,,,Construction,
2010,,,,Wholesale and retail trade; repair of motor vehicles and motorcycles,
2010,,,,Transportation and storage,
2010,,,,Accommodation and food service activities,
2010,,,,Information and communication,
2010,,,,Financial and insurance activities,
2010,,,,Real estate activities,
2010,,,,"Professional, scientific and technical activities",
2010,,,,Administrative and support service activities,
2010,,,,Public administration and defence; compulsory social security,
2010,,,,Education,
2010,,,,Human health and social work activities,
2010,,,,"Arts, entertainment and recreation",
2010,,,,Other service activities,
2011,,,,,
2011,Total,,,,4.6
2011,Men,,,,10.2
2011,Women,,,,0
2011,,"Agriculture, forestry and fishing",,,
2011,,Industry,,,
2011,,Mining and quarrying,,,
2011,,Manufacturing,,,
2011,,"Electricity, gas, steam and air conditioning supply",,,
2011,,"Water supply; sewerage, waste management and remediation activities",,,
2011,,Construction,,,
2011,,Wholesale and retail trade; repair of motor vehicles and motorcycles,,,
2011,,Transportation and storage,,,
2011,,Accommodation and food service activities,,,
2011,,Information and communication,,,
2011,,Financial and insurance activities,,,
2011,,Real estate activities,,,
2011,,"Professional, scientific and technical activities",,,
2011,,Administrative and support service activities,,,
2011,,Public administration and defence; compulsory social security,,,
2011,,Education,,,
2011,,Human health and social work activities,,,
2011,,"Arts, entertainment and recreation",,,
2011,,Other service activities,,,
2011,,,Total,,66
2011,,,Men,,119.3
2011,,,Women,,33
2011,,,,"Agriculture, forestry and fishing",
2011,,,,Industry,
2011,,,,Mining and quarrying,
2011,,,,Manufacturing,
2011,,,,"Electricity, gas, steam and air conditioning supply",
2011,,,,"Water supply; sewerage, waste management and remediation activities",
2011,,,,Construction,
2011,,,,Wholesale and retail trade; repair of motor vehicles and motorcycles,
2011,,,,Transportation and storage,
2011,,,,Accommodation and food service activities,
2011,,,,Information and communication,
2011,,,,Financial and insurance activities,
2011,,,,Real estate activities,
2011,,,,"Professional, scientific and technical activities",
2011,,,,Administrative and support service activities,
2011,,,,Public administration and defence; compulsory social security,
2011,,,,Education,
2011,,,,Human health and social work activities,
2011,,,,"Arts, entertainment and recreation",
2011,,,,Other service activities,
2012,,,,,
2012,Total,,,,3.4
2012,Men,,,,6
2012,Women,,,,1.2
2012,,"Agriculture, forestry and fishing",,,
2012,,Industry,,,
2012,,Mining and quarrying,,,
2012,,Manufacturing,,,
2012,,"Electricity, gas, steam and air conditioning supply",,,
2012,,"Water supply; sewerage, waste management and remediation activities",,,
2012,,Construction,,,
2012,,Wholesale and retail trade; repair of motor vehicles and motorcycles,,,
2012,,Transportation and storage,,,
2012,,Accommodation and food service activities,,,
2012,,Information and communication,,,
2012,,Financial and insurance activities,,,
2012,,Real estate activities,,,
2012,,"Professional, scientific and technical activities",,,
2012,,Administrative and support service activities,,,
2012,,Public administration and defence; compulsory social security,,,
2012,,Education,,,
2012,,Human health and social work activities,,,
2012,,"Arts, entertainment and recreation",,,
2012,,Other service activities,,,
2012,,,Total,,64.4
2012,,,Men,,91.5
2012,,,Women,,49.9
2012,,,,"Agriculture, forestry and fishing",
2012,,,,Industry,
2012,,,,Mining and quarrying,
2012,,,,Manufacturing,
2012,,,,"Electricity, gas, steam and air conditioning supply",
2012,,,,"Water supply; sewerage, waste management and remediation activities",
2012,,,,Construction,
2012,,,,Wholesale and retail trade; repair of motor vehicles and motorcycles,
2012,,,,Transportation and storage,
2012,,,,Accommodation and food service activities,
2012,,,,Information and communication,
2012,,,,Financial and insurance activities,
2012,,,,Real estate activities,
2012,,,,"Professional, scientific and technical activities",
2012,,,,Administrative and support service activities,
2012,,,,Public administration and defence; compulsory social security,
2012,,,,Education,
2012,,,,Human health and social work activities,
2012,,,,"Arts, entertainment and recreation",
2012,,,,Other service activities,
2013,,,,,
2013,Total,,,,6.2
2013,Men,,,,13.3
2013,Women,,,,0.3
2013,,"Agriculture, forestry and fishing",,,
