Year,Area of residence,Statistical regions,Quintiles on consumption expenditures,Sex of the head of the household,Value
2010,,,,,
2010,Urban,,,,
2010,Rural,,,,
2010,,Municipality Chisinau,,,
2010,,North,,,
2010,,Center,,,
2010,,South,,,
2010,,,I,,
2010,,,II,,
2010,,,III,,
2010,,,IV,,
2010,,,V,,
2010,,,,Men,
2010,,,,Women,
2011,,,,,
2011,Urban,,,,
2011,Rural,,,,
2011,,Municipality Chisinau,,,
2011,,North,,,
2011,,Center,,,
2011,,South,,,
2011,,,I,,
2011,,,II,,
2011,,,III,,
2011,,,IV,,
2011,,,V,,
2011,,,,Men,
2011,,,,Women,
2012,,,,,
2012,Urban,,,,
2012,Rural,,,,
2012,,Municipality Chisinau,,,
2012,,North,,,
2012,,Center,,,
2012,,South,,,
2012,,,I,,
2012,,,II,,
2012,,,III,,
2012,,,IV,,
2012,,,V,,
2012,,,,Men,
2012,,,,Women,
2013,,,,,
2013,Urban,,,,
2013,Rural,,,,
2013,,Municipality Chisinau,,,
2013,,North,,,
2013,,Center,,,
2013,,South,,,
2013,,,I,,
2013,,,II,,
2013,,,III,,
2013,,,IV,,
2013,,,V,,
2013,,,,Men,
2013,,,,Women,
2014,,,,,38.7
2014,Urban,,,,76.5
2014,Rural,,,,11.5
2014,,Municipality Chisinau,,,88.7
2014,,North,,,22.9
2014,,Center,,,21.9
2014,,South,,,25.7
2014,,,I,,12.2
2014,,,II,,25.3
2014,,,III,,35.8
2014,,,IV,,51.9
2014,,,V,,68.3
2014,,,,Men,36.9
2014,,,,Women,42.3
2015,,,,,40.7
2015,Urban,,,,79.5
2015,Rural,,,,12.9
2015,,Municipality Chisinau,,,88.6
2015,,North,,,26.3
2015,,Center,,,25.3
2015,,South,,,26.2
2015,,,I,,10.1
2015,,,II,,27.6
2015,,,III,,38
2015,,,IV,,55
2015,,,V,,73
2015,,,,Men,39.8
2015,,,,Women,42.8
2016,,,,,42.8
2016,Urban,,,,79.9
2016,Rural,,,,16.1
2016,,Municipality Chisinau,,,91.7
2016,,North,,,26.4
2016,,Center,,,28.2
2016,,South,,,28.3
2016,,,I,,11.8
2016,,,II,,29.2
2016,,,III,,41.3
2016,,,IV,,56.6
2016,,,V,,75
2016,,,,Men,41.7
2016,,,,Women,44.8
2017,,,,,45
2017,Urban,,,,82.7
2017,Rural,,,,18.6
2017,,Municipality Chisinau,,,91.1
2017,,North,,,30
2017,,Center,,,31.9
2017,,South,,,29.6
2017,,,I,,15.9
2017,,,II,,29
2017,,,III,,43.9
2017,,,IV,,59.8
2017,,,V,,76.1
2017,,,,Men,43.4
2017,,,,Women,47.9
2018,,,,,46.7
2018,Urban,,,,83.8
2018,Rural,,,,20.8
2018,,Municipality Chisinau,,,91.6
2018,,North,,,30.9
2018,,Center,,,33.9
2018,,South,,,33.9
2018,,,I,,17.4
2018,,,II,,32
2018,,,III,,46.5
2018,,,IV,,59.9
2018,,,V,,77.7
2018,,,,Men,45.7
2018,,,,Women,48.6
2019,,,,,55.9
2019,Urban,,,,87.2
2019,Rural,,,,35.2
2019,,Municipality Chisinau,,,91.6
2019,,North,,,42.5
2019,,Center,,,48.1
2019,,South,,,43.4
2019,,,I,,23.2
2019,,,II,,43.9
2019,,,III,,58.7
2019,,,IV,,70.3
2019,,,V,,83.2
2019,,,,Men,56.6
2019,,,,Women,54.2
2020,,,,,57.2
2020,Urban,,,,87
2020,Rural,,,,37.6
2020,,Municipality Chisinau,,,92.6
2020,,North,,,42.4
2020,,Center,,,48.7
2020,,South,,,48.7
2020,,,I,,28.1
2020,,,II,,44.7
2020,,,III,,58.4
2020,,,IV,,68.9
2020,,,V,,86
2020,,,,Men,58.7
2020,,,,Women,54.3
2021,,,,,62.7
2021,Urban,,,,88.4
2021,Rural,,,,45.8
2021,,Municipality Chisinau,,,91.1
2021,,North,,,53.9
2021,,Center,,,52.3
2021,,South,,,56.9
2021,,,I,,33.5
2021,,,II,,51.8
2021,,,III,,64.4
2021,,,IV,,74.7
2021,,,V,,89.2
2021,,,,Men,64
2021,,,,Women,60
2022,,,,,64.6
2022,Urban,,,,91.9
2022,Rural,,,,46.7
2022,,Municipality Chisinau,,,97
2022,,North,,,50.3
2022,,Center,,,59.3
2022,,South,,,53.9
2022,,,I,,37.6
2022,,,II,,55.7
2022,,,III,,64
2022,,,IV,,75.9
2022,,,V,,89.7
2022,,,,Men,65.9
2022,,,,Women,62
