Year,Area of residence,Sex of the head of the household,Value
2010,,,
2010,Urban,,
2010,Rural,,
2010,,Men,
2010,,Women,
2011,,,
2011,Urban,,
2011,Rural,,
2011,,Men,
2011,,Women,
2012,,,
2012,Urban,,
2012,Rural,,
2012,,Men,
2012,,Women,
2013,,,
2013,Urban,,
2013,Rural,,
2013,,Men,
2013,,Women,
2014,,,148
2014,Urban,,170
2014,Rural,,130
2014,,Men,167
2014,,Women,118
2015,,,151
2015,Urban,,173
2015,Rural,,133
2015,,Men,172
2015,,Women,117
2016,,,152
2016,Urban,,172
2016,Rural,,137
2016,,Men,172
2016,,Women,123
2017,,,156
2017,Urban,,175
2017,Rural,,142
2017,,Men,176
2017,,Women,126
2018,,,154
2018,Urban,,173
2018,Rural,,141
2018,,Men,174
2018,,Women,125
2019,,,167
2019,Urban,,183
2019,Rural,,156
2019,,Men,189
2019,,Women,132
2020,,,170
2020,Urban,,180
2020,Rural,,164
2020,,Men,191
2020,,Women,138
2021,,,172
2021,Urban,,187
2021,Rural,,161
2021,,Men,198
2021,,Women,133
2022,,,173
2022,Urban,,193
2022,Rural,,162
2022,,Men,198
2022,,Women,138
