Year,Types,Value
2010,,
2010,Plants,
2010,Animals,
2011,,242
2011,Plants,126
2011,Animals,116
2012,,242
2012,Plants,126
2012,Animals,116
2013,,242
2013,Plants,126
2013,Animals,116
2014,,242
2014,Plants,126
2014,Animals,116
2015,,427
2015,Plants,208
2015,Animals,219
2016,,427
2016,Plants,208
2016,Animals,219
2017,,427
2017,Plants,208
2017,Animals,219
2018,,427
2018,Plants,208
2018,Animals,219
2019,,427
2019,Plants,208
2019,Animals,219
2020,,427
2020,Plants,208
2020,Animals,219
2021,,427
2021,Plants,208
2021,Animals,219
2022,,427
2022,Plants,208
2022,Animals,219
