Year,Types of ecosystems,Value
2010,,4.7
2010,Wetlands of international importance,2.2
2010,"Other (areas with multifunctional management, resource reservations, landscape reservations, nature reserves, etc.)",2.4
2011,,4.7
2011,Wetlands of international importance,2.2
2011,"Other (areas with multifunctional management, resource reservations, landscape reservations, nature reserves, etc.)",2.4
2012,,4.7
2012,Wetlands of international importance,2.2
2012,"Other (areas with multifunctional management, resource reservations, landscape reservations, nature reserves, etc.)",2.4
2013,,5.6
2013,Wetlands of international importance,2.2
2013,"Other (areas with multifunctional management, resource reservations, landscape reservations, nature reserves, etc.)",3.4
2014,,5.6
2014,Wetlands of international importance,2.2
2014,"Other (areas with multifunctional management, resource reservations, landscape reservations, nature reserves, etc.)",3.4
2015,,5.6
2015,Wetlands of international importance,2.2
2015,"Other (areas with multifunctional management, resource reservations, landscape reservations, nature reserves, etc.)",3.4
2016,,5.6
2016,Wetlands of international importance,2.2
2016,"Other (areas with multifunctional management, resource reservations, landscape reservations, nature reserves, etc.)",3.4
2017,,5.6
2017,Wetlands of international importance,2.2
2017,"Other (areas with multifunctional management, resource reservations, landscape reservations, nature reserves, etc.)",3.4
2018,,5.6
2018,Wetlands of international importance,2.2
2018,"Other (areas with multifunctional management, resource reservations, landscape reservations, nature reserves, etc.)",3.4
2019,,5.6
2019,Wetlands of international importance,2.2
2019,"Other (areas with multifunctional management, resource reservations, landscape reservations, nature reserves, etc.)",3.4
2020,,5.6
2020,Wetlands of international importance,2.2
2020,"Other (areas with multifunctional management, resource reservations, landscape reservations, nature reserves, etc.)",3.4
2021,,5.6
2021,Wetlands of international importance,2.2
2021,"Other (areas with multifunctional management, resource reservations, landscape reservations, nature reserves, etc.)",3.4
2022,,5.6
2022,Wetlands of international importance,2.2
2022,"Other (areas with multifunctional management, resource reservations, landscape reservations, nature reserves, etc.)",2.2
