Year,Types of energy,Value
2010,,2633
2010,Coal,116
2010,Natural gas,962
2010,Petrol products,776
2010,Bio-fuel and waste,512
2010,Electricity,267
2010,Thermal energy,
2011,,2676
2011,Coal,120
2011,Natural gas,930
2011,Petrol products,812
2011,Bio-fuel and waste,537
2011,Electricity,277
2011,Thermal energy,
2012,,2624
2012,Coal,116
2012,Natural gas,885
2012,Petrol products,764
2012,Bio-fuel and waste,574
2012,Electricity,285
2012,Thermal energy,
2013,,2643
2013,Coal,150
2013,Natural gas,834
2013,Petrol products,785
2013,Bio-fuel and waste,584
2013,Electricity,290
2013,Thermal energy,
2014,,2669
2014,Coal,95
2014,Natural gas,850
2014,Petrol products,803
2014,Bio-fuel and waste,629
2014,Electricity,292
2014,Thermal energy,
2015,,2686
2015,Coal,102
2015,Natural gas,816
2015,Petrol products,829
2015,Bio-fuel and waste,650
2015,Electricity,289
2015,Thermal energy,
2016,,2796
2016,Coal,75
2016,Natural gas,837
2016,Petrol products,896
2016,Bio-fuel and waste,698
2016,Electricity,290
2016,Thermal energy,
2017,,2939
2017,Coal,105
2017,Natural gas,836
2017,Petrol products,937
2017,Bio-fuel and waste,764
2017,Electricity,297
2017,Thermal energy,
2018,,3066
2018,Coal,80
2018,Natural gas,911
2018,Petrol products,1002
2018,Bio-fuel and waste,766
2018,Electricity,307
2018,Thermal energy,
2019,,2938
2019,Coal,102
2019,Natural gas,855
2019,Petrol products,1018
2019,Bio-fuel and waste,652
2019,Electricity,311
2019,Thermal energy,
2020,,2807
2020,Coal,79
2020,Natural gas,872
2020,Petrol products,946
2020,Bio-fuel and waste,609
2020,Electricity,301
2020,Thermal energy,
2021,,3115
2021,Coal,90
2021,Natural gas,997
2021,Petrol products,1064
2021,Bio-fuel and waste,640
2021,Electricity,324
2021,Thermal energy,
