Year,Area of residence,Sex,Value
2010,,,11.7
2010,Urban,,10.1
2010,Rural,,12.8
2010,,Men,14
2010,,Women,9.4
2011,,,10.9
2011,Urban,,9.3
2011,Rural,,12
2011,,Men,13.6
2011,,Women,8.2
2012,,,9.8
2012,Urban,,8.2
2012,Rural,,10.8
2012,,Men,9.6
2012,,Women,10.1
2013,,,9.4
2013,Urban,,9.7
2013,Rural,,9.4
2013,,Men,9.3
2013,,Women,9.7
2014,,,9.1
2014,Urban,,6.7
2014,Rural,,10.6
2014,,Men,10.7
2014,,Women,7.4
2015,,,9.2
2015,Urban,,8.1
2015,Rural,,9.9
2015,,Men,10.6
2015,,Women,7.8
2016,,,8.9
2016,Urban,,8
2016,Rural,,9.4
2016,,Men,10
2016,,Women,7.6
2017,,,9.1
2017,Urban,,7.7
2017,Rural,,9.9
2017,,Men,10.1
2017,,Women,8
2018,,,9.4
2018,Urban,,9
2018,Rural,,9.7
2018,,Men,11
2018,,Women,7.8
2019,,,8.6
2019,Urban,,7.8
2019,Rural,,9.2
2019,,Men,8.7
2019,,Women,8.5
2020,,,8.8
2020,Urban,,6.6
2020,Rural,,10.2
2020,,Men,9
2020,,Women,8.5
2021,,,8.7
2021,Urban,,7.3
2021,Rural,,9.6
2021,,Men,9.3
2021,,Women,9.1
2022,,,
2022,Urban,,
2022,Rural,,
2022,,Men,
2022,,Women,
