Year,Age group,Regions,Indicators,Value
2010,,,,
2010,15-17 years,,,
2010,18-49 years,,,
2010,,North,,
2010,,Centre,,
2010,,South,,
2010,,Mun. Chisinau,,
2010,,ATU Gagauzia,,
2010,,,Pregnant women,
2011,,,,
2011,15-17 years,,,
2011,18-49 years,,,
2011,,North,,
2011,,Centre,,
2011,,South,,
2011,,Mun. Chisinau,,
2011,,ATU Gagauzia,,
2011,,,Pregnant women,
2012,,,,
2012,15-17 years,,,
2012,18-49 years,,,
2012,,North,,
2012,,Centre,,
2012,,South,,
2012,,Mun. Chisinau,,
2012,,ATU Gagauzia,,
2012,,,Pregnant women,
2013,,,,
2013,15-17 years,,,
2013,18-49 years,,,
2013,,North,,
2013,,Centre,,
2013,,South,,
2013,,Mun. Chisinau,,
2013,,ATU Gagauzia,,
2013,,,Pregnant women,
2014,,,,
2014,15-17 years,,,
2014,18-49 years,,,
2014,,North,,
2014,,Centre,,
2014,,South,,
2014,,Mun. Chisinau,,
2014,,ATU Gagauzia,,
2014,,,Pregnant women,
2015,,,,
2015,15-17 years,,,
2015,18-49 years,,,
2015,,North,,
2015,,Centre,,
2015,,South,,
2015,,Mun. Chisinau,,
2015,,ATU Gagauzia,,
2015,,,Pregnant women,
2016,,,,
2016,15-17 years,,,
2016,18-49 years,,,
2016,,North,,
2016,,Centre,,
2016,,South,,
2016,,Mun. Chisinau,,
2016,,ATU Gagauzia,,
2016,,,Pregnant women,
2017,,,,
2017,15-17 years,,,
2017,18-49 years,,,
2017,,North,,
2017,,Centre,,
2017,,South,,
2017,,Mun. Chisinau,,
2017,,ATU Gagauzia,,
2017,,,Pregnant women,
2018,,,,
2018,15-17 years,,,
2018,18-49 years,,,
2018,,North,,
2018,,Centre,,
2018,,South,,
2018,,Mun. Chisinau,,
2018,,ATU Gagauzia,,
2018,,,Pregnant women,
2019,,,,
2019,15-17 years,,,
2019,18-49 years,,,
2019,,North,,
2019,,Centre,,
2019,,South,,
2019,,Mun. Chisinau,,
2019,,ATU Gagauzia,,
2019,,,Pregnant women,
2020,,,,
2020,15-17 years,,,
2020,18-49 years,,,
2020,,North,,
2020,,Centre,,
2020,,South,,
2020,,Mun. Chisinau,,
2020,,ATU Gagauzia,,
2020,,,Pregnant women,
2021,,,,1.2
2021,15-17 years,,,1.6
2021,18-49 years,,,1.2
2021,,North,,1.3
2021,,Centre,,1.3
2021,,South,,1.6
2021,,Mun. Chisinau,,0.9
2021,,ATU Gagauzia,,1
2021,,,Pregnant women,
2022,,,,1.3
2022,15-17 years,,,1.9
2022,18-49 years,,,1.2
2022,,North,,1.4
2022,,Centre,,1.6
2022,,South,,1.5
2022,,Mun. Chisinau,,0.8
2022,,ATU Gagauzia,,1
2022,,,Pregnant women,
2023,,,,1.44
2023,15-17 years,,,1.94
2023,18-49 years,,,1.4
2023,,North,,1.6
2023,,Centre,,1.57
2023,,South,,1.4
2023,,Mun. Chisinau,,0.98
2023,,ATU Gagauzia,,1.09
2023,,,Pregnant women,25.9
2024,,,,1.46
2024,15-17 years,,,2
2024,18-49 years,,,1.41
2024,,North,,1.51
2024,,Centre,,1.65
2024,,South,,2.25
2024,,Mun. Chisinau,,1.04
2024,,ATU Gagauzia,,1.1
2024,,,Pregnant women,28.05
2025,,,,1.37
2025,15-17 years,,,1.85
2025,18-49 years,,,1.32
2025,,North,,1.58
2025,,Centre,,1.72
2025,,South,,1.89
2025,,Mun. Chisinau,,0.98
2025,,ATU Gagauzia,,1.51
2025,,,Pregnant women,27.69
