Year,Ethnicity,Sex,Age group,Disability,Citizenship,Beneficiary status - foreign citizen,Requested authority,Legal basis,Type of qualified assistance,Primary care,Value
2010,,,,,,,,,,,23007
2010,Bulgarians,,,,,,,,,,
2010,Roma,,,,,,,,,,
2010,Russians,,,,,,,,,,
2010,Jews,,,,,,,,,,
2010,Ukrainians,,,,,,,,,,
2010,,Men,,,,,,,,,20526
2010,,Women,,,,,,,,,2481
2010,,,0-17,,,,,,,,1487
2010,,,18+,,,,,,,,21520
2010,,,, ,,,,,,,
2010,,,,Mental,,,,,,,
2010,,,,Intellectual,,,,,,,
2010,,,,Sensory,,,,,,,
2010,,,,,Republic of Moldova,,,,,,
2010,,,,,Foreign citizenship,,,,,,
2010,,,,,Stateless,,,,,,
2010,,,,,,Temporary protection,,,,,
2010,,,,,,Humanitarian protection,,,,,
2010,,,,,,Refugees,,,,,
2010,,,,,,Asylum seekers,,,,,
2010,,,,,,,Prosecution,,,,
2010,,,,,,,Police inspectorate,,,,
2010,,,,,,,Court,,,,
2010,,,,,,,Court of Appeal,,,,
2010,,,,,,,Supreme Court of Justice,,,,
2010,,,,,,,Other authorities,,,,
2010,,,,,,,,Regardless of income level (art. 20 law 198),,,
2010,,,,,,,,Depending on the income level (art. 21 law 198),,,
2010,,,,,,,,,Qualified criminal cases,,
2010,,,,,,,,,Qualified contravention cases,,
2010,,,,,,,,,Qualified civil cases,,
2010,,,,,,,,,Emergency criminal cases,,
2010,,,,,,,,,Emergency contravention cases,,
2010,,,,,,,,,,Total,
2011,,,,,,,,,,,27547
2011,Bulgarians,,,,,,,,,,
2011,Roma,,,,,,,,,,
2011,Russians,,,,,,,,,,
2011,Jews,,,,,,,,,,
2011,Ukrainians,,,,,,,,,,
2011,,Men,,,,,,,,,24998
2011,,Women,,,,,,,,,2549
2011,,,0-17,,,,,,,,1344
2011,,,18+,,,,,,,,26203
2011,,,, ,,,,,,,
2011,,,,Mental,,,,,,,
2011,,,,Intellectual,,,,,,,
2011,,,,Sensory,,,,,,,
2011,,,,,Republic of Moldova,,,,,,
2011,,,,,Foreign citizenship,,,,,,
2011,,,,,Stateless,,,,,,
2011,,,,,,Temporary protection,,,,,
2011,,,,,,Humanitarian protection,,,,,
2011,,,,,,Refugees,,,,,
2011,,,,,,Asylum seekers,,,,,
2011,,,,,,,Prosecution,,,,
2011,,,,,,,Police inspectorate,,,,
2011,,,,,,,Court,,,,
2011,,,,,,,Court of Appeal,,,,
2011,,,,,,,Supreme Court of Justice,,,,
2011,,,,,,,Other authorities,,,,
2011,,,,,,,,Regardless of income level (art. 20 law 198),,,
2011,,,,,,,,Depending on the income level (art. 21 law 198),,,
2011,,,,,,,,,Qualified criminal cases,,
2011,,,,,,,,,Qualified contravention cases,,
2011,,,,,,,,,Qualified civil cases,,
2011,,,,,,,,,Emergency criminal cases,,
2011,,,,,,,,,Emergency contravention cases,,
2011,,,,,,,,,,Total,
2012,,,,,,,,,,,34190
2012,Bulgarians,,,,,,,,,,
2012,Roma,,,,,,,,,,
2012,Russians,,,,,,,,,,
2012,Jews,,,,,,,,,,
2012,Ukrainians,,,,,,,,,,
2012,,Men,,,,,,,,,30954
2012,,Women,,,,,,,,,3236
2012,,,0-17,,,,,,,,2021
2012,,,18+,,,,,,,,32169
2012,,,, ,,,,,,,
2012,,,,Mental,,,,,,,
2012,,,,Intellectual,,,,,,,
2012,,,,Sensory,,,,,,,
2012,,,,,Republic of Moldova,,,,,,
2012,,,,,Foreign citizenship,,,,,,
2012,,,,,Stateless,,,,,,
2012,,,,,,Temporary protection,,,,,
2012,,,,,,Humanitarian protection,,,,,
2012,,,,,,Refugees,,,,,
2012,,,,,,Asylum seekers,,,,,
2012,,,,,,,Prosecution,,,,
2012,,,,,,,Police inspectorate,,,,
2012,,,,,,,Court,,,,
2012,,,,,,,Court of Appeal,,,,
2012,,,,,,,Supreme Court of Justice,,,,
2012,,,,,,,Other authorities,,,,
2012,,,,,,,,Regardless of income level (art. 20 law 198),,,
2012,,,,,,,,Depending on the income level (art. 21 law 198),,,
2012,,,,,,,,,Qualified criminal cases,,
2012,,,,,,,,,Qualified contravention cases,,
2012,,,,,,,,,Qualified civil cases,,
2012,,,,,,,,,Emergency criminal cases,,
2012,,,,,,,,,Emergency contravention cases,,
2012,,,,,,,,,,Total,
2013,,,,,,,,,,,37007
2013,Bulgarians,,,,,,,,,,10
2013,Roma,,,,,,,,,,2
2013,Russians,,,,,,,,,,19
2013,Jews,,,,,,,,,,1
2013,Ukrainians,,,,,,,,,,11
2013,,Men,,,,,,,,,32905
2013,,Women,,,,,,,,,4102
2013,,,0-17,,,,,,,,2310
2013,,,18+,,,,,,,,34697
2013,,,, ,,,,,,,4
2013,,,,Mental,,,,,,,3
2013,,,,Intellectual,,,,,,,3
2013,,,,Sensory,,,,,,,1
2013,,,,,Republic of Moldova,,,,,,36993
2013,,,,,Foreign citizenship,,,,,,14
2013,,,,,Stateless,,,,,,0
2013,,,,,,Temporary protection,,,,,5
2013,,,,,,Humanitarian protection,,,,,0
2013,,,,,,Refugees,,,,,0
2013,,,,,,Asylum seekers,,,,,9
2013,,,,,,,Prosecution,,,,3796
2013,,,,,,,Police inspectorate,,,,17997
2013,,,,,,,Court,,,,8081
2013,,,,,,,Court of Appeal,,,,3606
2013,,,,,,,Supreme Court of Justice,,,,406
2013,,,,,,,Other authorities,,,,3121
2013,,,,,,,,Regardless of income level (art. 20 law 198),,,27032
2013,,,,,,,,Depending on the income level (art. 21 law 198),,,9975
2013,,,,,,,,,Qualified criminal cases,,
2013,,,,,,,,,Qualified contravention cases,,
2013,,,,,,,,,Qualified civil cases,,
2013,,,,,,,,,Emergency criminal cases,,
2013,,,,,,,,,Emergency contravention cases,,
2013,,,,,,,,,,Total,
2014,,,,,,,,,,,43147
2014,Bulgarians,,,,,,,,,,25
2014,Roma,,,,,,,,,,2
2014,Russians,,,,,,,,,,80
2014,Jews,,,,,,,,,,0
2014,Ukrainians,,,,,,,,,,42
2014,,Men,,,,,,,,,38087
2014,,Women,,,,,,,,,5060
2014,,,0-17,,,,,,,,2679
2014,,,18+,,,,,,,,40468
2014,,,, ,,,,,,,5
2014,,,,Mental,,,,,,,3
2014,,,,Intellectual,,,,,,,2
2014,,,,Sensory,,,,,,,0
2014,,,,,Republic of Moldova,,,,,,43062
2014,,,,,Foreign citizenship,,,,,,85
2014,,,,,Stateless,,,,,,0
2014,,,,,,Temporary protection,,,,,81
2014,,,,,,Humanitarian protection,,,,,3
2014,,,,,,Refugees,,,,,0
2014,,,,,,Asylum seekers,,,,,1
2014,,,,,,,Prosecution,,,,4411
2014,,,,,,,Police inspectorate,,,,22868
2014,,,,,,,Court,,,,8854
2014,,,,,,,Court of Appeal,,,,3950
2014,,,,,,,Supreme Court of Justice,,,,352
2014,,,,,,,Other authorities,,,,2712
2014,,,,,,,,Regardless of income level (art. 20 law 198),,,27356
2014,,,,,,,,Depending on the income level (art. 21 law 198),,,15791
2014,,,,,,,,,Qualified criminal cases,,36108
2014,,,,,,,,,Qualified contravention cases,,816
2014,,,,,,,,,Qualified civil cases,,2561
2014,,,,,,,,,Emergency criminal cases,,3366
2014,,,,,,,,,Emergency contravention cases,,304
2014,,,,,,,,,,Total,7403
2015,,,,,,,,,,,43980
2015,Bulgarians,,,,,,,,,,25
2015,Roma,,,,,,,,,,3
2015,Russians,,,,,,,,,,12
2015,Jews,,,,,,,,,,0
2015,Ukrainians,,,,,,,,,,12
2015,,Men,,,,,,,,,38947
2015,,Women,,,,,,,,,5033
2015,,,0-17,,,,,,,,2472
2015,,,18+,,,,,,,,41508
2015,,,, ,,,,,,,1
2015,,,,Mental,,,,,,,2
2015,,,,Intellectual,,,,,,,2
2015,,,,Sensory,,,,,,,0
2015,,,,,Republic of Moldova,,,,,,43883
2015,,,,,Foreign citizenship,,,,,,97
2015,,,,,Stateless,,,,,,0
2015,,,,,,Temporary protection,,,,,92
2015,,,,,,Humanitarian protection,,,,,2
2015,,,,,,Refugees,,,,,1
2015,,,,,,Asylum seekers,,,,,2
2015,,,,,,,Prosecution,,,,4536
2015,,,,,,,Police inspectorate,,,,23110
2015,,,,,,,Court,,,,9465
2015,,,,,,,Court of Appeal,,,,3983
2015,,,,,,,Supreme Court of Justice,,,,40
2015,,,,,,,Other authorities,,,,2846
2015,,,,,,,,Regardless of income level (art. 20 law 198),,,28671
2015,,,,,,,,Depending on the income level (art. 21 law 198),,,15309
2015,,,,,,,,,Qualified criminal cases,,36124
2015,,,,,,,,,Qualified contravention cases,,789
2015,,,,,,,,,Qualified civil cases,,2452
2015,,,,,,,,,Emergency criminal cases,,4153
2015,,,,,,,,,Emergency contravention cases,,462
2015,,,,,,,,,,Total,9813
2016,,,,,,,,,,,49560
2016,Bulgarians,,,,,,,,,,0
2016,Roma,,,,,,,,,,0
2016,Russians,,,,,,,,,,1
2016,Jews,,,,,,,,,,0
2016,Ukrainians,,,,,,,,,,1
2016,,Men,,,,,,,,,43940
2016,,Women,,,,,,,,,5620
2016,,,0-17,,,,,,,,2801
2016,,,18+,,,,,,,,46759
2016,,,, ,,,,,,,0
2016,,,,Mental,,,,,,,21
2016,,,,Intellectual,,,,,,,1
2016,,,,Sensory,,,,,,,0
2016,,,,,Republic of Moldova,,,,,,49471
2016,,,,,Foreign citizenship,,,,,,89
2016,,,,,Stateless,,,,,,0
2016,,,,,,Temporary protection,,,,,78
2016,,,,,,Humanitarian protection,,,,,0
2016,,,,,,Refugees,,,,,2
2016,,,,,,Asylum seekers,,,,,9
2016,,,,,,,Prosecution,,,,3585
2016,,,,,,,Police inspectorate,,,,25480
2016,,,,,,,Court,,,,13453
2016,,,,,,,Court of Appeal,,,,4267
2016,,,,,,,Supreme Court of Justice,,,,72
2016,,,,,,,Other authorities,,,,2703
2016,,,,,,,,Regardless of income level (art. 20 law 198),,,37535
2016,,,,,,,,Depending on the income level (art. 21 law 198),,,17066
2016,,,,,,,,,Qualified criminal cases,,40366
2016,,,,,,,,,Qualified contravention cases,,1086
2016,,,,,,,,,Qualified civil cases,,2910
2016,,,,,,,,,Emergency criminal cases,,4776
2016,,,,,,,,,Emergency contravention cases,,422
2016,,,,,,,,,,Total,9335
2017,,,,,,,,,,,54601
2017,Bulgarians,,,,,,,,,,0
2017,Roma,,,,,,,,,,0
2017,Russians,,,,,,,,,,0
2017,Jews,,,,,,,,,,0
2017,Ukrainians,,,,,,,,,,0
2017,,Men,,,,,,,,,47988
2017,,Women,,,,,,,,,6613
2017,,,0-17,,,,,,,,2864
2017,,,18+,,,,,,,,51737
2017,,,, ,,,,,,,1
2017,,,,Mental,,,,,,,0
2017,,,,Intellectual,,,,,,,2
2017,,,,Sensory,,,,,,,1
2017,,,,,Republic of Moldova,,,,,,54535
2017,,,,,Foreign citizenship,,,,,,66
2017,,,,,Stateless,,,,,,0
2017,,,,,,Temporary protection,,,,,36
2017,,,,,,Humanitarian protection,,,,,1
2017,,,,,,Refugees,,,,,3
2017,,,,,,Asylum seekers,,,,,26
2017,,,,,,,Prosecution,,,,2221
2017,,,,,,,Police inspectorate,,,,23996
2017,,,,,,,Court,,,,20039
2017,,,,,,,Court of Appeal,,,,5626
2017,,,,,,,Supreme Court of Justice,,,,60
2017,,,,,,,Other authorities,,,,2659
2017,,,,,,,,Regardless of income level (art. 20 law 198),,,38863
2017,,,,,,,,Depending on the income level (art. 21 law 198),,,15738
2017,,,,,,,,,Qualified criminal cases,,44005
2017,,,,,,,,,Qualified contravention cases,,2425
2017,,,,,,,,,Qualified civil cases,,3458
2017,,,,,,,,,Emergency criminal cases,,4525
2017,,,,,,,,,Emergency contravention cases,,188
2017,,,,,,,,,,Total,10849
2018,,,,,,,,,,,49695
2018,Bulgarians,,,,,,,,,,0
2018,Roma,,,,,,,,,,0
2018,Russians,,,,,,,,,,3
2018,Jews,,,,,,,,,,0
2018,Ukrainians,,,,,,,,,,1
2018,,Men,,,,,,,,,44080
2018,,Women,,,,,,,,,5615
