Year,Cities,Value
2010,Chișinău,
2010,Leova,5.9
2010,Bălți,274
2010,Tiraspol,102
2010,Bender,42
2010,Râbnița,160
2011,Chișinău,
2011,Leova,17.1
2011,Bălți,310
2011,Tiraspol,103
2011,Bender,55
2011,Râbnița,122
2012,Chișinău,
2012,Leova,16.1
2012,Bălți,283
2012,Tiraspol,70
2012,Bender,55
2012,Râbnița,103
2013,Chișinău,23.7
2013,Leova,30.3
2013,Bălți,300
2013,Tiraspol,60
2013,Bender,44
2013,Râbnița,76
2014,Chișinău,28.8
2014,Leova,19.2
2014,Bălți,177
2014,Tiraspol,92
2014,Bender,41
2014,Râbnița,105
2015,Chișinău,33
2015,Leova,
2015,Bălți,282
2015,Tiraspol,80
2015,Bender,45
2015,Râbnița,115
2016,Chișinău,27.2
2016,Leova,
2016,Bălți,230
2016,Tiraspol,60
2016,Bender,43
2016,Râbnița,95
2017,Chișinău,30.7
2017,Leova,22.8
2017,Bălți,200
2017,Tiraspol,46
2017,Bender,39
2017,Râbnița,95
2018,Chișinău,43
2018,Leova,
2018,Bălți,204
2018,Tiraspol,42
2018,Bender,45
2018,Râbnița,109
2019,Chișinău,58
2019,Leova,
2019,Bălți,185
2019,Tiraspol,59
2019,Bender,54
2019,Râbnița,127
2020,Chișinău,82
2020,Leova,
2020,Bălți,192
2020,Tiraspol,57
2020,Bender,47
2020,Râbnița,124
2021,Chișinău,63
2021,Leova,
2021,Bălți,203
2021,Tiraspol,38
2021,Bender,41
2021,Râbnița,103
2022,Chișinău,45
2022,Leova,
2022,Bălți,164
2022,Tiraspol,47
2022,Bender,52
2022,Râbnița,124
