Year,Components of integrated water resources management (iwrm),Value
2010,,
2010,Favorable environment,
2010,Institutions,
2010,Management tools,
2010,Funding,
2011,,
2011,Favorable environment,
2011,Institutions,
2011,Management tools,
2011,Funding,
2012,,
2012,Favorable environment,
2012,Institutions,
2012,Management tools,
2012,Funding,
2013,,
2013,Favorable environment,
2013,Institutions,
2013,Management tools,
2013,Funding,
2014,,
2014,Favorable environment,
2014,Institutions,
2014,Management tools,
2014,Funding,
2015,,
2015,Favorable environment,
2015,Institutions,
2015,Management tools,
2015,Funding,
2016,,
2016,Favorable environment,
2016,Institutions,
2016,Management tools,
2016,Funding,
2017,,
2017,Favorable environment,
2017,Institutions,
2017,Management tools,
2017,Funding,
2018,,
2018,Favorable environment,
2018,Institutions,
2018,Management tools,
2018,Funding,
2019,,
2019,Favorable environment,
2019,Institutions,
2019,Management tools,
2019,Funding,
2020,,
2020,Favorable environment,
2020,Institutions,
2020,Management tools,
2020,Funding,
2021,,
2021,Favorable environment,
2021,Institutions,
2021,Management tools,
2021,Funding,
2022,,
2022,Favorable environment,
2022,Institutions,
2022,Management tools,
2022,Funding,
