Year,Level of implementation,Value
2010,Integral,
2010,Partial,
2010,unfulfilled,
2011,Integral,
2011,Partial,
2011,unfulfilled,
2012,Integral,4
2012,Partial,
2012,unfulfilled,
2013,Integral,13.4
2013,Partial,
2013,unfulfilled,
2014,Integral,77.4
2014,Partial,
2014,unfulfilled,
2015,Integral,
2015,Partial,
2015,unfulfilled,
2016,Integral,6.9
2016,Partial,
2016,unfulfilled,
2017,Integral,15.6
2017,Partial,
2017,unfulfilled,
2018,Integral,19.2
2018,Partial,
2018,unfulfilled,
2019,Integral,37.1
2019,Partial,
2019,unfulfilled,
2020,Integral,44
2020,Partial,47
2020,unfulfilled,9
2021,Integral,
2021,Partial,
2021,unfulfilled,
2022,Integral,
2022,Partial,
2022,unfulfilled,
