Year,"Number of children subjected to violence, at the end of the year",Area of residence (subjected to violence),Sex (subjected to violence),Age group (subjected to violence),Disability (subjected to violence),"Number of neglected children, at the end of the year",Area of residence (neglected),Sex (neglected),Age group (neglected),Disability (neglected),Value
2010,Total,,,,,,,,,,
2010,,Urban,,,,,,,,,
2010,,Rural,,,,,,,,,
2010,,,Girls,,,,,,,,
2010,,,Boys,,,,,,,,
2010,,,,0-2 years,,,,,,,
2010,,,,3-6 years,,,,,,,
2010,,,,7-15 years,,,,,,,
2010,,,,16-17 years,,,,,,,
2010,,,,,With disabilities,,,,,,
2010,,,,,,Total,,,,,
2010,,,,,,,Urban,,,,
2010,,,,,,,Rural,,,,
2010,,,,,,,,Girls,,,
2010,,,,,,,,Boys,,,
2010,,,,,,,,,0-2 years old,,
2010,,,,,,,,,3-6 years old,,
2010,,,,,,,,,7-15 years old,,
2010,,,,,,,,,16-17 years old,,
2010,,,,,,,,,,With disabilities,
2011,Total,,,,,,,,,,
2011,,Urban,,,,,,,,,
2011,,Rural,,,,,,,,,
2011,,,Girls,,,,,,,,
2011,,,Boys,,,,,,,,
2011,,,,0-2 years,,,,,,,
2011,,,,3-6 years,,,,,,,
2011,,,,7-15 years,,,,,,,
2011,,,,16-17 years,,,,,,,
2011,,,,,With disabilities,,,,,,
2011,,,,,,Total,,,,,
2011,,,,,,,Urban,,,,
2011,,,,,,,Rural,,,,
2011,,,,,,,,Girls,,,
2011,,,,,,,,Boys,,,
2011,,,,,,,,,0-2 years old,,
2011,,,,,,,,,3-6 years old,,
2011,,,,,,,,,7-15 years old,,
2011,,,,,,,,,16-17 years old,,
2011,,,,,,,,,,With disabilities,
2012,Total,,,,,,,,,,
2012,,Urban,,,,,,,,,
2012,,Rural,,,,,,,,,
2012,,,Girls,,,,,,,,
2012,,,Boys,,,,,,,,
2012,,,,0-2 years,,,,,,,
2012,,,,3-6 years,,,,,,,
2012,,,,7-15 years,,,,,,,
2012,,,,16-17 years,,,,,,,
2012,,,,,With disabilities,,,,,,
2012,,,,,,Total,,,,,
2012,,,,,,,Urban,,,,
2012,,,,,,,Rural,,,,
2012,,,,,,,,Girls,,,
2012,,,,,,,,Boys,,,
2012,,,,,,,,,0-2 years old,,
2012,,,,,,,,,3-6 years old,,
2012,,,,,,,,,7-15 years old,,
2012,,,,,,,,,16-17 years old,,
2012,,,,,,,,,,With disabilities,
2013,Total,,,,,,,,,,
2013,,Urban,,,,,,,,,
2013,,Rural,,,,,,,,,
2013,,,Girls,,,,,,,,
2013,,,Boys,,,,,,,,
2013,,,,0-2 years,,,,,,,
2013,,,,3-6 years,,,,,,,
2013,,,,7-15 years,,,,,,,
2013,,,,16-17 years,,,,,,,
2013,,,,,With disabilities,,,,,,
2013,,,,,,Total,,,,,
2013,,,,,,,Urban,,,,
2013,,,,,,,Rural,,,,
2013,,,,,,,,Girls,,,
2013,,,,,,,,Boys,,,
2013,,,,,,,,,0-2 years old,,
2013,,,,,,,,,3-6 years old,,
2013,,,,,,,,,7-15 years old,,
2013,,,,,,,,,16-17 years old,,
2013,,,,,,,,,,With disabilities,
2014,Total,,,,,,,,,,
2014,,Urban,,,,,,,,,
2014,,Rural,,,,,,,,,
2014,,,Girls,,,,,,,,
2014,,,Boys,,,,,,,,
2014,,,,0-2 years,,,,,,,
2014,,,,3-6 years,,,,,,,
2014,,,,7-15 years,,,,,,,
2014,,,,16-17 years,,,,,,,
2014,,,,,With disabilities,,,,,,
2014,,,,,,Total,,,,,
2014,,,,,,,Urban,,,,
2014,,,,,,,Rural,,,,
2014,,,,,,,,Girls,,,
2014,,,,,,,,Boys,,,
2014,,,,,,,,,0-2 years old,,
2014,,,,,,,,,3-6 years old,,
2014,,,,,,,,,7-15 years old,,
2014,,,,,,,,,16-17 years old,,
2014,,,,,,,,,,With disabilities,
2015,Total,,,,,,,,,,
2015,,Urban,,,,,,,,,
2015,,Rural,,,,,,,,,
2015,,,Girls,,,,,,,,
2015,,,Boys,,,,,,,,
2015,,,,0-2 years,,,,,,,
2015,,,,3-6 years,,,,,,,
2015,,,,7-15 years,,,,,,,
2015,,,,16-17 years,,,,,,,
2015,,,,,With disabilities,,,,,,
2015,,,,,,Total,,,,,
2015,,,,,,,Urban,,,,
2015,,,,,,,Rural,,,,
2015,,,,,,,,Girls,,,
2015,,,,,,,,Boys,,,
2015,,,,,,,,,0-2 years old,,
2015,,,,,,,,,3-6 years old,,
2015,,,,,,,,,7-15 years old,,
2015,,,,,,,,,16-17 years old,,
2015,,,,,,,,,,With disabilities,
2016,Total,,,,,,,,,,
2016,,Urban,,,,,,,,,
2016,,Rural,,,,,,,,,
2016,,,Girls,,,,,,,,
2016,,,Boys,,,,,,,,
2016,,,,0-2 years,,,,,,,
2016,,,,3-6 years,,,,,,,
2016,,,,7-15 years,,,,,,,
2016,,,,16-17 years,,,,,,,
2016,,,,,With disabilities,,,,,,
2016,,,,,,Total,,,,,
2016,,,,,,,Urban,,,,
2016,,,,,,,Rural,,,,
2016,,,,,,,,Girls,,,
2016,,,,,,,,Boys,,,
2016,,,,,,,,,0-2 years old,,
2016,,,,,,,,,3-6 years old,,
2016,,,,,,,,,7-15 years old,,
2016,,,,,,,,,16-17 years old,,
2016,,,,,,,,,,With disabilities,
2017,Total,,,,,,,,,,
2017,,Urban,,,,,,,,,
2017,,Rural,,,,,,,,,
2017,,,Girls,,,,,,,,
2017,,,Boys,,,,,,,,
2017,,,,0-2 years,,,,,,,
2017,,,,3-6 years,,,,,,,
2017,,,,7-15 years,,,,,,,
2017,,,,16-17 years,,,,,,,
2017,,,,,With disabilities,,,,,,
2017,,,,,,Total,,,,,
2017,,,,,,,Urban,,,,
2017,,,,,,,Rural,,,,
2017,,,,,,,,Girls,,,
2017,,,,,,,,Boys,,,
2017,,,,,,,,,0-2 years old,,
2017,,,,,,,,,3-6 years old,,
2017,,,,,,,,,7-15 years old,,
2017,,,,,,,,,16-17 years old,,
2017,,,,,,,,,,With disabilities,
2018,Total,,,,,,,,,,977
2018,,Urban,,,,,,,,,613
2018,,Rural,,,,,,,,,364
2018,,,Girls,,,,,,,,437
2018,,,Boys,,,,,,,,540
2018,,,,0-2 years,,,,,,,77
2018,,,,3-6 years,,,,,,,172
2018,,,,7-15 years,,,,,,,420
2018,,,,16-17 years,,,,,,,308
2018,,,,,With disabilities,,,,,,23
2018,,,,,,Total,,,,,7672
2018,,,,,,,Urban,,,,2115
2018,,,,,,,Rural,,,,5557
2018,,,,,,,,Girls,,,3761
2018,,,,,,,,Boys,,,3911
2018,,,,,,,,,0-2 years old,,839
2018,,,,,,,,,3-6 years old,,1843
2018,,,,,,,,,7-15 years old,,3797
2018,,,,,,,,,16-17 years old,,1193
2018,,,,,,,,,,With disabilities,154
2019,Total,,,,,,,,,,755
2019,,Urban,,,,,,,,,387
2019,,Rural,,,,,,,,,368
2019,,,Girls,,,,,,,,374
2019,,,Boys,,,,,,,,381
2019,,,,0-2 years,,,,,,,35
2019,,,,3-6 years,,,,,,,93
2019,,,,7-15 years,,,,,,,403
2019,,,,16-17 years,,,,,,,224
2019,,,,,With disabilities,,,,,,17
2019,,,,,,Total,,,,,8559
2019,,,,,,,Urban,,,,2051
2019,,,,,,,Rural,,,,6508
2019,,,,,,,,Girls,,,4182
2019,,,,,,,,Boys,,,4377
2019,,,,,,,,,0-2 years old,,922
2019,,,,,,,,,3-6 years old,,2123
2019,,,,,,,,,7-15 years old,,4206
2019,,,,,,,,,16-17 years old,,1308
2019,,,,,,,,,,With disabilities,174
2020,Total,,,,,,,,,,866
2020,,Urban,,,,,,,,,475
2020,,Rural,,,,,,,,,391
2020,,,Girls,,,,,,,,373
2020,,,Boys,,,,,,,,493
2020,,,,0-2 years,,,,,,,39
2020,,,,3-6 years,,,,,,,141
2020,,,,7-15 years,,,,,,,363
2020,,,,16-17 years,,,,,,,323
2020,,,,,With disabilities,,,,,,17
2020,,,,,,Total,,,,,8065
2020,,,,,,,Urban,,,,1969
2020,,,,,,,Rural,,,,6096
2020,,,,,,,,Girls,,,3903
2020,,,,,,,,Boys,,,4162
2020,,,,,,,,,0-2 years old,,807
2020,,,,,,,,,3-6 years old,,1809
2020,,,,,,,,,7-15 years old,,4221
2020,,,,,,,,,16-17 years old,,1228
2020,,,,,,,,,,With disabilities,180
2021,Total,,,,,,,,,,783
2021,,Urban,,,,,,,,,288
2021,,Rural,,,,,,,,,495
2021,,,Girls,,,,,,,,385
2021,,,Boys,,,,,,,,398
2021,,,,0-2 years,,,,,,,42
2021,,,,3-6 years,,,,,,,156
2021,,,,7-15 years,,,,,,,439
2021,,,,16-17 years,,,,,,,146
2021,,,,,With disabilities,,,,,,7
2021,,,,,,Total,,,,,6297
2021,,,,,,,Urban,,,,1434
2021,,,,,,,Rural,,,,4863
2021,,,,,,,,Girls,,,3226
2021,,,,,,,,Boys,,,3071
