Year,Sex,Forms of ownership,Value
2010,,,
2010,Women,,
2010,Men,,
2010,,Public,
2010,,Other,
2011,,,
2011,Women,,
2011,Men,,
2011,,Public,
2011,,Other,
2012,,,
2012,Women,,
2012,Men,,
2012,,Public,
2012,,Other,
2013,,,93.5
2013,Women,,93.6
2013,Men,,93.1
2013,,Public,93.4
2013,,Other,99.1
2014,,,97.4
2014,Women,,97.3
2014,Men,,97.9
2014,,Public,97.3
2014,,Other,99.7
2015,,,98.7
2015,Women,,99.1
2015,Men,,97.1
2015,,Public,98.7
2015,,Other,99
2016,,,98
2016,Women,,98.7
2016,Men,,95.1
2016,,Public,98
2016,,Other,98.3
2017,,,98.1
2017,Women,,98.9
2017,Men,,94.6
2017,,Public,98.1
2017,,Other,99.4
2018,,,98.2
2018,Women,,98.9
2018,Men,,95.3
2018,,Public,98.2
2018,,Other,99.7
2019,,,98.7
2019,Women,,99.3
2019,Men,,96.1
2019,,Public,98.7
2019,,Other,99.3
2020,,,97.9
2020,Women,,98.6
2020,Men,,94.7
2020,,Public,97.9
2020,,Other,98.6
2021,,,97.7
2021,Women,,98.1
2021,Men,,95.8
2021,,Public,97.8
2021,,Other,92.4
2022,,,98.2
2022,Women,,98.5
2022,Men,,96.8
2022,,Public,98.2
2022,,Other,99.4
