Year,Urban,Rural,Men,Women,0-17,18-29,30-39,40-49,50-59,60+,Value
2010,,,,,,,,,,,
2010,Area of residence,,,,,,,,,,
2010,,,,,,,,,,,
2010,,,Sex,,,,,,,,
2010,,,,,,,,,,,
2010,,,,,Age group,,,,,,
2010,,,,,,,,,,,
2010,,,,,,,,,,,
2010,,,,,,,,,,,
2010,,,,,,,,,,,
2010,,,,,,,,,,,
2011,,,,,,,,,,,
2011,Area of residence,,,,,,,,,,
2011,,,,,,,,,,,
2011,,,Sex,,,,,,,,
2011,,,,,,,,,,,
2011,,,,,Age group,,,,,,
2011,,,,,,,,,,,
2011,,,,,,,,,,,
2011,,,,,,,,,,,
2011,,,,,,,,,,,
2011,,,,,,,,,,,
2012,,,,,,,,,,,
2012,Area of residence,,,,,,,,,,
2012,,,,,,,,,,,
2012,,,Sex,,,,,,,,
2012,,,,,,,,,,,
2012,,,,,Age group,,,,,,
2012,,,,,,,,,,,
2012,,,,,,,,,,,
2012,,,,,,,,,,,
2012,,,,,,,,,,,
2012,,,,,,,,,,,
2013,,,,,,,,,,,
2013,Area of residence,,,,,,,,,,
2013,,,,,,,,,,,
2013,,,Sex,,,,,,,,
2013,,,,,,,,,,,
2013,,,,,Age group,,,,,,
2013,,,,,,,,,,,
2013,,,,,,,,,,,
2013,,,,,,,,,,,
2013,,,,,,,,,,,
2013,,,,,,,,,,,
2014,,,,,,,,,,,29.5
2014,Area of residence,,,,,,,,,,15.6
2014,,,,,,,,,,,39.5
2014,,,Sex,,,,,,,,30.4
2014,,,,,,,,,,,28.7
2014,,,,,Age group,,,,,,32.9
2014,,,,,,,,,,,25.4
2014,,,,,,,,,,,29.1
2014,,,,,,,,,,,27.5
2014,,,,,,,,,,,27
2014,,,,,,,,,,,33.4
2015,,,,,,,,,,,25.4
2015,Area of residence,,,,,,,,,,11.2
2015,,,,,,,,,,,35.6
2015,,,Sex,,,,,,,,26.5
2015,,,,,,,,,,,24.4
2015,,,,,Age group,,,,,,27.7
2015,,,,,,,,,,,22.6
2015,,,,,,,,,,,22.4
2015,,,,,,,,,,,24.7
2015,,,,,,,,,,,24.2
2015,,,,,,,,,,,28.8
2016,,,,,,,,,,,26.4
2016,Area of residence,,,,,,,,,,11.6
2016,,,,,,,,,,,37.1
2016,,,Sex,,,,,,,,26.8
2016,,,,,,,,,,,26.1
2016,,,,,Age group,,,,,,28.7
2016,,,,,,,,,,,20.9
2016,,,,,,,,,,,22.9
2016,,,,,,,,,,,26.6
2016,,,,,,,,,,,25.1
2016,,,,,,,,,,,31.6
2017,,,,,,,,,,,27.7
2017,Area of residence,,,,,,,,,,11.8
2017,,,,,,,,,,,38.8
2017,,,Sex,,,,,,,,28.8
2017,,,,,,,,,,,26.7
2017,,,,,Age group,,,,,,30.9
2017,,,,,,,,,,,26.1
2017,,,,,,,,,,,22.3
2017,,,,,,,,,,,29.1
2017,,,,,,,,,,,24.1
2017,,,,,,,,,,,31
2018,,,,,,,,,,,23
2018,Area of residence,,,,,,,,,,10.6
2018,,,,,,,,,,,31.5
2018,,,Sex,,,,,,,,23.3
2018,,,,,,,,,,,22.6
2018,,,,,Age group,,,,,,24.4
2018,,,,,,,,,,,21.5
2018,,,,,,,,,,,20.3
2018,,,,,,,,,,,23.1
2018,,,,,,,,,,,21
2018,,,,,,,,,,,25.4
2019,,,,,,,,,,,25.2
2019,Area of residence,,,,,,,,,,11.2
2019,,,,,,,,,,,34.5
2019,,,Sex,,,,,,,,24.8
2019,,,,,,,,,,,25.6
2019,,,,,Age group,,,,,,24
2019,,,,,,,,,,,21.6
2019,,,,,,,,,,,19.2
2019,,,,,,,,,,,23.8
2019,,,,,,,,,,,20.7
2019,,,,,,,,,,,36.8
2020,,,,,,,,,,,26.8
2020,Area of residence,,,,,,,,,,14
2020,,,,,,,,,,,35.3
2020,,,Sex,,,,,,,,26.7
2020,,,,,,,,,,,26.9
2020,,,,,Age group,,,,,,26
2020,,,,,,,,,,,21.6
2020,,,,,,,,,,,21.2
2020,,,,,,,,,,,23.1
2020,,,,,,,,,,,24.8
2020,,,,,,,,,,,37.2
2021,,,,,,,,,,,24.5
2021,Area of residence,,,,,,,,,,11.9
2021,,,,,,,,,,,32.8
2021,,,Sex,,,,,,,,24.3
2021,,,,,,,,,,,24.7
2021,,,,,Age group,,,,,,24.4
2021,,,,,,,,,,,18.1
2021,,,,,,,,,,,19.6
2021,,,,,,,,,,,21.3
2021,,,,,,,,,,,19.3
2021,,,,,,,,,,,35.9
2022,,,,,,,,,,,
2022,Area of residence,,,,,,,,,,
2022,,,,,,,,,,,
2022,,,Sex,,,,,,,,
2022,,,,,,,,,,,
2022,,,,,Age group,,,,,,
2022,,,,,,,,,,,
2022,,,,,,,,,,,
2022,,,,,,,,,,,
2022,,,,,,,,,,,
2022,,,,,,,,,,,
