Year,Managerial positions held by women,Women in senior and middle management positions,Value
2010,Total - Proportion of managerial positions held by women,,
2010,Urban - Proportion of managerial positions held by women,,
2010,Rural - Proportion of managerial positions held by women,,
2010,Agriculture - Proportion of managerial positions held by women,,
2010,Industry - Proportion of managerial positions held by women,,
2010,Construction - Proportion of managerial positions held by women,,
2010,Wholesale and retail trade; accomodation and food service activities - Proportion of managerial positions held by women,,
2010,Transportation and storage; information and communication - Proportion of managerial positions held by women,,
2010,Public administration; education; health and social work - Proportion of managerial positions held by women,,
2010,Other activities - Proportion of managerial positions held by women,,
2010,Public property - Proportion of managerial positions held by women,,
2010,Other forms of property - Proportion of managerial positions held by women,,
2010,,Total - Proportion of women in senior and middle management positions,
2010,,Urban - Proportion of women in senior and middle management positions,
2010,,Rural - Proportion of women in senior and middle management positions,
2010,,Agriculture - Proportion of women in senior and middle management positions,
2010,,Industry - Proportion of women in senior and middle management positions,
2010,,Construction - Proportion of women in senior and middle management positions,
2010,,Wholesale and retail trade; accomodation and food service activities - Proportion of women in senior and middle management positions,
2010,,Transportation and storage; information and communication - Proportion of women in senior and middle management positions,
2010,,Public administration; education; health and social work - Proportion of women in senior and middle management positions,
2010,,Other activities - Proportion of women in senior and middle management positions,
2010,,Public property - Proportion of women in senior and middle management positions,
2010,,Other forms of property - Proportion of women in senior and middle management positions,
2011,Total - Proportion of managerial positions held by women,,
2011,Urban - Proportion of managerial positions held by women,,
2011,Rural - Proportion of managerial positions held by women,,
2011,Agriculture - Proportion of managerial positions held by women,,
2011,Industry - Proportion of managerial positions held by women,,
2011,Construction - Proportion of managerial positions held by women,,
2011,Wholesale and retail trade; accomodation and food service activities - Proportion of managerial positions held by women,,
2011,Transportation and storage; information and communication - Proportion of managerial positions held by women,,
2011,Public administration; education; health and social work - Proportion of managerial positions held by women,,
2011,Other activities - Proportion of managerial positions held by women,,
2011,Public property - Proportion of managerial positions held by women,,
2011,Other forms of property - Proportion of managerial positions held by women,,
2011,,Total - Proportion of women in senior and middle management positions,
2011,,Urban - Proportion of women in senior and middle management positions,
2011,,Rural - Proportion of women in senior and middle management positions,
2011,,Agriculture - Proportion of women in senior and middle management positions,
2011,,Industry - Proportion of women in senior and middle management positions,
2011,,Construction - Proportion of women in senior and middle management positions,
2011,,Wholesale and retail trade; accomodation and food service activities - Proportion of women in senior and middle management positions,
2011,,Transportation and storage; information and communication - Proportion of women in senior and middle management positions,
2011,,Public administration; education; health and social work - Proportion of women in senior and middle management positions,
2011,,Other activities - Proportion of women in senior and middle management positions,
2011,,Public property - Proportion of women in senior and middle management positions,
2011,,Other forms of property - Proportion of women in senior and middle management positions,
2012,Total - Proportion of managerial positions held by women,,
2012,Urban - Proportion of managerial positions held by women,,
2012,Rural - Proportion of managerial positions held by women,,
2012,Agriculture - Proportion of managerial positions held by women,,
2012,Industry - Proportion of managerial positions held by women,,
2012,Construction - Proportion of managerial positions held by women,,
2012,Wholesale and retail trade; accomodation and food service activities - Proportion of managerial positions held by women,,
2012,Transportation and storage; information and communication - Proportion of managerial positions held by women,,
2012,Public administration; education; health and social work - Proportion of managerial positions held by women,,
2012,Other activities - Proportion of managerial positions held by women,,
