Year,General objectives,Value
2010,,
2010,OG1. Consolidation of the normative and institutional framework regarding the participation of civil society in the development and monitoring of the implementation of public policies,
2010,OG2. Promoting and strengthening the financial sustainability of civil society,
2010,OG3. Development of active civic spirit and volunteering,
2011,,
2011,OG1. Consolidation of the normative and institutional framework regarding the participation of civil society in the development and monitoring of the implementation of public policies,
2011,OG2. Promoting and strengthening the financial sustainability of civil society,
2011,OG3. Development of active civic spirit and volunteering,
2012,,
2012,OG1. Consolidation of the normative and institutional framework regarding the participation of civil society in the development and monitoring of the implementation of public policies,
2012,OG2. Promoting and strengthening the financial sustainability of civil society,
2012,OG3. Development of active civic spirit and volunteering,
2013,,
2013,OG1. Consolidation of the normative and institutional framework regarding the participation of civil society in the development and monitoring of the implementation of public policies,
2013,OG2. Promoting and strengthening the financial sustainability of civil society,
2013,OG3. Development of active civic spirit and volunteering,
2014,,
2014,OG1. Consolidation of the normative and institutional framework regarding the participation of civil society in the development and monitoring of the implementation of public policies,
2014,OG2. Promoting and strengthening the financial sustainability of civil society,
2014,OG3. Development of active civic spirit and volunteering,
2015,,
2015,OG1. Consolidation of the normative and institutional framework regarding the participation of civil society in the development and monitoring of the implementation of public policies,
2015,OG2. Promoting and strengthening the financial sustainability of civil society,
2015,OG3. Development of active civic spirit and volunteering,
2016,,
2016,OG1. Consolidation of the normative and institutional framework regarding the participation of civil society in the development and monitoring of the implementation of public policies,
2016,OG2. Promoting and strengthening the financial sustainability of civil society,
2016,OG3. Development of active civic spirit and volunteering,
2017,,
2017,OG1. Consolidation of the normative and institutional framework regarding the participation of civil society in the development and monitoring of the implementation of public policies,
2017,OG2. Promoting and strengthening the financial sustainability of civil society,
2017,OG3. Development of active civic spirit and volunteering,
2018,,37
2018,OG1. Consolidation of the normative and institutional framework regarding the participation of civil society in the development and monitoring of the implementation of public policies,50
2018,OG2. Promoting and strengthening the financial sustainability of civil society,28.6
2018,OG3. Development of active civic spirit and volunteering,30
2019,,47.7
2019,OG1. Consolidation of the normative and institutional framework regarding the participation of civil society in the development and monitoring of the implementation of public policies,72.7
2019,OG2. Promoting and strengthening the financial sustainability of civil society,57.9
2019,OG3. Development of active civic spirit and volunteering,14.3
2020,,50
2020,OG1. Consolidation of the normative and institutional framework regarding the participation of civil society in the development and monitoring of the implementation of public policies,56.5
2020,OG2. Promoting and strengthening the financial sustainability of civil society,45.7
2020,OG3. Development of active civic spirit and volunteering,50
2021,,
2021,OG1. Consolidation of the normative and institutional framework regarding the participation of civil society in the development and monitoring of the implementation of public policies,
2021,OG2. Promoting and strengthening the financial sustainability of civil society,
2021,OG3. Development of active civic spirit and volunteering,
2022,,
2022,OG1. Consolidation of the normative and institutional framework regarding the participation of civil society in the development and monitoring of the implementation of public policies,
2022,OG2. Promoting and strengthening the financial sustainability of civil society,
2022,OG3. Development of active civic spirit and volunteering,
