Year,Area of residence,Education levels,Value
2010,,,100
2010,Urban,,100
2010,Rural,,100
2010,,Early education,100
2010,,primary education,100
2010,,secondary school,100
2010,,high school,100
2011,,,100
2011,Urban,,100
2011,Rural,,100
2011,,Early education,100
2011,,primary education,100
2011,,secondary school,100
2011,,high school,100
2012,,,100
2012,Urban,,100
2012,Rural,,100
2012,,Early education,100
2012,,primary education,100
2012,,secondary school,100
2012,,high school,100
2013,,,100
2013,Urban,,100
2013,Rural,,100
2013,,Early education,100
2013,,primary education,100
2013,,secondary school,100
2013,,high school,100
2014,,,100
2014,Urban,,100
2014,Rural,,100
2014,,Early education,100
2014,,primary education,100
2014,,secondary school,100
2014,,high school,100
2015,,,100
2015,Urban,,100
2015,Rural,,100
2015,,Early education,100
2015,,primary education,100
2015,,secondary school,100
2015,,high school,100
2016,,,100
2016,Urban,,100
2016,Rural,,100
2016,,Early education,100
2016,,primary education,100
2016,,secondary school,100
2016,,high school,100
2017,,,100
2017,Urban,,100
2017,Rural,,100
2017,,Early education,100
2017,,primary education,100
2017,,secondary school,100
2017,,high school,100
2018,,,100
2018,Urban,,100
2018,Rural,,100
2018,,Early education,100
2018,,primary education,100
2018,,secondary school,100
2018,,high school,100
2019,,,100
2019,Urban,,100
2019,Rural,,100
2019,,Early education,100
2019,,primary education,100
2019,,secondary school,100
2019,,high school,100
2020,,,100
2020,Urban,,100
2020,Rural,,100
2020,,Early education,100
2020,,primary education,100
2020,,secondary school,100
2020,,high school,100
2021,,,100
2021,Urban,,100
2021,Rural,,100
2021,,Early education,100
2021,,primary education,100
2021,,secondary school,100
2021,,high school,100
2022,,,100
2022,Urban,,100
2022,Rural,,100
2022,,Early education,100
2022,,primary education,100
2022,,secondary school,100
2022,,high school,100
2023,,,100
2023,Urban,,100
2023,Rural,,100
2023,,Early education,100
2023,,primary education,100
2023,,secondary school,100
2023,,high school,100
