Year,Type of aid,Area of residence (social assistance) ,Value
2010,,,
2010,Social aid,,
2010,Cold period,,
2010,,Urban,
2010,,Rural,
2010,,Women,
2010,,Men,
2011,,,
2011,Social aid,,
2011,Cold period,,
2011,,Urban,
2011,,Rural,
2011,,Women,
2011,,Men,
2012,,,
2012,Social aid,,
2012,Cold period,,
2012,,Urban,
2012,,Rural,
2012,,Women,
2012,,Men,
2013,,,
2013,Social aid,,
2013,Cold period,,
2013,,Urban,
2013,,Rural,
2013,,Women,
2013,,Men,
2014,,,
2014,Social aid,,
2014,Cold period,,
2014,,Urban,
2014,,Rural,
2014,,Women,
2014,,Men,
2015,,,
2015,Social aid,,
2015,Cold period,,
2015,,Urban,
2015,,Rural,
2015,,Women,
2015,,Men,
2016,,,
2016,Social aid,,
2016,Cold period,,
2016,,Urban,
2016,,Rural,
2016,,Women,
2016,,Men,
2017,,,
2017,Social aid,,
2017,Cold period,,
2017,,Urban,
2017,,Rural,
2017,,Women,
2017,,Men,
2018,,,
2018,Social aid,,
2018,Cold period,,
2018,,Urban,
2018,,Rural,
2018,,Women,
2018,,Men,
2019,,,
2019,Social aid,,
2019,Cold period,,
2019,,Urban,
2019,,Rural,
2019,,Women,
2019,,Men,
2020,,,
2020,Social aid,,
2020,Cold period,,
2020,,Urban,
2020,,Rural,
2020,,Women,
2020,,Men,
2021,,,
2021,Social aid,,
2021,Cold period,,
2021,,Urban,
2021,,Rural,
2021,,Women,
2021,,Men,
2022,,,
2022,Social aid,,
2022,Cold period,,
2022,,Urban,
2022,,Rural,
2022,,Women,
2022,,Men,
