Year,Sex,Value
2010,,
2010,Bărbați,
2010,Femei,
2011,,
2011,Bărbați,
2011,Femei,
2012,,
2012,Bărbați,
2012,Femei,
2013,,
2013,Bărbați,
2013,Femei,
2014,,961.5
2014,Bărbați,1275.1
2014,Femei,676.9
2015,,1017.8
2015,Bărbați,1346.9
2015,Femei,716.6
2016,,1001.1
2016,Bărbați,1328.8
2016,Femei,703.1
2017,,931.8
2017,Bărbați,1263.6
2017,Femei,631.9
2018,,977.6
2018,Bărbați,1324.2
2018,Femei,665.6
2019,,975.1
2019,Bărbați,1318.4
2019,Femei,665.5
2020,,970.2
2020,Bărbați,1314.0
2020,Femei,659.7
2021,,1038.6
2021,Bărbați,1411.9
2021,Femei,702.7
2022,,952.9
2022,Bărbați,1326.7
2022,Femei,618.9
