Year,Mediul de reședință,Sex,Grupa de vârstă,Value
2010,,,,
2010,Urban,,,
2010,Rural,,,
2010,,Bărbați,,
2010,,Femei,,
2010,,,0-17,
2010,,,18-29,
2010,,,30-39,
2010,,,40-49,
2010,,,50-59,
2010,,,60+,
2011,,,,
2011,Urban,,,
2011,Rural,,,
2011,,Bărbați,,
2011,,Femei,,
2011,,,0-17,
2011,,,18-29,
2011,,,30-39,
2011,,,40-49,
2011,,,50-59,
2011,,,60+,
2012,,,,
2012,Urban,,,
2012,Rural,,,
2012,,Bărbați,,
2012,,Femei,,
2012,,,0-17,
2012,,,18-29,
2012,,,30-39,
2012,,,40-49,
2012,,,50-59,
2012,,,60+,
2013,,,,
2013,Urban,,,
2013,Rural,,,
2013,,Bărbați,,
2013,,Femei,,
2013,,,0-17,
2013,,,18-29,
2013,,,30-39,
2013,,,40-49,
2013,,,50-59,
2013,,,60+,
2014,,,,
2014,Urban,,,
2014,Rural,,,
2014,,Bărbați,,
2014,,Femei,,
2014,,,0-17,
2014,,,18-29,
2014,,,30-39,
2014,,,40-49,
2014,,,50-59,
2014,,,60+,
2015,,,,
2015,Urban,,,
2015,Rural,,,
2015,,Bărbați,,
2015,,Femei,,
2015,,,0-17,
2015,,,18-29,
2015,,,30-39,
2015,,,40-49,
2015,,,50-59,
2015,,,60+,
2016,,,,
2016,Urban,,,
2016,Rural,,,
2016,,Bărbați,,
2016,,Femei,,
2016,,,0-17,
2016,,,18-29,
2016,,,30-39,
2016,,,40-49,
2016,,,50-59,
2016,,,60+,
2017,,,,
2017,Urban,,,
2017,Rural,,,
2017,,Bărbați,,
2017,,Femei,,
2017,,,0-17,
2017,,,18-29,
2017,,,30-39,
2017,,,40-49,
2017,,,50-59,
2017,,,60+,
2018,,,,
2018,Urban,,,
2018,Rural,,,
2018,,Bărbați,,
2018,,Femei,,
2018,,,0-17,
2018,,,18-29,
2018,,,30-39,
2018,,,40-49,
2018,,,50-59,
2018,,,60+,
2019,,,,
2019,Urban,,,
2019,Rural,,,
2019,,Bărbați,,
2019,,Femei,,
2019,,,0-17,
2019,,,18-29,
2019,,,30-39,
2019,,,40-49,
2019,,,50-59,
2019,,,60+,
2020,,,,
2020,Urban,,,
2020,Rural,,,
2020,,Bărbați,,
2020,,Femei,,
2020,,,0-17,
2020,,,18-29,
2020,,,30-39,
2020,,,40-49,
2020,,,50-59,
2020,,,60+,
2021,,,,
2021,Urban,,,
2021,Rural,,,
2021,,Bărbați,,
2021,,Femei,,
2021,,,0-17,
2021,,,18-29,
2021,,,30-39,
2021,,,40-49,
2021,,,50-59,
2021,,,60+,
2022,,,,
2022,Urban,,,
2022,Rural,,,
2022,,Bărbați,,
2022,,Femei,,
2022,,,0-17,
2022,,,18-29,
2022,,,30-39,
2022,,,40-49,
2022,,,50-59,
2022,,,60+,
