Year,Mediul de reședință,Value
2010,,
2010,Urban,
2010,Rural,
2011,,
2011,Urban,
2011,Rural,
2012,,
2012,Urban,
2012,Rural,
2013,,
2013,Urban,
2013,Rural,
2014,,100.0
2014,Urban,100.0
2014,Rural,100.0
2015,,100.0
2015,Urban,100.0
2015,Rural,100.0
2016,,100.0
2016,Urban,99.9
2016,Rural,100.0
2017,,100.0
2017,Urban,99.9
2017,Rural,100.0
2018,,100.0
2018,Urban,100.0
2018,Rural,100.0
2019,,100.0
2019,Urban,100.0
2019,Rural,100.0
2020,,100.0
2020,Urban,100.0
2020,Rural,100.0
2021,,100.0
2021,Urban,100.0
2021,Rural,100.0
2022,,100.0
2022,Urban,100.0
2022,Rural,100.0
