Year,Grupa de vârstă,Regiuni,Indicatori,Value
2010,,,,
2010,15-17 ani,,,
2010,18-49 ani,,,
2010,,Nord,,
2010,,Centru,,
2010,,Sud,,
2010,,Mun. Chișinău,,
2010,,UTA Găgăuzia,,
2010,,,Femei însărcinate,
2011,,,,
2011,15-17 ani,,,
2011,18-49 ani,,,
2011,,Nord,,
2011,,Centru,,
2011,,Sud,,
2011,,Mun. Chișinău,,
2011,,UTA Găgăuzia,,
2011,,,Femei însărcinate,
2012,,,,
2012,15-17 ani,,,
2012,18-49 ani,,,
2012,,Nord,,
2012,,Centru,,
2012,,Sud,,
2012,,Mun. Chișinău,,
2012,,UTA Găgăuzia,,
2012,,,Femei însărcinate,
2013,,,,
2013,15-17 ani,,,
2013,18-49 ani,,,
2013,,Nord,,
2013,,Centru,,
2013,,Sud,,
2013,,Mun. Chișinău,,
2013,,UTA Găgăuzia,,
2013,,,Femei însărcinate,
2014,,,,
2014,15-17 ani,,,
2014,18-49 ani,,,
2014,,Nord,,
2014,,Centru,,
2014,,Sud,,
2014,,Mun. Chișinău,,
2014,,UTA Găgăuzia,,
2014,,,Femei însărcinate,
2015,,,,
2015,15-17 ani,,,
2015,18-49 ani,,,
2015,,Nord,,
2015,,Centru,,
2015,,Sud,,
2015,,Mun. Chișinău,,
2015,,UTA Găgăuzia,,
2015,,,Femei însărcinate,
2016,,,,
2016,15-17 ani,,,
2016,18-49 ani,,,
2016,,Nord,,
2016,,Centru,,
2016,,Sud,,
2016,,Mun. Chișinău,,
2016,,UTA Găgăuzia,,
2016,,,Femei însărcinate,
2017,,,,
2017,15-17 ani,,,
2017,18-49 ani,,,
2017,,Nord,,
2017,,Centru,,
2017,,Sud,,
2017,,Mun. Chișinău,,
2017,,UTA Găgăuzia,,
2017,,,Femei însărcinate,
2018,,,,
2018,15-17 ani,,,
2018,18-49 ani,,,
2018,,Nord,,
2018,,Centru,,
2018,,Sud,,
2018,,Mun. Chișinău,,
2018,,UTA Găgăuzia,,
2018,,,Femei însărcinate,
2019,,,,
2019,15-17 ani,,,
2019,18-49 ani,,,
2019,,Nord,,
2019,,Centru,,
2019,,Sud,,
2019,,Mun. Chișinău,,
2019,,UTA Găgăuzia,,
2019,,,Femei însărcinate,
2020,,,,
2020,15-17 ani,,,
2020,18-49 ani,,,
2020,,Nord,,
2020,,Centru,,
2020,,Sud,,
2020,,Mun. Chișinău,,
2020,,UTA Găgăuzia,,
2020,,,Femei însărcinate,
2021,,,,1.2
2021,15-17 ani,,,1.6
2021,18-49 ani,,,1.2
2021,,Nord,,1.3
2021,,Centru,,1.3
2021,,Sud,,1.6
2021,,Mun. Chișinău,,0.9
2021,,UTA Găgăuzia,,1.0
2021,,,Femei însărcinate,
2022,,,,1.3
2022,15-17 ani,,,1.9
2022,18-49 ani,,,1.2
2022,,Nord,,1.4
2022,,Centru,,1.6
2022,,Sud,,1.5
2022,,Mun. Chișinău,,0.8
2022,,UTA Găgăuzia,,1.0
2022,,,Femei însărcinate,
2023,,,,1.44
2023,15-17 ani,,,1.94
2023,18-49 ani,,,1.4
2023,,Nord,,1.6
2023,,Centru,,1.57
2023,,Sud,,1.4
2023,,Mun. Chișinău,,0.98
2023,,UTA Găgăuzia,,1.09
2023,,,Femei însărcinate,25.9
2024,,,,1.46
2024,15-17 ani,,,2.0
2024,18-49 ani,,,1.41
2024,,Nord,,1.51
2024,,Centru,,1.65
2024,,Sud,,2.25
2024,,Mun. Chișinău,,1.04
2024,,UTA Găgăuzia,,1.1
2024,,,Femei însărcinate,28.05
2025,,,,1.37
2025,15-17 ani,,,1.85
2025,18-49 ani,,,1.32
2025,,Nord,,1.58
2025,,Centru,,1.72
2025,,Sud,,1.89
2025,,Mun. Chișinău,,0.98
2025,,UTA Găgăuzia,,1.51
2025,,,Femei însărcinate,27.69
