Year,Value
2010,
2010,
2010,
2010,
2010,
2010,
2010,
2010,
2010,
2010,
2010,
2010,
2010,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2012,
2012,
2012,
2012,
2012,
2012,
2012,
2012,
2012,
2012,
2012,
2012,
2012,
2013,
2013,
2013,
2013,
2013,
2013,
2013,
2013,
2013,
2013,
2013,
2013,
2013,
2014,21.5
2014,15.7
2014,20.4
2014,28.5
2014,30.2
2014,19.6
2014,9.4
2014,4.5
2014,20.5
2014,19.1
2014,15.8
2014,16.5
2014,22.2
2015,18.4
2015,12.2
2015,17.8
2015,20.1
2015,29.2
2015,17.0
2015,6.7
2015,4.8
2015,17.8
2015,15.2
2015,17.1
2015,14.4
2015,19.2
2016,18.9
2016,13.7
2016,18.0
2016,22.3
2016,27.7
2016,16.0
2016,7.3
2016,4.2
2016,20.7
2016,15.5
2016,14.5
2016,14.3
2016,19.6
2017,17.6
2017,12.8
2017,16.8
2017,21.1
2017,27.6
2017,15.5
2017,5.8
2017,5.0
2017,17.9
2017,14.5
2017,18.1
2017,10.0
2017,18.3
2018,16.8
2018,10.3
2018,16.5
2018,23.7
2018,25.9
2018,13.6
2018,6.3
2018,3.9
2018,14.6
2018,15.3
2018,12.0
2018,14.1
2018,17.5
2019,17.5
2019,13.6
2019,16.9
2019,21.4
2019,26.4
2019,15.7
2019,5.1
2019,3.8
2019,19.4
2019,13.6
2019,10.4
2019,13.9
2019,18.1
2020,17.0
2020,12.8
2020,16.4
2020,19.0
2020,26.7
2020,17.0
2020,5.3
2020,2.9
2020,16.1
2020,15.9
2020,13.8
2020,10.2
2020,17.5
2021,17.0
2021,12.4
2021,16.2
2021,21.7
2021,28.8
2021,15.0
2021,6.0
2021,3.2
2021,13.3
2021,13.3
2021,16.4
2021,11.0
2021,17.6
2022,
2022,
2022,
2022,
2022,
2022,
2022,
2022,
2022,
2022,
2022,
2022,
2022,
