Year,Sex,Mediu de reședință,Value
2010,,,
2010,Băieți,,
2010,Fete,,
2010,,Urban,
2010,,Rural,
2011,,,
2011,Băieți,,
2011,Fete,,
2011,,Urban,
2011,,Rural,
2012,,,
2012,Băieți,,
2012,Fete,,
2012,,Urban,
2012,,Rural,
2013,,,
2013,Băieți,,
2013,Fete,,
2013,,Urban,
2013,,Rural,
2014,,,
2014,Băieți,,
2014,Fete,,
2014,,Urban,
2014,,Rural,
2015,,,102.8
2015,Băieți,,100.677
2015,Fete,,105.1
2015,,Urban,122.245
2015,,Rural,90.526
2016,,,105.5
2016,Băieți,,104.288
2016,Fete,,106.7
2016,,Urban,125.648
2016,,Rural,92.106
2017,,,108.0
2017,Băieți,,107.308
2017,Fete,,108.7
2017,,Urban,127.139
2017,,Rural,95.167
2018,,,108.3
2018,Băieți,,109.028
2018,Fete,,107.5
2018,,Urban,126.011
2018,,Rural,95.484
2019,,,108.3
2019,Băieți,,108.627
2019,Fete,,107.9
2019,,Urban,129.693
2019,,Rural,93.146
2020,,,102.9
2020,Băieți,,103.005
2020,Fete,,102.8
2020,,Urban,119.596
2020,,Rural,90.569
2021,,,102.7
2021,Băieți,,101.39
2021,Fete,,104.1
2021,,Urban,119.72
2021,,Rural,90.207
2022,,,105.1
2022,Băieți,,104.9
2022,Fete,,105.5
2022,,Urban,123.4
2022,,Rural,91.1
2023,,,113.0
2023,Băieți,,112.1
2023,Fete,,114.0
2023,,Urban,134.0
2023,,Rural,96.1
2024,,,118.4
2024,Băieți,,117.7
2024,Fete,,119.2
2024,,Urban,141.6
2024,,Rural,99.7
