Year,Posturi de conducere ocupate de femei,Femei în funcții de conducere de nivel superior și mediu,Value
2010,,,
2010,Urban - Proporția posturilor de conducere ocupate de femei,,
2010,Rural - Proporția posturilor de conducere ocupate de femei,,
2010,Agricultură - Proporția posturilor de conducere ocupate de femei,,
2010,Industrie - Proporția posturilor de conducere ocupate de femei,,
2010,Construcții - Proporția posturilor de conducere ocupate de femei,,
2010,Comerț cu ridicata și amănuntul; activități de cazare și alimentație publică - Proporția posturilor de conducere ocupate de femei,,
2010,Transport și depozitare; informații și comunicații - Proporția posturilor de conducere ocupate de femei,,
2010,Administrație publică; învățământ; sănătate și asistență socială - Proporția posturilor de conducere ocupate de femei,,
2010,Alte activități - Proporția posturilor de conducere ocupate de femei,,
2010,Proprietate publică - Proporția posturilor de conducere ocupate de femei,,
2010,Alte forme de proprietate - Proporția posturilor de conducere ocupate de femei,,
2010,,Total - Proporția femeilor în funcții de conducere de nivel superior și mediu,
2010,,Urban - Proporția femeilor în funcții de conducere de nivel superior și mediu,
2010,,Rural - Proporția femeilor în funcții de conducere de nivel superior și mediu,
2010,,Agricultură - Proporția femeilor în funcții de conducere de nivel superior și mediu,
2010,,Industrie - Proporția femeilor în funcții de conducere de nivel superior și mediu,
2010,,Construcții - Proporția femeilor în funcții de conducere de nivel superior și mediu,
2010,,Comerț cu ridicata și amănuntul; activități de cazare și alimentație publică - Proporția femeilor în funcții de conducere de nivel superior și mediu,
2010,,Transport și depozitare; informații și comunicații - Proporția femeilor în funcții de conducere de nivel superior și mediu,
2010,,Administrație publică; învățământ; sănătate și asistență socială - Proporția femeilor în funcții de conducere de nivel superior și mediu,
2010,,Alte activități - Proporția femeilor în funcții de conducere de nivel superior și mediu,
2010,,Proprietate publică - Proporția femeilor în funcții de conducere de nivel superior și mediu,
2010,,Alte forme de proprietate - Proporția femeilor în funcții de conducere de nivel superior și mediu,
2011,,,
2011,Urban - Proporția posturilor de conducere ocupate de femei,,
2011,Rural - Proporția posturilor de conducere ocupate de femei,,
2011,Agricultură - Proporția posturilor de conducere ocupate de femei,,
2011,Industrie - Proporția posturilor de conducere ocupate de femei,,
2011,Construcții - Proporția posturilor de conducere ocupate de femei,,
2011,Comerț cu ridicata și amănuntul; activități de cazare și alimentație publică - Proporția posturilor de conducere ocupate de femei,,
2011,Transport și depozitare; informații și comunicații - Proporția posturilor de conducere ocupate de femei,,
2011,Administrație publică; învățământ; sănătate și asistență socială - Proporția posturilor de conducere ocupate de femei,,
2011,Alte activități - Proporția posturilor de conducere ocupate de femei,,
2011,Proprietate publică - Proporția posturilor de conducere ocupate de femei,,
2011,Alte forme de proprietate - Proporția posturilor de conducere ocupate de femei,,
2011,,Total - Proporția femeilor în funcții de conducere de nivel superior și mediu,
2011,,Urban - Proporția femeilor în funcții de conducere de nivel superior și mediu,
2011,,Rural - Proporția femeilor în funcții de conducere de nivel superior și mediu,
2011,,Agricultură - Proporția femeilor în funcții de conducere de nivel superior și mediu,
2011,,Industrie - Proporția femeilor în funcții de conducere de nivel superior și mediu,
2011,,Construcții - Proporția femeilor în funcții de conducere de nivel superior și mediu,
2011,,Comerț cu ridicata și amănuntul; activități de cazare și alimentație publică - Proporția femeilor în funcții de conducere de nivel superior și mediu,
2011,,Transport și depozitare; informații și comunicații - Proporția femeilor în funcții de conducere de nivel superior și mediu,
