Year,Debursări,Value
2010,Debursări nete,19.344
2010,Debursări brute,19.362
2011,Debursări nete,28.024
2011,Debursări brute,28.071
2012,Debursări nete,28.612
2012,Debursări brute,28.968
2013,Debursări nete,26.636
2013,Debursări brute,27.037
2014,Debursări nete,13.586
2014,Debursări brute,14.275
2015,Debursări nete,12.454
2015,Debursări brute,13.111
2016,Debursări nete,15.81
2016,Debursări brute,16.519
2017,Debursări nete,13.471
2017,Debursări brute,14.682
2018,Debursări nete,9.212
2018,Debursări brute,11.178
2019,Debursări nete,9.835
2019,Debursări brute,13.523
2020,Debursări nete,9.843
2020,Debursări brute,13.991
2021,Debursări nete,19.702
2021,Debursări brute,23.773
2022,Debursări nete,13.632
2022,Debursări brute,17.204
2023,Debursări nete,4.088
2023,Debursări brute,7.454
