Year,Tipuri de vaccin,Value
2010,,
2010,Vaccinul contra tuberculozei (BCG),98.1
2010,Vaccinul diftero-tetano-pertusis (DTP),94.1
2010,Vaccinul combinat împotriva rujeolă-oreion-rubeolă (ROR),93.2
2010,Vaccinul oral contra poliomielitei (VPO),95.7
2010,Vaccinul contra hepatitei B (HEPB),96.7
2010,Vaccinul contra infecţiei cu haemophilus influenzae tip B (HIB),77.3
2010,Vaccinul contra infecţiei cu rotavirusuri  (RV),0.0
2010,Vaccinul pneumococic (PC),0.0
2010,Vaccinul cu anatoxine difterică şi tetanică (DT) la 7 ani,98.2
2010,Vaccinul cu anatoxine difterică şi tetanică (Td) la 15 ani,98.6
2011,,
2011,Vaccinul contra tuberculozei (BCG),98.5
2011,Vaccinul diftero-tetano-pertusis (DTP),94.1
2011,Vaccinul combinat împotriva rujeolă-oreion-rubeolă (ROR),92.8
2011,Vaccinul oral contra poliomielitei (VPO),95.7
2011,Vaccinul contra hepatitei B (HEPB),96.3
2011,Vaccinul contra infecţiei cu haemophilus influenzae tip B (HIB),80.1
2011,Vaccinul contra infecţiei cu rotavirusuri  (RV),0.0
2011,Vaccinul pneumococic (PC),0.0
2011,Vaccinul cu anatoxine difterică şi tetanică (DT) la 7 ani,98.0
2011,Vaccinul cu anatoxine difterică şi tetanică (Td) la 15 ani,97.8
2012,,
2012,Vaccinul contra tuberculozei (BCG),98.2
2012,Vaccinul diftero-tetano-pertusis (DTP),94.1
2012,Vaccinul combinat împotriva rujeolă-oreion-rubeolă (ROR),92.2
2012,Vaccinul oral contra poliomielitei (VPO),94.8
2012,Vaccinul contra hepatitei B (HEPB),95.1
2012,Vaccinul contra infecţiei cu haemophilus influenzae tip B (HIB),92.5
2012,Vaccinul contra infecţiei cu rotavirusuri  (RV),24.9
2012,Vaccinul pneumococic (PC),0.0
2012,Vaccinul cu anatoxine difterică şi tetanică (DT) la 7 ani,97.1
2012,Vaccinul cu anatoxine difterică şi tetanică (Td) la 15 ani,97.1
2013,,
2013,Vaccinul contra tuberculozei (BCG),98.0
2013,Vaccinul diftero-tetano-pertusis (DTP),93.1
2013,Vaccinul combinat împotriva rujeolă-oreion-rubeolă (ROR),91.5
2013,Vaccinul oral contra poliomielitei (VPO),93.7
2013,Vaccinul contra hepatitei B (HEPB),93.7
2013,Vaccinul contra infecţiei cu haemophilus influenzae tip B (HIB),92.5
2013,Vaccinul contra infecţiei cu rotavirusuri  (RV),48.2
2013,Vaccinul pneumococic (PC),0.0
2013,Vaccinul cu anatoxine difterică şi tetanică (DT) la 7 ani,96.8
2013,Vaccinul cu anatoxine difterică şi tetanică (Td) la 15 ani,97.1
2014,,
2014,Vaccinul contra tuberculozei (BCG),97.9
2014,Vaccinul diftero-tetano-pertusis (DTP),91.7
2014,Vaccinul combinat împotriva rujeolă-oreion-rubeolă (ROR),90.3
2014,Vaccinul oral contra poliomielitei (VPO),92.5
2014,Vaccinul contra hepatitei B (HEPB),92.5
2014,Vaccinul contra infecţiei cu haemophilus influenzae tip B (HIB),91.3
2014,Vaccinul contra infecţiei cu rotavirusuri  (RV),75.6
2014,Vaccinul pneumococic (PC),32.8
2014,Vaccinul cu anatoxine difterică şi tetanică (DT) la 7 ani,96.6
2014,Vaccinul cu anatoxine difterică şi tetanică (Td) la 15 ani,96.5
2015,,
2015,Vaccinul contra tuberculozei (BCG),97.7
