Year,Mediul de reședință,Sexul capului gospodăriei,Value
2010,,,
2010,Urban,,
2010,Rural,,
2010,,Bărbați,
2010,,Femei,
2011,,,
2011,Urban,,
2011,Rural,,
2011,,Bărbați,
2011,,Femei,
2012,,,
2012,Urban,,
2012,Rural,,
2012,,Bărbați,
2012,,Femei,
2013,,,
2013,Urban,,
2013,Rural,,
2013,,Bărbați,
2013,,Femei,
2014,,,148.0
2014,Urban,,170.5
2014,Rural,,129.7
2014,,Bărbați,167.1
2014,,Femei,117.8
2015,,,151.0
2015,Urban,,173.3
2015,Rural,,133.4
2015,,Bărbați,171.8
2015,,Femei,117.2
2016,,,152.0
2016,Urban,,171.5
2016,Rural,,136.8
2016,,Bărbați,172.3
2016,,Femei,122.9
2017,,,156.0
2017,Urban,,174.9
2017,Rural,,141.7
2017,,Bărbați,176.5
2017,,Femei,126.1
2018,,,154.0
2018,Urban,,172.9
2018,Rural,,140.8
2018,,Bărbați,174.5
2018,,Femei,125.3
2019,,,166.7
2019,Urban,,183.3
2019,Rural,,155.5
2019,,Bărbați,189.4
2019,,Femei,131.5
2020,,,170.4
2020,Urban,,179.6
2020,Rural,,164.1
2020,,Bărbați,191.5
2020,,Femei,138.0
2021,,,171.5
2021,Urban,,187.1
2021,Rural,,161.3
2021,,Bărbați,197.7
2021,,Femei,132.7
2022,,,
2022,Urban,,
2022,Rural,,
2022,,Bărbați,
2022,,Femei,
